,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.383073321294146,0,0,0,0,0,0,0.206849873984073,0.108636133309169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624401675644564,0.00209313533668908,-0.0334363402001281,0
X601398.CH.EQUITY,0,0,0,0,0.0621717077230178,0,0,0,0,0,0.113964661413832,0,0,0,0,0,0,0,0.175941227890755,0,-0.0693392322199005,-0.0889620826027534,0,0.19587250508006,0,0,0,-0.000962913543484211,0.00721591272830005,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367531542264008,0,0.004994653650297,0,0,0.031775272645024,0.330718304851868,0,0,0,0.0776560944290607,0,0.00967350758863574,0,0.0132009550385849,0.00410927529182636,-8.67361737988404e-19,0
X2318.HK.EQUITY,0,0,0.185272143680653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174037871444104,0,0,0,0,0.315863593751298,0.00341731305473529,0,-2.16840434497101e-19,-0.0155845526482682,0,0
X939.HK.EQUITY,0,0.061763983242491,0,0,0,0,0,0,0,0,0,0,0.138798353716686,0,0,0,0,0,0.0719679243058404,0,0,0.0948566394861373,0,0.0926862030635686,0,0,0,0,0.0105994738110883,0.0122506681779733,0
X601939.CH.EQUITY,0,0.238106122321128,0,0,0,0,0,0,0,0,0,0,0.0733633311536274,0.0735718053871223,0,0,0,0,0,0,0,0.0658337726340346,0,0,0,0,0,0.0132260516648934,-0.0130808132577355,0,-0.0581848995385024
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0779333185276347,0,0,0.055446839725168,0,0,0.119747217010909,0,0,0.0248813056581116,0,0,0,-8.67361737988404e-19,0,-1.0842021724855e-19,0.00377120951162179,0.0160979099770535,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.250916685115492,0,0,0,0,0,0,0,0,-0.00417252463738151,0.0386665821787633,0,0,-0.0937146529020799,-0.125595277902231,0.0356658836751696,-0.0197195169855168,0,0.0381569914407209,0,-0.162139549757561
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0293525462198695,0,0,0,0.0464470423351993,0,0.181629827992644,0,0,0.0326342812066284,0,0,0,-0.0326128724756977,0,-0.000122410470403974,0,0,0
X3988.HK.EQUITY,0.353620721032576,0,0,0,0.192915762713892,0,0,0,0,0,0,0,0.018633763562435,0,0,0,0,0,0,0,0.0366753672502251,0.0551953871347193,0,0,0,-0.0168967883960309,0,-0.00316532920468577,-0.00582704652593053,0.0148061572281339,0
X600036.CH.EQUITY,0,0,0.545807301707927,0,0,0,0,0,0,0,0,0,0,-0.0908874308783944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197424475202105,-0.00437796766747133,0.0261425173002358,-0.0645928714116033
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570600413187681,0.289224389178915,-0.032480818775793,0,0,0,0,0.0516980586611252,0.0128391069378544,-0.166910126647502
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188852793277539,0,0,0,0.422159329114515,0,0,0,0.290966664563337,0,0.207667437680569,0,0,-0.00712204133503443,0.00277356351764901,0.0173803367020262,0
X601628.CH.EQUITY,0,0,0.136523920478183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776152878691484,0.446100581885014,0,0,0,0.0181534294885767,0,0,0,0.0159189472090289,-0.0158363832880792,0.0365185698365504,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405915132612387,0,0.146790697201089,0.0640996148569133,0,0,0.180626577496876,0,0.131629451082944,0.056308100816855,0,0.00393388093002818,-0.0271662125663115,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788530422608238,0,0,0.00981486314385836,0.170025073680006,0.140304003009094,0,0.072406510014388,0,-0.0195743798499083,-0.0355774714431388,0,0
