,X601398.CH.Equity,X601939.CH.Equity,X601318.CH.Equity,X601288.CH.Equity,X601988.CH.Equity,X600036.CH.Equity,X601628.CH.Equity,X601658.CH.Equity,X601328.CH.Equity,X601166.CH.Equity,X600000.CH.Equity,X600030.CH.Equity,X600016.CH.Equity,X000001.CH.Equity,X601319.CH.Equity,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0,0,0,0,0.0693770246657148,0,0,0,0,0.0140509377666428,0,0.214555659251843,0,0,0,0,2.16840434497101e-19
X601939.CH.Equity,0,0,0,0,0,0.0766593242559475,0.0294445603087969,0,0,0,0,0,0,0.206475510489994,0,0,0,0,-0.00281450711162348
X601318.CH.Equity,0,0,0,0,0,0,0.0343526822263129,0,0,0,0,0.136410124223153,0,0.288717142982708,0.0567031706520425,0,0,0,-0.000610183069338413
X601288.CH.Equity,0,0,0.0749347759598726,0,0,0,0.0615373248611958,0,0,0.143050994924393,0.0291204788124404,0.00349297627490201,0,0.0314526081747514,0,0,0,0,0
X601988.CH.Equity,0,0,0.0880504325417528,0,0,0,0.0606000784327808,0,0,0,0.0360690802792053,0,0,0.145380414733593,0,0,0,0,0
X600036.CH.Equity,0,0,0,0,0,0,0.207302475354108,0,0,0.230976481131306,0,0.0096653690457867,0,0.234375400048541,0,0,0,0,0
X601628.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0.0743657559697701,0,0.288238888654707,0.224475185062223,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.148425992964838,0.0840221564200066,0,0,0,0,0.0490810503739574,0,0.0802999056342674,0,0,0,0,-0.00987294887579851
X601328.CH.Equity,0,0,0.0235591720316214,0,0,0,0.00421752425172371,0,0,0,0.134721827457289,0.0168119184070722,0,0.177029849228692,0,0,0,0,0
X601166.CH.Equity,0,0,0,0,0,0.164367593228387,0.0559256816151419,0,0,0,0,0.0551338666017977,0,0.25073952801611,0,0,0,0,-0.00401581648985098
X600000.CH.Equity,0,0,0,0,0,0,0,0,0,0.0706487037182699,0,0,0,0.309395331449714,0.0161568628537571,0,0,0,0
X600030.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577058998135376,0,0,0,0.0132574038114376
X600016.CH.Equity,0,0,0,0,0,0.238133334652826,0,0,0,0,0,0.0238918559094045,0,0.0521550263879993,0,0,0,0,-0.00389291250915793
X000001.CH.Equity,0,0,0,0,0,0.348732921703288,0.0771146602339332,0,0,0,0,0.190760371903921,0,0,0.140444941619606,0,0,0,2.16840434497101e-19
X601319.CH.Equity,0,0,0,0,0,0,0.282658170453054,0,0,0,0,0.274616014449201,0,0.1335295124066,0,0,0,0,-0.00275972898293872
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0964810151662931,0,0,0,0,-0.0254584898293506
SHIF3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852287899949665
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13656303259038
VXFXI.INDEX,0,0,0,0,0,-0.034730006436815,-0.0556240445057069,0,0,0,0,0,0,0,-0.713971231721818,0,0,-2.4361265628967,0
