,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.135436654919555,0,0,0,0,0,0.300289545766884,0,0,0,0,0,0,0,0.0382859700417334,0,0,0,0.0255525954040328,0,0,0,0,-0.00532753632474968,0.00196296708850619,0,0.0958226653072485
X1398.HK.EQUITY,0,0,0.0159406552287853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562777556007588,0,0,0,0,0.360037801838715,0,0,0,0,0.0199572301842458,0.0158356854021283,0.0168929557546477,-0.0309216387121204,0
X601318.CH.EQUITY,0,0,0,0.288393593099755,0,0,0,0,0.0667464185005147,0,0,0,0.258267559088038,0,0,0.0257846858429348,0,0,0,0,0,0,0,0,0.0498421187200384,0,0,-0.0208326717892489,-0.014527628133512,0.0233972663580398,-0.0462347499599869
X2318.HK.EQUITY,0,0,0.172209951126825,0,0,0,0,0,0,0,0,0,0,0.309123592521642,0,0,0,0,0.0337610503018749,0,0.0963689078548541,0.132865751537291,0,0,0,0.0339768763473501,0,1.0842021724855e-19,-0.0245706253397637,0,0
X939.HK.EQUITY,0.0867977031704255,0,0,0,0,0,0,0,0,0,0,0,0,0.200909410959205,0,0,0,0,0.0203348677526076,0,0,0,0.0606306623291086,0.0274244225582464,0,-0.00139100220358049,0,-0.00282397020964437,0.0206429316516569,0.00843822020591613,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.266427988886746,0,0.0586848979021025,0,0,0,0,0,0,0,0,0,0,0,0.19756438839949,0,0,0.00896107535715108,-0.0165639145331804,0.00983416748912207,0
X601288.CH.EQUITY,0,0,0,-0.160105045947241,0,0,0,0,0,0,0,-0.0850248085989859,0.0798179206152047,0,0.343569140101554,0,0,0,0,0,0,0,0,0,0,0.0244214700125291,0,0.00404645409097833,0.0356082336954494,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0120254232480949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144102513432672,0,0,0,0.0025103765098827,0.00891386112123675,0.0266217563161136,-0.0122248411804704
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0131657216450822,0,0.223648580974058,0,0,0,0,-0.00076833057184672,0,0.177150888274513,0,0,0,0.0602083556810312,0,0,-0.0034962770310355,-0.0217305570063311,0.0254266311044779,0
X601988.CH.EQUITY,-0.000856964610013246,0,0,0,0,0,0,0.524079982603455,0,0,0,0.059295496992569,0.0707551059512969,0,0,0,0,0,0,0,0.0704120162164457,0,0,0,0,0,0,0.00492531427625202,0.00730807589749895,0.0201136897501528,-0.019940168491582
