,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.140854108393858,0.21960793832713,0,0,0,0,0,0,0,0.0340195954926489,0,0,0,0.155768430569599,0,0,0,0,0,0.126856888031788,0,0,0,0,0.0218789737174108,-0.0669098437681634,0.0640962784657539,0
X1299.HK.EQUITY,0,0,0,0.102270448565088,0,0,0,0,-0.0414607111747635,0,0,0,0,0,0,0,0,0,0,0.462200495699255,0.108916314127842,0,0,0.280350618579116,0,0,0,0.0183997122456021,0.00749536137089562,-0.0488718001600526,0
X601628.CH.EQUITY,0,0,0,0.358370939205467,0,0,0,0,0,0,0,0,0,0.0647428711692943,0,0,0.313286696880542,0.199707493993298,0,0,0,0,0.359566901214801,0,0,0.0271568693040014,0,-0.00468477625812148,-0.00815060241538459,0.0968707598897603,0
X2628.HK.EQUITY,0,0,0.345409615243171,0.149764225618485,0,0,0,0,0,0,0,0,0.186477483097263,0,0,0,0,0,0,0,0,0,0,0.0632106705984134,0,0,0,-0.0103951494334866,-0.00732995203434688,0.0273969916371573,0
X601328.CH.EQUITY,0,0,0,0,0.186934066837899,0,0,0,0,0,0.157597038939992,0,0,0,0,0,0,0.0324622125039654,0,0,0,0.0161807954892749,0,0,0,0.0205556069268756,0,0.00139594525083431,-0.0218736478022599,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0768988514083103,0,0,0,0.145530923597981,0,0,0,0,0.0350731973314833,0,0,0,0,0.207642146067414,0.0233454738704853,-0.0103459476217489,0,-0.00644892751221858,-0.0341766689638137,0.0401267190255478,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.213762383313936,0,0,0,0.0288952262500485,0,0.15165824668408,0,0,0,0,-0.105345605338992,0.366390421826275,0,0,0.058428440295513,0,0,0,6.93889390390723e-18,-0.0456434121315066,0,-0.00560845918992807,-0.0326607455360656,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.807506105764507,0,0,0,0,0.141964776758832,0,0,0,0,0,0,0.333479434925717,0,0.289708011414071,0,0,0,-1.45438753474877e-05,0,-0.0614819379600128,-0.0932891827197803,-2.16840434497101e-19,-0.370255586661981
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00952063614384246,0.0589998238887578,0,0,0.660225849893879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437074874390554
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.202576672566471,0,0,0,0,0,0,0,0,0,0.18008473727064,0,0,0,0,0,-0.00208642021510722,0.0946475291708333,0,0
X11.HK.EQUITY,0,0,0.228473956364209,0,0.19040634824916,0,0,0,0,0,0,0,0,0,0,0,0,0.0774347488390028,0,0,0,0.0503542100245713,0,0.0693442916499674,0,0.0239299435234711,0,4.33680868994202e-19,0.0172803311893112,0,0
X000002.CH.EQUITY,0,0,0,0.119709113484376,0.0526998879037133,0,0,0,0,0,0,0,0,0,0,0,0,0.276359078239067,0,0.864068151518175,0,0,0,0,0,0.0202756776503465,-0.369035844121622,-0.0521961434420472,0,0,-0.00456121137713569
X601601.CH.EQUITY,0,0,0,0.0174435365523458,0,0,0,0,0,0,0.268127073949708,0.0579115043340562,0.382245877017219,0,0,-0.0786749599406133,0,0.0465811659289815,0,0,0,0,0,0,0,0.0523203833220018,0,-0.00934418726134254,0,0,0
X388.HK.EQUITY,0,-6.93889390390723e-18,0,0,0,0.175949010745808,0,0,0,0,0,0.455372038505429,0,0.124430032887566,0,0,0,-0.0192365569511256,0,0,0,0,0,0,0,0.0543791442651412,0,-0.0254848647019344,-0.0298667480670985,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0194075693486923,-0.0821077738836526,0,0,0,0.353277420157404,0,0,0,0,0,0,-0.0485590646429394,0,0,0,0,0,0.00308277256688173,0.0123181704342215,-0.143723343323312
CGB3M,0,0.428120288575255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296976884776168,0,0,-0.0241574204547476,0,0,0,0,0,-0.0135865688372938,-0.0530246369022318,-0.871850182657366,-0.441413145984417
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.201039074407664,0,0,0,0,0,0,0,0,-0.154588712737771,0,0,0,0,0,-0.254252887286838,1.73472347597681e-18,0.080900007526113,0
VXFXI.INDEX,0,0.55719956552625,0,0,0,0,0,0,0,0,0,-0.499932615412489,-0.251153227644651,0,0,0,0,-0.431543583264821,0,0,0,0,-0.263686455897574,-0.267893468765627,0,0,-3.71707498485476,0,0.0683746461350262,0.504488235664615,0
TED.SP,0,0,0,0,-0.0640155677325747,0,0,0,0,0,0,0,0,0,-0.438253408901471,-0.789401364041095,0,-4.33680868994202e-19,-0.292064900161947,0.104626178915565,0,0,0,-0.0181741133947457,-0.865266719514358,0,0,-0.168707697998028,0,0.350712634136233,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.105641452705458,0,0,0,0,0,-0.20782079745694,0,0,0.0340964433270161,0,0,0,-1.08930916611981,0,0.00317530512540704,-0.0168013239966015,0,-0.330863589745507
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0.199243670499956,0,0,0,0,0,0,-0.0222262060951776,-0.200278398140005,0.109534482536299,0,0,0.16174718210127,0,0,-0.459741335507106,-0.0459554461695607,-0.0623619415239514,-0.0871868470090441,-0.528475332845686,0
