,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.0901126566563375,0,0,0,0,0,0.327171862081101,0,0,0,0,0,0,0,0,0,0,0,0.0951453376356022,0,0,0,0,-0.00510215399466028,-0.00373729776069699,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0965953828209442,0,2.16840434497101e-19,0,0.562346568425159,0,0,0,0,-0.0111002921589434,0,0,0,0,0,0.0136324618668384,0,0.00600335409988771,-0.0325436032964635,0,0
X2318.HK.EQUITY,0,0,0,0.112622897143351,0,0,0,0,0,0,0,0,0,0.145255672908991,0,0,0,0,0.0281835153251494,0,0,0,0,0.0681715390913716,0,0.0177217670330302,0,-0.0211929248181908,-0.029111003543024,0,0
X601318.CH.EQUITY,0,0,0.380307684940953,0,0,0,0,0,0.0503122724401957,0,0,0,0.18545403834694,0,-0.0172724943983415,0.0422260299849861,0.0811729796749059,0,0.0709247113665971,0,0,0,0,0,0.00874730088627604,0,0,-0.0223512030200129,-0.0393832420901223,0.0332183882294337,0
X939.HK.EQUITY,0.1161316939352,0.0215198730654436,0,0,0,0,0,0,0,0,0,0,0.0249409972958481,0,0.158436604658875,0,0.0444708913851175,0,0,0,0,0,0,0.279502383972354,0,0,0,0.00563801993146635,-0.0175605324868573,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.32229110579266,0,0,0.197822326302379,0,0,0,0.350362795797559,0,0,0,0,0,-0.0503852693167332,0,0,0.030951365925143,0,0.0151207600441904,0.00637676720130564,-0.0289006317999746,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0636699090117398,0.0773506235650395,-0.0560075439299954,0,0,0.204009483301141,0,0,0.201568345498655,0,0,0,0,0,0.0192183957562415,0,0,0.00933164478114112,0,-0.0232292678711931
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0656834636183861,0,0.168375379517326,0,0.0309614602177101,0,0,0.107103655596649,0,-0.0309814196599295,0,0,0,0.0646877651091083,0,0,0.00223815163506197,-0.0335157918740598,0,-0.0150812192137461,0,0
X3988.HK.EQUITY,0,0.0416874318928155,0.0896354141575816,0,0,0,0,0,0,0,0,0.196266579069646,0,0,0,0,0,0,-0.011638999853995,0,0,0,0,0,0,0,0,-0.00244175375309407,-0.0528850805785691,0.0383409685549751,0
X601988.CH.EQUITY,0,0,0,0.0764898352427275,0,0,0,0,0,0,0,0.0260635465314623,0.0324970584065669,0,0,0,0,0,0,0.191694013927465,0.109374611675881,0,0,0.0465152399631746,0,0,0,0,-0.0112378368533406,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0944532989868105,0,0.328115391163993,0,0,0.072440324026709,0.183507883987262,0,0.131585987800165,0.250007839356374,0,0,0,0,0,-0.021411179417987,-0.0580443131991838,0.0257014049908531,0
X1299.HK.EQUITY,0,0,0,0,0,0,-0.0714085935137866,0.255440153044465,0,0.0640197059951996,0,0,0.303825936366146,0,0,0,0,0,0,0,0,0.617227864357736,0,0,0,0,0,0.0152353728598846,-0.0167006877058846,-0.0808186914648216,-0.0120503366315407
X601628.CH.EQUITY,0,0,0,0.287758426616369,0,0,0.230177140550051,0,0,0,0,0,0,0,0,0,0.00187884191969195,0,0.241385162770226,0,0,0,0.30654332498878,0,0,0,0,-0.0427364216384941,-0.0608558411846738,0.0499747215572915,0
X2628.HK.EQUITY,0,0,0.54527477452969,0.0728270222739288,0,0,0,0,0,0,0,0,0.181899851397581,0,0,0,0,0,0,0,0,0,0.00266296654939343,0.0206265724809199,0,0.0201225645831766,0,0,-0.0191153689434085,0,0
X3328.HK.EQUITY,0,1.20988646316783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115483872932535,0,0.00215081872908053,0.00396436899585299,0,0
X601328.CH.EQUITY,0,0.18146458544427,0,0.0671045075803059,0,0,0,0,0,0,0.172448442638803,0,0.0628629220156294,0,0,0,0,0,0,0,0,0.119385724546,6.31356537235048e-05,0,0,0.0256026776703981,0,0,0.0206147579887038,-0.0815392760058265,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.404108850997497,0,0,0,0,0,0.0183524544895847,0,0,0,0,0.40622008407026,0,0,0,0,0,0,0.0575495289233415,0,0,-0.0145784494141166,-0.0203384206628033,0.0452048757033093,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.144014462534895,0,0,0,0.0746512472576392,0,0.33194206198627,0,-0.14694305369353,0,0,0,0.11963356400138,0,0,-0.03998530356424,0,0,-0.0108315398186717,-0.0522233827163146,0.0472603205136951
X601319.CH.EQUITY,0.066892928867083,0,0,0,0,-0.0329119988696641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920226590537142,0,0,-0.203304884635615,0,-0.0272270410249485,-0.0899249461633926,-0.242806997949976,-0.511404057957192
X000002.CH.EQUITY,0,0,0.285348544898256,0,0,0.00851839674114904,0,0,0,0,0,0,0.140329617085395,0,0,0,0.174614325846961,0.134993939137058,0,0,0,0,0.1798758587106,0,0,0,-0.516185267130397,-0.111327477083903,0.0713786057012101,0.13612032827091,-0.0722854803949537
X11.HK.EQUITY,0,0,0.0179297418119904,0,0,0.121930703052992,0,0,0,0,0.333841371993969,0,0,0,0,0,0,0,0,0.140100812531936,0,0.208412212075623,0,0,0,0.0536344829002662,0,0.00523435344247099,-0.0278837020283886,-0.0110401919791549,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.515705546627741,0,0.0475285251943281,0,0,0.0610486850525972,0,-0.0189666990856827,0.0662612295381383,0,0,0,0,0,0.0234844409406619,0,0.0265397195301355,0.050549510724779,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.461813002633079,0,0.380114409693462,0,-0.052592487675437,0,0,0,0,0.0452251152163087,0,0,0,0,0,0,0,-0.00566929004475724,0.0260381151580771,0.0314205237519455,0
X388.HK.EQUITY,0,0.0745485629288357,0,0.0927805512111916,0,0,0,0,0,0,0,0.11097636753557,0,0,0,0,0,0,0,0,0,0,0.108463561206323,0,0.528522886153422,0.0521530169965801,0,-0.0161215262857668,-0.0128285419548275,0,0.0784699234812252
X2388.HK.EQUITY,0,0,0.167604691816041,0.301956844047893,0,0,0,0,0,0,0,0,0,0.295816001209316,0,0,0,0,-0.0829627521448956,0,0,0,0,0.00412737496432111,0,0,0,0,-0.0470912425386609,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.095746996741635,0,0,0.0344801979057041,0,-0.228683024314632,0,0,0,0,0,0.0677882109017655,0,0,0,0,-0.0121367818835384,-0.91390291161754,-0.358334979640952
FXI.US.EQUITY,0,0,0,-0.0738394713547075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176354923106304,-0.00356659318989894,-0.0345884296025089,0
VXFXI.INDEX,0,0.239240984943602,0,0,0,0,0,0,0,0,-0.541459371708422,0,-1.11915784920396,0,0,0,0,0,0,-1.38777878078145e-17,0.274502736660626,0.0166704341949165,0,0,0,0,-4.46707417533209,0,0.0327072602857521,0.19891718515908,-0.108701449957395
TED.SP,1.00888115446434,0,0,-2.33892034759718,0,-0.558990876526575,0,0,-1.3714192281714,0,0.459378317536436,0,0,0,0,0.630449811116717,0,0,0,0,0,1.71233348700877,-0.0654212826156931,0,0,0.0909363239891134,0,-0.0531827237208185,0,0.853725215904045,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0.219725466425392,0,0.112712843201861,0,0,0,0,-0.263758306274018,-0.0189440583009816,0,0,0,0,0,0,-1.01580675872723,0,0.0182919088484555,-0.0441013694276811,0,-0.473483449490273
CREDIT.SP,0,0,0,0,0,0,0,-0.21347212795975,0,0,0,0,0,-0.129207333756154,-0.178596741992659,0,-0.0322499537265879,0,0,0,-0.0482880165305399,0,0.454641590195292,0,0,-0.696716474418686,-0.162070941189539,-0.054920541634862,-0.0451979837118942,-0.636244351473588,0
