,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2882.TT.Equity,X2318.HK.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0840974831579142,0,0,0,0,3.64139971076157e-07,0.0297821539964785,0,0,0
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,-0.16950447427965,0,0,1.29209975277919e-08,0,0,0,0,0,0,5.84235307414259e-09,0,0
X939.HK.Equity,0,0,0,0,0.0963175577820946,0.09958843329911,0,0,0,0,0.163395947697355,0,0,0
X2628.HK.Equity,0,0,0,0,0,0.104747907500474,0,0,0,0,0.536713435830981,0,0,0
X3328.HK.Equity,0,0,0,0,4.82742186176544e-07,0,0.999996286550392,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,3.63571535088619e-07,0.999998056120259,0,0,0,0,0,0,0,0
X11.HK.Equity,0.016244479393547,0,0.0557158930975324,0,0,0.0534260136679809,0,0,0.0144412028502937,0.0250692172238904,0.0226479172261521,0.00283790043045375,0,0.0186779418773857
X2388.HK.Equity,0,0,0,0,0.0661143820790197,0,0,0,0,0.0375031932964975,0.117362125776267,0,0,0
X2882.TT.Equity,0.369680271859297,0,0,0,0.0219482917011062,0,0,0,0.00566681218717336,0,0.341263282632834,0,0,0
X2318.HK.Equity,0,0,0,0,0.551985658927353,0,0,0,0,0,0,0,0,0
X600036.CH.Equity,0,-0.211888682023821,0,0,-0.121364178720382,0,0,0,0,-0.0389059434586223,0.247182653364627,0,0,0
GCNY10YR.Index,0,0,0,0,0,-0.0187242093028193,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0265715950953253,0,0,0,0.225892433973895,0,0,0,0,0.212805385343591,0,0,0
