,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0849608277471612,0,0,0,0,0.0335148825799218,0.106223436663825,0,0,0.03559445018399
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.200463869339488,0.15347315889233,0,0,0,0.0060650288883775,0,0,0,0.0349490190837843
X2628.HK.Equity,0,0,0,0,0,0.157641108868783,0,0,0,0.442526462954358,0,0,0,0
X3328.HK.Equity,0,0,0,0,4.69752788120377e-07,0,0.999997637281442,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,2.24477902070346e-07,0.99999687776531,0,0,0,0,0,0,0,0
X11.HK.Equity,0,-0.00883398065784445,0,0,0,0.0639391051280287,0,0,0.00089321648341717,0.0618571547109602,0.0262100324389584,0,0,0.00367121638510055
X2388.HK.Equity,0,-0.0278520044426095,0,0.101912138045847,0.0824627463863382,0,0,0,0,0.00224180684980006,0.0894259521608425,0.0528808955274358,0,0
X2318.HK.Equity,0,0,0,0,0.52798173569283,0,0,0,0,0,0.0978093760931055,0.00448260068000803,0,0
X2882.TT.Equity,0.0683881934354881,0.0242982019007961,0,0,0.0390891493092166,0,0,0,0.275372590306831,0.369424615019538,0,0,0,0
X600036.CH.Equity,0,-0.216332842195967,0,0,-0.404903609461553,0.320940876213143,0,0,0.0076123965763449,0.399438142798939,0,0,0,0.0489530128484567
GCNY10YR.Index,0,0,0,0,0,-0.0344575486226927,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0624776842156,0,0.202583286485217,-0.164659103680502,0.236642747733285,0,0,0,0.423277135218243,0,0,0,0
