,X2892.TT.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X000656.CH.EQUITY,X601108.CH.EQUITY,X6005.TT.EQUITY,X3040.TT.EQUITY,X2867.TT.EQUITY,X601878.CH.EQUITY,X2885.TT.EQUITY,X2501.TT.EQUITY,X2905.TT.EQUITY,X9940.TT.EQUITY,X2855.TT.EQUITY,X1808.TT.EQUITY,X2505.TT.EQUITY,X000783.CH.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0,0.0139760365415736,0,0.112065982571738,0,0,0,0,0.00229171209211511,0,0.0733354405731304,0,0,0,0,4.33680868994202e-19,0,0,0,0
X5880.TT.EQUITY,0.0110887420762676,0,0,0,0,0,0.00165156308100508,0,0.194234891700172,0,0,-0.0169762524280908,0,0.00373483145871222,0,0.102944395493917,0,0,0,0,0.0186594859572648,0,0,0,0
X2849.TT.EQUITY,0,0,0,0,0,0,0.00927006636020906,0,0,0,0,0.0117750494328933,0,-0.00817963318763882,0,0.0691172834272035,0,0,0.0737189388591437,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0255987244644521,0,0,0,-0.00210503575724269,0,0,0,0,0,0,0,0,0.24050975552465,0,0,0.175078565727676,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,-0.00388537487882057,0,0.0502232566829759,0.000936064233883998,0,0,0,0,0,0,-0.00427827181822955,0,0.053409501647981,0,0,0,0.0179222719241525,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0,0.0105575239984518,0,0,0,0,0,0,-0.0105378597109026,0,0.0562404784789038,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0.212495085776902,0,0,0,0,0,0,0,0,0,-0.00382612391231196,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0,0,0.00912630353214085,0,0,-0.00258827870252268,0,0,0,0,-0.00587322406761132,0.0114095731649092,8.09917084871375e-05,0.178732541526518,0,0,0,0,0,0.00386584378704922,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.00821997088623934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,0,-0.00507429787551894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601108.CH.EQUITY,0.0425532877892721,0,0,0,0,0,-0.00466658775550603,0,0,0,0,-0.00947070540319887,0.0671277373469407,0,0,0,0,0,0,0,0.0120663945842676,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,-0.0156108900955543,0,0,0,0,0,0,-0.0512619021902629,0,0,0,0,0.0760461721710191,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601878.CH.EQUITY,0,0,0,0,0,0,-0.00663885514208722,0,0,0,0.168864118329541,-0.010140167872906,0,-0.00268431607974081,0,0,0,0,0,0,0.0135962674815043,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0.00940809435181634,0,0.0410232928503907,0,0,0,0,-0.0134951628800508,0,0,0.0632315923756339,0,0.189937593126171,0,0.0695318013235402,0,0,0,0
X2501.TT.EQUITY,0,0,0.0485785142754986,0,0,0,0.00906615220461062,0,0,0,0,0,0,-0.00585323525630882,0,0.154242441240398,0,0,0.237518091166139,0,0.0150834356957718,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,0,0.00962889481224096,0,0,0,0,-0.0077945779353276,0,-0.00054591949861646,0,0.0267787735186743,0.0313038188655596,0,0,0.0149277778700959,0.0635715561179697,0,0,0,0
X9940.TT.EQUITY,0,0,0.291342495503915,0.0371222228062256,0,0,-0.0382457280786759,0,0,0,0,0,0,0,0,0.0957717046232294,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0.0677426938660055,0,0,0,0,0,0,0,0,0,0,0.00139036967500959,0,0.105613153541426,0,0,0.136909989025408,0,0.0146776905247724,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2505.TT.EQUITY,0,0,0,0,0,0,-0.00085891162529054,0,0,0,0,0.00215400150715739,0,-0.00720968060166257,0,-0.0240373031660333,0,0,0.0761897581373133,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0.00866790878704165,0,0,-0.00439734323054913,0,0,0,0,0,0,-0.00213142755566752,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
