,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.315771849670689,0,0,0,0,0,0,0,0,0,0,0,0.109481837373472,-8.67361737988404e-19,0,0,0.0312211757763854,0.00918561182841396,0.121167581904223,0,0,0,-0.00412585946204556,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.605923309775244,0,0,0,0.0967636429902301,0,0,0,0.0549211900945317,0,0,0.0248717584096437,0.0685971571284357,0.041333498896783,0,0,-0.0463151087274692,-0.0318167796282423,0,0,0,0.00874783589771679,0,0.0195987652588112,0
X601318.CH.EQUITY,0,0,0,0.292003232820292,0,0,0,0,0,0,0,0,0.200453866632046,0.00999438892040419,0,0,0.0878166053333177,0,0,0,0,0.163527528810612,0.155738834442632,0,0.0352211826069332,0,-0.0296968173451692,0,0,0
X2318.HK.EQUITY,0,0,0.429737754560904,0,0,0,0,0,0,0,0,0,0,0.139423406885594,0,0,0,-0.00366982238876925,0,0,0,0.129936476311526,0,0,0,0,-0.0103634376436659,0,0,-0.0477278428874178
X601939.CH.EQUITY,0.237018086213682,0,0,0,0,0.0395846776238462,0.567034687719879,0,0,0,0,0,0.0686813814607892,0,0,0,0.069680512223706,0,0,0,0,0.0509124341236712,0,0,0,-0.0192128855138435,-0.000511209090921728,0,0.0404578783346219,0
X939.HK.EQUITY,0,0.687312273665673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319167119874985,0.0415123840735206,-0.0563762652336166,0,0,0,0,0,0.044296600404862,0.0446888416027104,0,0.00992191584082569,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.358893803789442,0,0,0,0,0,0,0,0.010080130143181,0,0.0568421002068869,0.0520515257705087,0.0424970231178569,0,0,0,0,0.0414524629751945,0,0,0,-0.0139524220730372,-0.0166453466234736,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.083965650158567,0,8.67361737988404e-19,0,0.200636387471346,0,0,0.0434545252995443,0,-0.0171448813278036,0,0,0.200316886619935,0,0,0.00940339292528984,0.0379347363982809,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.25470527767965,0.116731541784958,0,0,0.194727427146179,0.00956490200475541,0.0087546831826419,0,0,0,0.0320669925694713,0,0.132095223500919,0,0,0.0212565969522052,0,0.116219477582702,0
X3988.HK.EQUITY,0,0,0,0.134072488925164,0,0.289273687431634,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0051507407378706,0,0,0,0,0.0405191494961531,0,0,0,-0.0159206464480947,0.147754553881754,0,0
