,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0.147936737428804,0,0,0,0,0,-0.069836025492021,0,0,0,0,0,0,0.154851113432318,0,-0.0437772145999547,0,0,0.144804058510898,0,0,0,0.00227689366867836,0.00443134982549632,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.347464974618512,0,0,0.044444365461992,0,0,0.19660416815526,-8.67361737988404e-19,0.117723920325711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111993503316678,0.00120563338615949,-0.0295182352394478,0
X2318.HK.EQUITY,0,0,0,0.0917436712755023,0,0,0,0,0,0,0.111972970371381,0.136550402539063,0,0.20012329126358,0,0,0,0,0,0.146204075980757,0.038132891498473,0,0,0,0,0.0177979581957403,0,0,-0.0167002387905619,-2.16840434497101e-19,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.02877223574312,0,0.0607913800579806,0,0,0.0140407774905887,0,0,0.0284625712962785,0.336528634864155,0,0,0,0.054285515243531,0,0.00581970553002218,0,0.0131223731240167,0,0,0
X601939.CH.EQUITY,0.238114989289811,0,0,0,0,0,0,0,0,0,0,0,0.0735690803801658,0.0733658158543636,0,0,0,0,0,0,0.0658335037924636,0,0,0,0,0,0,0.0132258986579344,-0.0130806231334385,0,-0.058185586397126
X939.HK.EQUITY,0.0833261653906379,0,0,0,0,0,0,0,0,0,0,0,0,0.149834321611201,0,0.00391961924567605,0,0,0.0610253957453142,0,0.0999055868105003,0,0,0.0871932171352232,0,0,0,0,0.0129399489888135,0.00987829104959387,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926588565995971,0,0.039058273630003,0,0,0.111696452806544,0,0.0221699724279769,0,0,0,0,0,0,0,0.000156061655154292,0.0155535240533069,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985038032018163,0,-0.0861450862532185,0,0.0768354484324216,0.0387650006508825,0.205837404705918,0,0,0.000477115318339203,0.0629599343401684,0,0.0285267844803893
X3988.HK.EQUITY,0,0.25645242233328,0,0,0,0,0,0,0,0,0,0,0,0.0881089692545482,0,0.00241998589967485,0,0,0,0.0223551408210197,0.127433299607695,0,0,0.0218945159772728,0,0,0,0,-0.0013996654749501,0.031786127638985,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257826738296964,0,0,0.0448090528640446,0,0.185468487173181,0,0.0366463626677082,0,0,0,0,-0.0292890848586272,0,0,0,0.00182724802836766,0
