,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.325586732667703,0.056053133003558,0,0,0,0,0.137693214016326,0,0,-0.0334183729117919,0,0,0,0.141503570135442,0,6.93889390390723e-18,0,0,0,0,0.0298680642612639,0.0243317925601413,0,0,0,0,-0.0240224767718269,0,0
X601398.CH.EQUITY,0,0,0,0.337496658932891,0.0557763802694161,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0569968375086989,0,0.130739028402375,0,0,0,0.00216577912326435,0,0.0266013362557611,0
X939.HK.EQUITY,0.713212301474642,0,0,0,0,0,0,0,0.144949341203258,0,0,0,0,-0.00283936439287243,0,0,0,0,0,0,0,0,0,-0.00349282313627284,0,0,0,0,0.00637382418857384,0.0261788237616819,0
X601939.CH.EQUITY,0,0.363698771509022,0,0,0,0,0,0,0,0,0,0,0,0.0916210276526281,0,0.345171043577184,0,0.00557892996724366,0,0,0,0,0,0,0,0,0,0.00594962188464516,0,0,0
X601318.CH.EQUITY,0,0,0,0.14252001814331,0,0.0934876985458824,0,0,0,0,0.0827888322008285,0,0,0,0,0.184763615850207,0.256117478962653,0,0,0,0,0.0955464348198773,0,0.311850507283284,0,-0.0125180490608963,0,0,0.0120949320213273,0,0
X2318.HK.EQUITY,0,0,0,0,0.453152505843477,0,0,0,0,0,0,0,0.106969737360288,0,0,0,0,0,0,0,0,0.0438892232159938,0,0,0,0,0.0446523524649743,0,-0.0377402562064469,0,0.0250787725184965
X601288.CH.EQUITY,0,0,0,0.138822059317518,0,0,0,0,0,0,0,0,0.0291688328596116,0,0,0.227372045323318,0,0.00366539702399226,0,0,0,0,0,0.137383697718753,0,-0.0135501416453039,0,0,0,0.00532945159485725,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.038381796152151,0,0,0,0,-0.0378299265567684,0,0,0.124944515305849,0.164693626477365,0.288453761504738,-0.0499165472471951,0,-0.0213318607116121,0,0.0147618405780359,0,0,0.0916997310435563
X3988.HK.EQUITY,0.283227291899975,0,0.237671895501471,0,0,0.0812333784447095,0,0,0,0,-0.0434213298331174,0,0.0421772967394234,6.93889390390723e-18,0,0,0,-0.0200660796222932,0,0,0,0,0,0.0519685540588513,0.0844369682142755,0,0,0,0,0.0484832211963316,0
X601988.CH.EQUITY,0,0,0,0.0682442585885337,0,0,0,0,0,0,0,0,0,0.13624579057175,0,0,0,0.0273432846393041,0,0,0,0,0,0.0602507999374725,0,0,0,0.0115324823677965,0,0,0.0105095771089558
