,X2537.TT.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X3040.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X2885.TT.EQUITY,X1463.TT.EQUITY,X2820.TT.EQUITY,X2905.TT.EQUITY,X5876.TT.EQUITY,X9940.TT.EQUITY,X2801.TT.EQUITY,X2855.TT.EQUITY,X1808.TT.EQUITY,X600848.CH.EQUITY,X2897.TT.EQUITY
X2537.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.140015057057102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.00668835630462208,0,0.0604666509964552,0,0,0,-0.00271709875147159,0,0,0,0,0,0,-0.00490300780120869,0,0,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,-0.038973993453033,0,0,0,0,-0.00869490259949296,0,-0.0179814429389104,0.0901133360163667,0,0,0,0.341778274140884,0,0,0,0,0,0.106825878439628
X2849.TT.EQUITY,0,0,0.0118388536605717,0,0,0,-0.0198710332301212,0,0,0.161962735919985,0,0,0,0.00744573840203502,0,0,0,0,0.155489242022186,0,0,0,0.0189361429386197,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.2050626394005,0,0,0,0,0.162639773762459,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.253665985694356,0,0,0,0,0.00786893071620765,0,0,0,0.0645987886316529,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,-0.00434878572425527,0,0,0,0.0222214473374358,0.0924591297189598,0,0,0,0.188504741289811,0,0,0,0,0,0,0,0,0,0.0375085456003075,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0.269365582089564,0,0.00431923531904689,0,0,0,0,-0.00282935261956434,0,0.038169797767118,0,-0.0696350423388527,0.142206791062959,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0.00263461140733584,0,0,0,0,0,0,0,0,0,0,0.000477239965569851,0.0332306144335215,0,0,0,0.254800164071173,0,0,0,0,0,0
X2548.TT.EQUITY,-0.000432852386452641,0,0,0,0,0,0,0,0,0.0627072535282063,0,-0.00309213179835015,0.0209770729128456,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786435903981981,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0.0199110112742474,0,0,0,0,0,0,0.171048097213257,0,0,0,0,0.099589279215661,0,0,0,0,0.167784031340963,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0.0179542948546257,0,0,0,0,-0.136163297789722,0,0,0.0557474124241592,0,0,0,0.0188159869212803,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0.335790547806304,0,-0.0212713125706336,0,0,0.283455399387184,0,0,0,0,0,0,0,0,0.055415796876258,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,-0.00935275732888681,0,0,0,0,-0.0401434474925384,0,0.0339627346698972,0,0,0,0,0,0,0,0,0,0,0.151598877621517
X2820.TT.EQUITY,0,0,0,0,0.0454184426222717,0,-0.00021669594645292,0,0,0,0,0,0,0,0.101146707129004,0,0,0,0.0402856340700515,0,0,0,0,0,0
X2905.TT.EQUITY,-0.00333959438604935,0,0,0,0,0,0,0,0,0.163212493164712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,-0.00294307507968507,0,0.0776409623363813,0,0,0,0,0,0,0.353783931262911,0,0,0,0,0.129268162559433,0,0,0,0,0.0445191844985071,0,0,0,0,0
X9940.TT.EQUITY,0,0,0.00504081688993457,0,0,0,-0.00606631004840458,0,0,0.0111015804868475,0,0,0.110076939499191,0,0,0,0,0,0.358442259074085,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,0,0,0,-0.00414729692457255,0,0,0,0,0,0,0,0.190357192981185,0.0154100241504891,0,0,0.0851559386616414,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.203502207782345,0,0,0,0,0.155473298203282,0,0,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133307197295667,0.362480338890964,0,0,0,0,0,0
X600848.CH.EQUITY,-0.000939032474013406,0,0.00806753552474863,0,0,0,-0.00252790586393563,0,0,0,0,-0.0049563415511967,0,0.00171213292489786,0,0.000952408189103574,0,0,0,0,0,0,0,0,0
X2897.TT.EQUITY,-0.00368473232818645,0,0.0148613007987765,0,0,0,0,0,0,0,0,0,0,0,0.267110568721981,0,0,0,0,0,0,0,0,0,0
