,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.481144131550183,0,0.10024508674344,0,0,0,0,0.0569959511778126,-3.46944695195361e-18,0,0,0.18904441517381,0,0,0,0,0,0.0571708650896242,0.0156114816670605,0,0.00353207862886687,0,0.00272870036612202,0,0,0
X601398.CH.EQUITY,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.117831470885235,0,0,0,0,0,0.186786687366152,0.00807381880025638,0.0338831214206353,0,-0.00588269025256211,0.075417400920709,0.023345878056936,0,-0.00790047639767493,0.00186698522055343,0,0.0476423412844066
X601318.CH.EQUITY,0,0.0366964616895544,0,0.271101328355541,0,0,0,0,0,0,0,0.0483882843825809,0.225628442761383,0,0,0,0,0,0,0.0426296279922562,0,0,0,-0.106231279805546,0,0.00549345574335381,0,0,0.00475199195915206,0,0.0809701635717861
X2318.HK.EQUITY,0.123627349426244,0,0.534735954544422,0,0,0,0,0,0,0,0,0,0,0.0163982277732084,0,0,0,0,-0.0183022168429236,0,0.00276824135845062,0,0,0.162018271061318,0,-0.0231114496416569,0,0.00206669287045369,0,0,0
X601939.CH.EQUITY,0,0.151711910697365,0,0,0,0.150354022308294,0.0809421042991667,0,0,0.0600275463027812,0,0,0,0,0.0659253162439205,0,0,0.10445138925489,0,0.0456671958861678,0,0,0,0,0,0,0,-0.0142773676924681,0.00924534641024186,0,0
X939.HK.EQUITY,0.251728149657088,0,0,0,0,0,0,0,0,0,0,0,0.0322912940596982,0,0,0,0.39871015894275,0,0,0,0.00749297498920649,0,0,0.131624937750627,0,-0.00757424389366526,0,0,0.00936670205935378,0,0.04491375220953
X601288.CH.EQUITY,0,0,0,0,0.169360940206282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611057315607625,0.115253245904722,0,0.0069947404272691,0,0,0,-0.00396671576758233,0.00246013201790235,0,0.0711394359847018
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11201222621765,0.00408857373554525,0,0,0.207377533090172,0.0551993164228909,0,-3.46944695195361e-18,0,0,0.0461750800038956,0,-0.108445516966255,0,-0.00214806449318955,0.0161382262204554,-0.098636188378963,0
X601988.CH.EQUITY,0,0,0,0,0.0464958291534766,0,0,0,0,0,0,0.0864889901638092,0.00103963444767276,0,0,0,0,0,0,0.0563392241842503,0,0,0,0,0.0121040359887883,0,0,0,0.00300144699836088,0,0.0454066197478214
X3988.HK.EQUITY,0.505963980766766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166069495336709,0,0.139148004278265,0,0,0.0526877290011476,0,0,0,-0.00871507011154291,0.0407909811259986,-0.00412826759996766
