,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0564752666544669,0,0.596489789249537,0,0,0,0,0,0,0,0.10898395187025,0,0.0587224881374403,-0.0715208538013397,0,0,0.173889197780033,0,0,0,0,0,0,0,0.0252293651783469,0,0.00867583754967842,0.0141879484278756,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.215790686152014,0.0942884428593647,0,0,0,-0.136443749969937,0,0,0,0,0,0,-0.0862259680378458,0,0,0,0.0369637812283316,0.29688860767482,0.0800870801692219,0.0109573390785101,0,-0.0167907016924341
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.577283816887403,0,0,0,0,0,0,0,0,0,-0.0113035401704058,0,0.0184820193212601,-0.00567655723564166,0,0
X939.HK.EQUITY,0.318154289892776,0,0,0,0,0,0,0,0,0,0,0.0587773097315782,0.147351285909255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011009848203054,-0.00341978996299355,0.0327531323348001,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0429786813758,0.0599998640313681,0.19518290379316,0.0105345025751384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00195161364569014,0.0183074089679893,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.280831657866776,0,0.0389545281788784,0,0,0,0,0,0,0,0,0,0,0,0.306284115689977,0,0,0,0,0.0333981782098953,0
X601288.CH.EQUITY,0,0,0.278319374357464,0,0,0,0,0,0.146254533177856,0,0.00945553554931541,0.0230507543101084,0.0143411177756389,0,0.0111558777715736,0.0887036462797753,0,0,0,0,0,0,0,0,0,0.0159461509630122,0,0,0.00469711315497848,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0953210687294559,0.330971068456994,0,0,0,0,0,0.20086796895131,0,0,0,0.0327617455165481,0.119965028713548,0,0,0,0.0201738022154892,0.0210590074024122,-0.00334797943139167,0,-0.0977115774268572
X601988.CH.EQUITY,0,0,0.180703271474504,0,0,0,0,0,0,0,0,0,0,-0.000485618851354614,0,0.240401904925169,0,0,0,0,0,0.0677675941152588,0.0509534109779252,0,0,0,0,0.00125294110323296,-0.0112830049918684,0.00742686645572706,-0.00461372470589012
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.259663105850654,0,0,0.171710943514304,0.0369218201349326,0.0856059108166113,0,0,0,0,0,0.0152339633337213,0,0,0,0,0,0,0.00678718835028045,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0728299301888004,0,0,0.251065373256389,0,-0.0811763974309833,0,0,0,0.159706642851015,0,0,0,0,0,0.369989637382532,0,0,0,0,-0.0336625922320122,0.0933714290192978
