,X2892.TT.EQUITY,X5.HK.EQUITY,X2849.TT.EQUITY,X83.HK.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X2880.TT.EQUITY,X601878.CH.EQUITY,X6005.TT.EQUITY,X3040.TT.EQUITY,X2867.TT.EQUITY,X2548.TT.EQUITY,X2501.TT.EQUITY,X601377.CH.EQUITY,X601162.CH.EQUITY,X600848.CH.EQUITY,X1903.TT.EQUITY,X600109.CH.EQUITY,X2905.TT.EQUITY,X5876.TT.EQUITY,X000656.CH.EQUITY,X1463.TT.EQUITY,X2885.TT.EQUITY,X601108.CH.EQUITY,X000783.CH.EQUITY
X2892.TT.EQUITY,0,0,0.0842874481412647,0,0.720529880913515,0,0,0,0.00618648623072034,0.215275342912034,0,0,0,0,0,0,0,0,-0.000882755121172672,0,0,0,0.343351115131932,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0.112696454910063,0,0,-0.00162804672359591,0,-0.287902249104777,0.154538676627644,0,0.0278366778233218,-0.054030948135155,-0.0184265972289235,-0.156801671481997,0.315381381623598,0,0,0,-0.0658576600321214,0,0,0.00277015336150322,0,-0.131666855904341,0.429740913521234,1.14043384406808,0
X83.HK.EQUITY,0,0.937502235156285,0,0,-2.77291431820306,-0.778720102138601,0,-0.939440012566911,-0.410896568960509,0.468273108530544,0.659849817940913,9.30619664727024,5.0366874136565,0,0,0,0,-10.1939581217429,-0.428062441600187,-3.47656246002222,0,-2.66720250186923,0,0,0
X5880.TT.EQUITY,0.0900860791146563,0.0237503546732886,0.103927298178667,0,0,0,0.217188494220868,0,0,0,0.00561831006764948,0,-0.0477607550583409,0,0,0,0.0970868272199156,0,0.0712928139907526,0.101260094507851,0,0,0.140183967097458,0,0
X5534.TT.EQUITY,0.156398748375049,0,0,0.00697412801165271,0,0,0,0,0,-0.0367296520511721,-0.0252044224842234,0,0,0,0,0,0.00768364844872091,0,0,0.0594735359787329,0,-0.3912677435991,0,0,0
X2880.TT.EQUITY,0,0.0229212907526638,0.040903041246135,0.0247001021669928,0.0448741002490992,0,0,0,0,-0.0201081088307923,0.0112673376237672,0,0.281151279487629,0,0,0,0,0,0.125166259235362,0,0,0,0.222589791239243,0,0
X601878.CH.EQUITY,-0.0178849022202189,0.0123576941281794,-0.00195861931927559,-0.00122552252580337,0.0313570471847088,0,0,0,-0.00364413415936493,0,-0.00198584478603986,0,0,0,0,0,0.0191090719262173,0.150244473021131,0,0,0,0.0235120778961441,0,0.127442831548229,0
X6005.TT.EQUITY,-0.0560124325325088,0,4.10031884592367,-0.149401417620674,0,0,0,0,0,3.13311204078945,-0.379588309446396,0,0,0,0,0,0,0,0,0,0,0,-3.71636081752733,0,0
X3040.TT.EQUITY,0.483823558302382,0,-0.11591791061636,-0.000278151445380315,0,0,-0.512948937396226,0,0.0620765778310478,0,-0.00616261769978638,0,0.349426577235053,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0.712780117634874,-0.0294342623600733,0,0.2764404161026,5.68392367478755,0,0,0,-0.00755971439911578,0.949713036086993,0,0,1.63736994623088,0,0,0,-1.86535570449191,0,-4.77651061634642,0,0,-11.5882110938479,0,0,0
X2548.TT.EQUITY,0,0.0555481914515848,0,-0.0170404216660697,0.0510589952260326,0.248877119121122,0.101570040544029,0,-0.00701628576943987,0.127937181718702,-0.0208578689023143,0,0,0,0,0,0,0,0,0,0,0,-0.0735581805795108,0,0
X2501.TT.EQUITY,0,0,0,0.00390527231257835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352612057692572,0,0
X601377.CH.EQUITY,0,0.00276207561169299,0.00798993871136069,-0.00116901071945291,0,0.00631083538703429,0,0,-0.00106223924285314,0.00318530522260977,0,-0.00994605313298735,-0.00383088188170334,0,0.0474245714808743,0,0,0,-0.00187280355565699,0,0,0,0,0.216813755104807,0
X601162.CH.EQUITY,-0.00371751008619705,0.0208175886916058,0,0.00674027810860114,0,0,0,0,-0.0136339758000091,0.0340885642976968,-0.00664907746834646,0,0,0,0,0,-0.0186064549448616,0,0,0.0836805436587337,0,0,-0.0336304108437768,0,0
X600848.CH.EQUITY,0.00469687805338118,0.0049547884944827,0.0218630821333051,-0.00184064269956637,0,0,0,0,0.00769881281472668,-0.0141069250859452,-0.00356587691382213,0,0.00863299218454479,0,0,0,0,0,0,0.0504693232104563,0,0,-0.0534179487841553,0,0
X1903.TT.EQUITY,0,0,0,-0.00838909460980519,0,0.079547882124351,0,0,0.00341954461227798,0,-0.0174127155597451,0,0.036454566922939,0,0,0,0,0,0,0.350157688562806,0,-0.180739658815071,0,0,0
X600109.CH.EQUITY,0.0180189539053631,0.000421817254462588,0,-0.00113383706890175,0,0,0.00376664127300697,0,-0.00617354911076474,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0318206127866513,-0.0265422600284443,0,0,0.0269089859009016,0,0
X2905.TT.EQUITY,0,0,0,0.00884078156244119,0,0,0.272810111019638,0,0,0,0.00212627901629648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,0,0,-0.0230960793515531,0.372840994566051,0,0.832261765171441,0,-0.00409862829474205,0,0,0,0,0,0,0,0,0,-0.0950381725138457,0,0,-0.200839800929397,0,0,0
X000656.CH.EQUITY,0.00474651106605664,-0.0296614635973065,1.73472347597681e-18,-0.0060159777243102,0,0,0,0,-0.00581133356351265,0,-0.00459868949939241,-0.110550857971413,0.0618059236811528,0,0,0,0,0,0,0,0,0,-0.0295203209437205,0,0
X1463.TT.EQUITY,0.0900757060394246,-0.00406694360831776,0.0207963589398557,0,0,-0.301850931294602,0,0,0.0357909492497043,-0.119443585089265,-0.0450690657797383,0,0.390010126778985,0,0,0,-0.132378089680727,0,0,0.0589103150525167,0,0,0.0746118204938062,0,0
X2885.TT.EQUITY,0.140860257681996,0.00498313079087821,0.338051313558486,0.0120194617798249,0.130653664428187,0,0.0073329057677901,0,-0.0824695672245812,0,-0.0518626249676049,1.02294802271592,0.339890010682855,0,0,0,0,0.788652815171969,-0.426523636602963,0,0,0,0,0,0
X601108.CH.EQUITY,0,0,0.0218517268326348,0.00159568579600116,0,0,0.032852772233119,0,0,-0.0153040731160922,-0.00569615790978405,-0.0168910311414072,0,0,0.126522201790521,0,0,0,0,-0.0319976346147552,0,0.0177246996322061,-0.0012403520035412,0,0
X000783.CH.EQUITY,0,0,0.0113827926046799,0.00113725985789979,0,0,-0.0473809636132856,0,-0.00591496171234303,0,-0.0024137889292082,0,0.0223781870681869,0,0,0,0,0,0.00219729423859525,0,0,0.0145944776925952,0.0201532687232798,0.102164658101447,0
