,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.219118474594977,0,0,0,0,0,0,0.0176524635834201,0,0.0519772365393334,0,0,0,0,0,0,0,-0.0062288960246823,0.00838804587227109,0,0.0252353321056885
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110875012279797,0.538158515080362,0,0,0,0,0,0,0.148195942742402,0,0,0,0.00859353766719821,0,0.00544528736127941,0,0,0.0759299214186291
X601318.CH.EQUITY,0,0,0,0.308390926904072,0,0,0,0,0.0138167179209907,0,0,0,0.146895248441417,0,0,0,0,0.00198257317192732,0,0.173890685899474,0.0523607470438917,0,0,0,0,0,0,-0.0254701987494993,-0.0314110778550865,0.0220379627046119,0
X2318.HK.EQUITY,0,0,0.350724386002072,0,0,0,0,0,0.00960650627399607,0,0,0,0,0.260782459084319,0,0,0,0,0,0,0,0.023727276016318,0,0.0828969608107508,0,0.0274661421573007,0,0.0194944578226574,-0.00239902570796881,0,0
X939.HK.EQUITY,0.0572097980471118,0,0,0,0,0,0,0,0,0,0,0,0.0746552796636647,0,0,0,0.0605800461070162,0,0,0,0,0,0,0.327153675837215,0,0,0,0,-0.00565434189455423,0.0155748778110119,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.510136675998175,0.0144773198727172,0,0.0998146150861001,0,0,0,0.24009974836808,-1.38777878078145e-17,0,0,0,0.0153923602857093,0,0,0,0,0,0.0126929055380684,-0.0216601763870776,-0.0114546555745537,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0614644960028632,0.045885249098294,0,0,0,0.170681032699976,0,0,0,0.189330380190894,0,0,0,0,0,0,-0.00546733996677282,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0509316090031262,0,0.1513020323159,0,0.084404009102013,0,0,0,0,0,0,0,0.0754654893269192,0,0.0214647433617048,0,0,-0.0793841460580069,-0.00121480063918189,-0.0352251505341925,0.0124852437587937,0
X3988.HK.EQUITY,0,0,0.0502064382524846,0,0,0,0,0,0,0,0,0.294408446416289,0,0.0527899674978142,0,0,0,0,0,0,0,0,0,0,0.00223152406248894,-0.0457326484356204,0,-0.00459391243465047,-0.0352478628944121,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0229422826904305,6.93889390390723e-18,0,0,0,0,0,0,0,0.215530261909134,0.0897583556586778,0,0.137611342534847,0,0,0,-0.00259974794721288,-0.0295239246182654,0.0229005291338031,0
X600036.CH.EQUITY,0,0,0.239706797226547,0,0,0,0,0,0,0,0,-0.12061007084298,-0.0568798150516865,0,0.340604256996311,0,0,0,0,0,0,0.0919885478123896,0.274280747102258,0,0,-0.00383147344209073,0,-0.0335998448281689,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,-0.0879144788220906,0,0,0,0,0,0.180136176462444,0,0,0,0,0,0,0,0,0,0.272879321839386,3.46944695195361e-18,0.173029356499513,0,0,0.0108804880437096,-0.0217480227324169,-0.00179557864990507,0
X601628.CH.EQUITY,0,0,0.483990541371372,0,0,0,0.240521248687876,0,0,0,-0.202199180958805,0,0,0.126258214106909,0,0,0.120446537926534,0.223871844193661,0,0.112933385831353,-2.77555756156289e-17,0,0,0,0,0,0,-0.045553302192554,-0.00785546190431489,0.119268137813785,0
X2628.HK.EQUITY,0,0,0.0421282553125979,0.43220626763734,0,0,0,0,0,0,0,0,0.262575564885546,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0348748971291377,0.00980969259397624,0,0,0.00972202128604593,-0.0106265236529472,-0.00234940288632369,0
X3328.HK.EQUITY,0,1.21422473883534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115143117193159,0,0.0022854366995433,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.337465527859246,0,0,0,0.0426908785288005,0,0,0.0772093346948389,0,0,-0.0724486435878185,0,0.192320501477102,0,0,0.0963790230827386,0,0.000979752611992487,0.0283141519617125,-0.0408514726484641,0
