,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115944089808126,0,0,0,0,0,0.00702852588818987,0,0,0.213976079030224,0,0,0.0361009454653385,0,0.00590561386811914,-0.00243682326588706,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.130718499247692,0.123045987050811,0,0,0,0,0,0.0499475472124126,0.0222528296995947,0,0,0.210219855131678,0.00235251249320656,0,0.0439606386477179,0,-0.000650224276578022,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0193240109438495,0.0415981151900338,0,0,0,0,0,0,0,0,0.326615355684486,0,0,0.0697747424620845,0,0.0129433840077927,-0.00865810959793589,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.20459127636372,0,0,0,0,0.020689814123432,0.112255473102508,0.0476181058565775,0,0,0.0589350780313932,0,0,0.0658606327772745,0,-0.00780494208747925,0,0,-0.0490510930279701
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.121015978010557,0.122657448119085,0,0,0,0,0,0.0688625883585324,0,0,0.139782965178321,0.150905759231632,0,0.0453776753331455,0,0.00961994773980033,0.0155177465182538,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00321143711022078,0.38611778088984,-4.33680868994202e-19,0,0,0,0,0.0917058041069694,0.0430730727320334,0,0.0614033923825189,0.0301945553461138,0,0,0.0370905197090804,0,0,4.33680868994202e-19,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597751183282135,0,0,0,0,0,0.0584620417962301,0,0,0.0641241580818438,0.10477064159649,0,0.0569808114059004,0,0.00243300333768111,-0.00155230953419717,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.377621671320095,6.93889390390723e-18,0,0,0,0,0,0.0239497787121653,0.106904165789421,0,0.0199273987255869,0,0,0,0.067442359294217,0,0.00485270712603331,0.00799295713042865,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.013877679551401,0,0,0,0,0,0.0474793727585339,0.0978714668780708,0,0.0117009269697502,0.104566073246933,0.0629960650462581,0,0.0211743886631095,0,0.00169419294938791,-0.00117236508850653,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.203865889731583,0,0,0,0.333794998695333,6.93889390390723e-18,0,0,0,0,0,0.15730475143646,0,0,0,0,0,0,0.0837155556298937,-0.0205571159541438,-0.0112920504997032,0.0203692809294117,0.124884376785204,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.230288070274801,0.219221198738505,0,0,0,0,0,0.0794497175975359,0,0,0,0.159758439690895,0,0,0,0.0354826569652045,0,0.0163409580684564,-0.00284605726631881,0
X1299.HK.EQUITY,0,0.120864638194846,0,0,0,0,0,0,0,0,0,0,0.31111961172301,0.072026047279292,0.227281708785539,0,0,0,0,0,0,0.038967675511047,0,0,0,0.0666140362318498,0,-0.0109521752720809,0.023811403040085,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.191988065323298,0,0,0,0,0,0,0,0.0748795982198308,0,0,0,0,0.0780300054488205,0.327197980819568,0,0,0.294047151963164,0,0,-1.73472347597681e-18,0,-0.0183334716642114,0.00393545945059925,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.447082492330836,0,0,0,0,0,0,0.0894081558640657,0,0,0,0.265647682665762,0,0.00287917175746331,0,0.0278160963249247,-0.00197146164484593,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.026278258924962,0,0.056152851786489,0,0,0,0,0,0,0.123134632158017,0.062340841720564,0,0.108221599635245,0.155214655574917,0,0,0.0423818300588097,0,0,0.0143953484179379,0,-0.0342600466151045
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0828893617567385,0,0,0,0,0.310440578293405,0,0.0935496061105272,0,0,0.0327454563940938,0,0,0.0167021075984244,0,0,6.7762635780344e-21,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.053782601244134,0.0845161772588982,0.102656191984449,0,0,0,0,0.092705528636563,0,0,0,0.307805820208337,0,0,0.0719825314001238,0,0,0.00358914772783336,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.131535042667494,0,0,0,0,0,0,0.258257976148028,0,0.0873259681831456,0.134295941295997,0,0,0.115465700033929,0,0.0151769668859055,-0.0170247855249208,0,0
X000002.CH.EQUITY,0,0,0,0.0737617177443691,0,0.434753063815824,0,0,0,0,0,0,0.267516874742265,0,0,0,0,0,0,0,0,0,0.0188495828908595,0,0,0,0,-0.00890977168194734,0.0214823667760177,0.0414536975619408,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.233746054531884,0,0,0,0,0,0,0,0,0,0.120163194848916,0.605912576817229,0,0.0316801092047683,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0.17555503312944,0,0,0,0,6.93889390390723e-18,0.254412265952457,0.0246341155043166,0,0,0,0,0,0,0,0,0,0.130419300163444,0,0,-8.67361737988404e-19,0,-0.0070987583888465,0.00682320269059443,0.00223206797592927,0
X16.HK.EQUITY,0,0,0,0,0,0.528515914951302,0,0,0,0.0971648005163221,0,0.0518770552560189,0.018913579626543,0.119022881462796,0,0,0,0.160502789452447,0,0,0,0,0,0,0,0,0,0.00665186238869832,0.00363398198192928,0.0690131244536917,0.112600516037021
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.304911998693337,0,0,0,0.215632650061882,0.193060328640169,0.0337398044011456,0.0376547934380226,0,0,0,0.152435330739268,0,0.0437260539554169,0,-0.016681035442521,0.0105650791918777,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243120170999433,0,0,0,0,0,0.315818831194793,0,0,0.305639348017316,0,0,0,0,0,-0.00252096905564828,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.121495044536475,0.0445379518669426,0,0,0,0.0349824125921528,0,0.18676501584538,0,0,0,0,0,0.0856889059137975,0,0.00909651361333124,-0.00537612946313305,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366426103730262,0,0,0,0.564254346124963,0,0.0358067945209214,0,0,0.398939120465759,0,0,0,0,0,0.0609478262525226,-0.875898913905335,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0.56847693712353,0,0.026910260978085,-0.266191708740517,0,0,0,0,0,0,0,-0.223318022463117,0,0,0,0,0,-0.227525405905544,0.0442707638867954,-0.0252856664465189,-0.0350017420174337
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,1.21167589858706,-0.996138500927515,0,0,0,0,-0.116555297334475,0,0,-0.795361211037897,0,0,0,0,-3.73722875040162,0,0.16287844311782,-0.192878448633578,-0.598522707119051
TED.SP,0,0,0,0,0,0,0,0,0,-1.02532701392735,0,0,0,0,0,0,0,0,1.41931273367728,0,0,0,0,0,0,-0.369289125180734,0,0,0,0,-0.281163588479238
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.047692150398751,0,0,0,0,0,0,0,0,0.134339940463145,0.394098070529367,0,0,-0.730651147538786,0,0,0.0124437044422709,0,-0.667854729673922
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0.308827310387641,0,0,0,0,0,0,0,0,0,-0.407654257131457,-0.163137400034248,0,-0.234855552854892,0,0.0263269130342375,-0.0529673063430567,-0.147211220014533,0
