,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.161828544358168,0,0,0.0441057119533547,0,0,0,0,0,0,0.0123363385306275,0,0,0,0,0,0.014373046586089,0,0.0132686245830263,0,-0.0169346758337142,0
X1398.HK.EQUITY,0,0,0.156493951237341,0,0,0,0,0,0,0,0,0.0493518332353209,0,0,0.247443058483248,0,0,0,0,0,0,0,0,0.182100960874786,0,0,0,-0.00320415939122973,-0.0128099699414097,0,0
X939.HK.EQUITY,0,0.326856346983818,0,0,0,0,0,0,0,0,0.120802560560717,0.0572829719993108,0,0,0.0438279779115033,0,0,0,0,0,-0.0314893836900335,0,0,0.0383982205871682,0,0,0,-0.0221959910820257,0.00207214168182983,-8.67361737988404e-19,-0.0530638013381824
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.176422630306533,0,0.0377808767932242,-8.67361737988404e-19,0,0,0,0,0.172340784895438,0,0,0,0,0,0.00783390307407235,0,0.0116342916535502,0,0.0358167733612686,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.029294916902044,0,0,0,0.00804224461632547,0.197893337759198,0,0,0.140353642973472,0,0,0.0521700006681083,0,0,0,0,0,0,0.0294838205813317,0,0.0440410623133889,0.035912680617943,0,-0.0167345839677621,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.348534085024725,0,0,0.186178908209806,0,0,0,0,0,0,0.0920138333004602,0,0,0,0,0,0,0,0.00291633558974242,-0.0143701127612897,0.0578740311057952,0
X601288.CH.EQUITY,0,0,0,0.107777887965834,0,0,0,0,0,0.093845735905068,0,0.0147693760010968,0.041975354123785,0,0,0,0.0220169330856599,0.145500525232095,0,0,0,0,0,0,0,0.00610140051849231,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.120882135881289,0,0,0,0,0.112013373799291,0,0,0,0,0,0,0,0.0584556397429833,0.0993347174816705,0,0,0.0335575513770898,-0.0338480059968513,0,0,0,0.0928636803473799,0,0,-0.00269278961958646,0.0786162477599177,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.196194535299754,0.0334731513102048,0,0,0,0,0,0,0,0,0,0,0.0741805784813865,0.212270188923457,0,0.0164195241826958,0,-0.00231607106763237,-0.0109448127636905,0,-0.0697278159067794
X600036.CH.EQUITY,0,0,0,0,0,0.0580664373117131,0,0,0,0,0.0407894354470713,0,0.132107477175667,0.141059778090185,0,0,0.01012931481833,0.242758878095549,0,0,0,0,0.209571657673263,0,0,0,0,-0.0386009185855936,0.00860934404365478,-0.0553351337070686,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.451266567916626,0,0,0,0.155037589342689,0,0,0,0,0,0,0,0.555942459798979,0.0864007375564679,0,0,0,0,0.0135217169266916,-0.0194312991811529,0.10152850831708,0
X5.HK.EQUITY,0,0,0.280556656620676,0,0,0,0,0,0,0,0.121220862485366,0,0.346175057780218,0,0.0567566540666811,0,0,0,0,-0.158676085034096,0,0,0,0,0,0.023104785690128,0,-0.0245120001103585,0.00128059143832251,0,-0.400544684996951
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367973073567634,0,0,0,0,0,0,0,0.122770420597489,0,0.023640644357469,0,0,0,0.0404663620109382,0,-0.0620801368867632,0.0191999835429648
X2628.HK.EQUITY,0,0,0,0,0.175995806465616,0,0,0,0,0,0.0832937175016798,0,0.419656517496404,0,0,0,0,0,0,0.0148724841989337,0,0,0.0149565277087557,0.44435993825879,0,0,0,-0.0255073170231385,0,0,-0.127701318323048
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0634191196351136,0,0,0,0,0,0.122026656216931,0,0,0,0,0,0,0.342527260904544,0,0,0,-0.00903802373170584,-0.0241305593769392,0.00817785412988189,-0.0692557838484446
X601328.CH.EQUITY,0,0,0,0.111345338491707,0,0,0,0,0,0.122234753361844,0,0,0,0,0,0,0.0392644383311749,0.0547089979193861,0,0.033129471625049,0.15293693020112,0,0,0,0,0,0,0,-0.00113124096055693,0,0
X388.HK.EQUITY,0,0,0,0,0,0.268315480200641,0,0,0,0,0.162208882718155,0,0,0,0,0,0,0,0,0,0,0.0475130882614326,0,0.148998950387938,0,-0.107734470423214,0.0269231951828404,0,-0.00533754384542318,-0.092055688588233,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.583713025710195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126522489791021,0.000357139683362386,0,-0.00595501275210444
