,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.317346863452265,0,0,0.022249152447473,0,-0.120582160519191,0,0,0,0,0.0189707331149738,0,0,0,0,0,0,0.00786932578123509,0,0,0.0712431565188174
X1398.HK.EQUITY,0,0,0,0,0,0.596734710516831,0,0.0447197833357149,0.104996008743741,0,0,0,0.062105597827279,0,-0.198427470982951,0,0,0.0194357259799863,0,0,0,0,0,0,0,0,0,0.0514588555531367,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.266849106578183,0,0,0,0,-0.0420925590786054,0,0,0.071513740423261,0,0,0,0.016267640408938,0,0,0.128577628384425,0,0,0.0332222889871826,0,0
X2318.HK.EQUITY,0,0.0940252937263953,0,0,0,0,0,0.0780826247385945,0.114545059551682,0,0.0255208432054557,0,0,0.103827826204724,0,0,0.0309693205298797,-0.00610971986497721,0,0,0,-0.0624263884858448,0,0,0,0,0,0,0.0436158445113484,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.919347878078764,0.014333231701308,0.0287638331328386,0,0,0,0,0,0.000337319449745734,0,0.0221898585698686,-0.00661825909697135,0,0,0,0.0758588466321118,0,0.0590573041180279,0,0,-2.71050543121376e-20,0,0,0
X939.HK.EQUITY,0,0.571346409444913,0,0,0,0,0,0.0216208218399788,-4.33680868994202e-19,0,0.135416958637797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116072781091577,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.753958068310637,0,0,-0.059303737862542,0,0,-0.0297824953846507,0,0,0,0,0,0,0.000974622857398495,0,0,0,0,0,0.128265272015289,0,0,0.0224857797689391,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,-0.248726354296104,0,0,0.554460479484375,0,0,0,0,-0.218570955739878,0.0145894612147823,0.581089759339135,0,0,0,0,0,0,0,0,0.157281915218024,0.421141105499788,-0.165547780632022,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.200445180224629,0,0.391709377621145,0,0,0.416015316649792,0,0.254376153089304,0,0,0,0,0,0,0,0,0,0.0330524703252008,0,0,0.0642899580453955,0.0692509971993954,0
X600036.CH.EQUITY,0,0.0913872245399623,0,0,0.622107447141938,0,0,-1.73472347597681e-18,0,0,0.0173205120189672,0,0,0.0201056064173034,0,0,0,0,0,0,0,0,0.069427171347917,0,0,0,-0.0597787265022749,0.0669168603825634,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.217952821297814,0,0,0,-0.0775266473767372,-0.162042244441752,0.321154848753563,0,0.0399896891330937,0,0,0.0656580031295692,0,0,0,0,0,0,0,0.0391494190173502,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.149713699360385,0,0,0,0,0,-0.0125985173058385,0.692734013817772,0,0,0,0.0512133462221135,0,0,0,0,0,0.052088305015488,0.0758836523582647,0,0
