,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.22581486865781,0,0,0,0,0,0,0.0849463171033699,1.73472347597681e-18,0.103818191769092,0,0,0,0,0,0,0,0.110800614112409,0,0,0,0.0296949049597055,0,-0.00745469302012303,0.00488332790462052,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0607768219692576,-0.0441183105353729,0,0,0,0.291269279464223,0,0,0,-0.0172774365186904,0,0,0,0,0,-5.56053953979975e-05,0.0275507174793705,0,0
X2318.HK.EQUITY,0,0,0,0.371227187848238,0,0,0,0,0,0,0,0.0214282468220621,0.0430450714321004,0,0,0,0,0,0,0,0,0,0,0,0.293185502241205,-0.0382524938570446,0,0,-0.0134875923555582,0,0.019989274966682
X601318.CH.EQUITY,0,0,0.240140192617604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099880563700127,0.213918847636313,0.0574094525177081,-0.0305233392939542,0.163948083414674,0,0,0,0.0624043221444768,0,0.0315920114492788,-0.00629089137352492,0.0616344744394219,-0.00707703008313643
X939.HK.EQUITY,0.163482548686987,0,0,0,0,0,0,0,0,0.0570033018830988,0,0.126088158581922,0,0,0,0,0.145615656967257,0.0158103532029377,0.072396774888117,0.101219464643146,0,0,0,0,0,-0.0441991475796942,0,0.00147842459996918,0.019017286641556,0,0.0162621651998961
X601939.CH.EQUITY,0,0.262835034929657,0,0,0,0,0,0.0490162306786188,0,0,0,0,0,0.024038888489537,0,0,0,0,0,0.130128541814248,0,0.0905252433666618,0,0,0,0.0228649332942769,0,-0.00013537827377438,0,0,0
X601288.CH.EQUITY,0,0.0178396262499986,0,0,0,0.0865120585661651,0,0,0.00637765894063712,0,0,0,0.0223957953255978,0,0,0,0,0,0.197426162233748,0,0,0,0,0,0,-0.031265147055119,0,0,0.000801915870697691,0,0
X5.HK.EQUITY,0,0,0,-0.201228335238463,0,0,0,0,0,0,0.720258810227892,-0.0532357065604766,0,0,0,0,0,0,0,-0.0690302882745278,0,0,0.14572536437815,0.0686648836372996,0,0.0755886570673354,-0.0907795639645343,-0.0183852783720213,0,0,0
X601988.CH.EQUITY,0,0.0533951529554645,0,0,0,0,0,0.0450599979565329,0,0,0,0,0.133030189432173,0,0.0871875933799848,0,0,-1.73472347597681e-18,0.0293072810468296,0,0.0326867447083881,0,0,0,0,0,0,-0.00588939573481583,0.00295232621448632,0,0
X3988.HK.EQUITY,0.277027344137921,0,0,0,0.147690363116314,0,0,0,0,0,0,0,0.00118913870136712,0,0,0,0,0,0.0218153010642274,0,0,0,0.049760678053826,0,0,0,0.0267331029673505,-0.00378634692222592,0,0.0405827439841034,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116624530789609,0,0.275529770716239,0.205414195334834,0.0951932756504261,0,0.134723548516879,0,0,0,0.0438228801772057,0.0154207619972496,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.297153465607342,0,0.0457264629357088,0,0,0,0,0,0,-0.0984881453682674,0,0,0,0.368579064832403,0.223221882342326,0,0,0.0144400970754777,0,0.0233576463268447,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455129533855198,0,0,0.163190227639052,0,0.455044068531777,0.0480233475332894,0.0227322437803026,0,0,0.264614103450261,0.215281797444436,0,0,-0.0107354301877988,0.0133438032263851,0,0
X601628.CH.EQUITY,0,0,0,0.333561864875507,0,0,0,0,0,0,0,0,0,0,0.134310754536719,0,0,0,0.266147211949666,0,0,0,0,0,0,0,-0.217322700445434,7.83180745301873e-05,-0.00993287235083803,0.126238480200154,0.0223636731324601
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400581835003648,0,0.417310747347098,0,0,0,0,0,-0.0137260950190175,0.0153650556769871,-0.0107965288403352,0
X601328.CH.EQUITY,0,0.121492249833881,0,0,0.136055909200542,0,0,0.0466054952598435,0,0,0,0,0.102213259063887,0,0.0529170694889584,0,0,0.0607364260718583,0.0591886821455741,0.0713096609069186,0,0,0,0,0,0,0,-0.00488133057855494,0,-0.0149659738231444,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0292577762380664,0,0.0180634370047607,0,0,0,0.0996541985561678,0.0138517291412679,0,0.103115585666285,0,0.194421558407342,0.0951758916999178,0.0920287954539258,0,0.00103393014641403,-0.0179550569979471,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.244244305698815,0,0,0,0.261488514501504,0,0,0,0,0.118987488485245,0,0.0888229928897452,0,0,0,0,0,0.00756230874511239,-0.0487822011676962,0,0
