,X600958.CH.EQUITY,X600837.CH.EQUITY,X601288.CH.EQUITY,X601108.CH.EQUITY,X600816.CH.EQUITY,X3056.TT.EQUITY,X601318.CH.EQUITY,X3040.TT.EQUITY,X600369.CH.EQUITY,X600061.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X600919.CH.EQUITY,X601066.CH.EQUITY,X2905.TT.EQUITY,X600848.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X601155.CH.EQUITY,X600036.CH.EQUITY,X5876.TT.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600958.CH.EQUITY,0,0,0,0.0219519908612488,0,0,0,0,0.372571395056059,0.0681698708859133,0,0,0,0.101979939204325,0,0,0,0.150709521791222,0,0,0,0,0,0,-0.104627624698177,0.0136099595142059,0,0.125573168852533,0.0251964743440511,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0.0601202904258701,0,0.201988980855232,0,0,0,0,0.37747202803407,0,0,0,0.184900132768157,0,0,0,0.0729322022930723,0,0,0,0,0,0,0.00677744818001531,-0.0762759917788594,0
X601288.CH.EQUITY,0,0,0,0.023928330912554,0,0,0,0,0,-0.148753252342043,0,0,0,0.0316274746062028,0,0,0,0.0347736834873504,0,0,0,0,0,0.389567570784333,0,0,0,0,0.0129653672873886,0.00107204842812689,0
X601108.CH.EQUITY,0,0,0,0,0,0,0,0.0369933536273758,0.42850496481805,0,0,0,0,0,0,0,0,0.302340034103319,0,0,0,0,0.203554075643371,0,0,0,0,0,-0.0805330748777666,0.0751424830079011,-0.216030218723742
X600816.CH.EQUITY,0,0,0,0.263471893377749,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.119645953658101,0,0.0412011577618688,0,0.0737822824013651,0,0,0,0,0.00229176621303361,0,0,-0.15109782831734,-0.00324202298157326,0,0.0830868399334753
X3056.TT.EQUITY,-0.176719693682844,0,0,0,0,0,0,0.215632941328155,0.26155100686046,0,0,0,0,-0.00769768926014529,0,0,0,-0.23982867110791,0,0.112402370492174,0.227904997716521,0,0,0.163657794822703,0,0,-0.621848308749613,-0.0522569600049193,0.0658702362296638,0,0.198783311544242
X601318.CH.EQUITY,0.0512811873389488,0.102284786270509,0,0,0,0,0,0,0,0,0,0.295857015399259,0,0.0323796245016143,0,0,0,0,0,0,0,0,0,0.138189843939446,0,0.0329944236168344,0,0,0.00770270086658416,0,0
X3040.TT.EQUITY,-0.127861182572667,0,0,0.19573660563689,0,0.0403082435127689,0,0,0,0.324724145856291,0,0,0,0,0.127936807757346,0,0,0,0,0,0,0,0,0,0,-0.0410314774965669,0,0,-0.0375009868940262,0,-0.103364033428192
X600369.CH.EQUITY,0.321399039926154,0.127189642390302,0,0.134806652916112,0,0,0,0,0,0,0.0741805323141902,0,0,0,0,0.424568050238137,0,6.93889390390723e-18,0,-0.031200940181289,0,0,0,0,0,0.013834287832785,0,0,-0.0296971605678411,0,0
X600061.CH.EQUITY,0,0,0,0.36568180123988,0.171071378913495,0,0,0,0.0391858230012711,0,0,0,0,0,0,0,0,0.0579112952268789,0.0347207703493563,0.160287061824425,0,0,0.0561884743073502,0,0,0,0,0,0,0,0
