,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0369373003862014,0,0.192635672685599,0,0,0,0,0.068783618111984,0,0,0.0677218179758454,0.0664624442254306,0,0,0.0594066828108345,0,0,2.16840434497101e-19,0,-0.0353959963623212
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0464086705530567,0.0408612576295962,0,0,0,0,0,0,0,0.0420483866114551,0.0703802941672892,0,0,0.0859211373619698,0,0.0105000839745337,-0.00794350005683419,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.125643622509961,0,0,0,0.0382412612986457,0.247028074453861,0,0,0,0,0.0271907231595768,0,0,0.0643699618739911,0,0.0093368925907299,-0.00192954567986892,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167990943975722,0,0,0,0.0413586844944129,0.00740108733953936,0.152577348321018,0,0.0928881197067508,0.0267969335189492,0,0,0.0485511489046505,0,-0.0109675557857147,0,0,-0.05759405379776
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0174269300867843,0.00341815905532382,0.394024977627185,0,0,0,0,0,0,0,0.10115337428702,0,0,0,0.0596668417345866,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0830109720458742,0.194024281051242,0,0,0,0,0,0,0,0,0.203106301279539,0,0.0971663904456889,0.0561378100817984,0,0.0098330629597002,0.0117100339385114,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319201522283392,0,0,0,0.101931033175982,0.119277331301307,0,0.0218138501525835,0.0522822293629401,0,0.00843167258197959,-0.00118872894920359,0,0
X601988.CH.EQUITY,0,0,0.0530505637972466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902668528355671,0,0.0213104153187891,0,0,0.122644266607334,0.0877250712090446,0,0,0.0170807957325529,0,0,0.000310484118058417,0,-0.0114529354875845
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.360299233971262,0,0,0,0,0,0,0.0028151967320253,0,0,0.141855858412588,0,0,0,0.0603615337960344,0,7.63715069056029e-05,1.0842021724855e-19,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.426627446491739,0,0,0,0,0,0,0.175990838991035,0.0499910002446131,0,0,0,0,0,0.0816116145219678,0,0,0.0188995192398463,0.115794201286712,0
