,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0.340662139766265,0,-0.0173814448688836,0,0,0,0,0,0,0,-0.0421562862883985,0,0,0.119329307420706,0,-0.0815860969186677,-0.0794343869695771,0,0,0,0,0,8.67361737988404e-19,0.00750759887166705,0.0421107408536919,0.0653863774947483
X1398.HK.EQUITY,0,0,0,0.221263390551058,0,0.153081500016885,0,0,0,0,0,0.0190952278934666,0,0,0,0.551577576640876,0,0,-0.138597985763954,0,0,0,0.135538265613598,0,0,0,0,0.000495147509535638,-0.00210477584665686,-0.0365146399231522,0
X2318.HK.EQUITY,0,0,0,0.132481858740943,0,0,0,0,0,0,0,0.224029439603548,0.228006393184457,0,0,0,0,0,0,0,0.04493306874578,0,0,0.00614723117213872,0.0302032311342169,0.0298509658527966,0,0,-0.0181139568818313,0,0
X601318.CH.EQUITY,0,0,0.0316963486290527,0,0,0,0,0,0,0,0.0994038052470165,0,0,0.0549765928351692,0,0,0,0,0,0.342563779714063,0,0,0,0.00851887931978074,0.0310715610526231,0,0,0.0139792935515562,-0.00929358255133954,0,0
X601939.CH.EQUITY,0,0,0.0133227477655155,0,0,0,0,0,0,0,0.294497329749651,0,0,0.0945808246960006,0,0,0,0,0,0,0,0.0888901462090751,0,0,0,0,0.00717790853186802,0.0167706975697466,-0.00857128618059999,0,0
X939.HK.EQUITY,0.043693315348509,0,0,0,0,0,0,0,0,0,0.00477189274854284,0,0,0,0.0053692883924175,0,0,0,0,0.0694049120109311,0,0.0987062516785388,0,0.0851272242222783,0.128224578812368,0,0,0.00331751708086712,0.0160878271994799,0.0132435992822054,0
X601288.CH.EQUITY,0,0,-0.199995263893579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273321588698129,0,0.0715612931736312,0,0,0.0619666949850609,0,0,0,0.00603296101094972,0,0.0139914411306402,0,0,-0.0955607486345588
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.000424384988856885,0,0,0,0,0,0,0,0,0.0969370740612929,0,0,0.067152070038699,1.0842021724855e-19,0.00665083367555995,0,0.013166431919584,0.0428816054166401,0,-0.0168781066084357
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.116689855138885,0,0.0188160372425405,0,0,0,0.0621041822889162,0,0,0,0,0.0249638265744747,0.0877027559146022,0.0712579686916659,0,-0.0177305621912508,0,0.00302802875192209,-0.000252446747188303,0,0
X3988.HK.EQUITY,0,0.107133756303928,0,0,0,0,0,0,0,0,0,0.0274098381698292,0.123312718676998,0,0.0154267866262605,0,0,0,0,0,0,0.0973638714716823,0.0658119031647625,0.028877686535113,0.054626160020923,1.73472347597681e-18,0,0.00196766209404747,0,0.0238665936923493,0
