,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X6005.TT.EQUITY,X1808.TT.EQUITY,X5534.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X2885.TT.EQUITY,X3040.TT.EQUITY,X5871.TT.EQUITY,X1463.TT.EQUITY,X9940.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X600848.CH.EQUITY,X601108.CH.EQUITY,X2820.TT.EQUITY,X600109.CH.EQUITY,X2905.TT.EQUITY
X2849.TT.EQUITY,0,0,0,0,0,0,0,0.230876422520384,0,0,0,0,0.0442087949704347,0,0,0,0,0.157153342202351,0.166737893978373,0,0,0,0,0,0.0325229431537098
X2892.TT.EQUITY,0,0,0.345526763630877,0,0,0,0,0,0,0,0,0.220829450674651,0,0,0.0108517072708938,0.149658602084537,0,0.0368412069331448,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,-0.0103276660004799,0,0.0560600440018668,0,0,0,0.231611111723494,0,0.1133804725494,0,0.0340148662419901,0,0.0261409349170689,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.389684271560584,0,0,-0.18237330294685,0.442973371999464,0,-0.101067736917241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0,0,0.147660854042531,0,0,0,0,0,0.0327271547414166,0,0.150343976291863,0,0.0344271511344264,0,0.0221593902918032,0,0,0,0,0.119520444149981
X83.HK.EQUITY,0,0,0,0.133674742070911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0.142300311101872,0,0,0,0.0102643106107469,0,0,0,0,0,0,0,0,0,0,0,0,0.445991291225811
X1808.TT.EQUITY,0,0,0,0,0.368847124231301,-0.00103438447692406,0,0,0,0,0,0,0,0,0.1261005054619,0,0,0.0978814464050664,0,0,0,0,0,0,0.501973002582006
X5534.TT.EQUITY,0,0,0,0,0.173875779712382,-0.0191613590623766,0,0.0143659034765839,0,0,0,0,0,0.0967189847035505,0,0,0,0,0.00460153875746349,0.023543471478531,0,0,0,0,0.248067093717843
X601878.CH.EQUITY,8.67361737988404e-19,0.0392063053055181,0,-0.01312971803111,0,0.00907793061306954,0,0.000343886307749937,-0.017862613365436,0,0.0586187894534387,0,0,0,0,0,-0.0200912128765317,0,0,0,0,0.0448560178975045,0,0,0
X601377.CH.EQUITY,0.00124241766641878,0.0177075492480386,0,0.000852542330234272,0,0,-0.00470779161166043,0,0,0.118888530375906,0,0,0,0,0,0,-0.00171300437563024,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0.165444742382007,0.419395305593438,0,0,0,0,0.00974094527593618,0,0,0,0,0,-3.46944695195361e-18,0,0.0274435028365211,0,0,0,0,0,0,0,0,0.0846283792769993
X2501.TT.EQUITY,0.00378408255957488,0,0,0,0,0,0,0.20714172267042,0,0,0,0,0,0,0,0.00686492872853614,0,0,0,0.311012506775837,0,0,0,0,0.17722778026076
X2885.TT.EQUITY,0,0,0.117692378648148,0,0,0,0,0,0,0,0,0.0310493036977184,0,0,0,0.0934774247252768,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0,-0.000325930450927124,0,0.295602665501256,0,0,0,0,0,0.15997841688776,0,0.0841846144796477,0,0,0,0,0,0,0,0,0.0126941953023567
X5871.TT.EQUITY,0,0,0,0,0,0.000278528837690725,0,0,0,0,0,0,0,0,0.0399420703439527,0,0,0.0308010319171072,0,0.486675701293267,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0.161427420269032,0,0,0,0,0,0,0,0,0,0.0932410172728624,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.22137539496956
X9940.TT.EQUITY,0,0,0,0,0.0878011466524451,-0.00177587304087148,0,0.219815014181651,0,0,0,0,0,0,0.0330023844888314,0.187713926670193,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0.00575949345500275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153227623793702,0,0,0,0.22836530626283,0,0,0,0,0.262364413268973
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00989268292401704,0,0.00577342423082313,0.210233773193606,0.178121917954749,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0.0125175145500204,0,-0.005473760401142,0,0,0,0,0,0,0,0,-0.00167462385494731,0,0.0195839357615635,0,-0.0287711811190263,0,0,0,0,0,-0.0126715776458173,0,0
X601108.CH.EQUITY,0,0.0330405917816243,0,-0.00464727390636063,0,0.00204575519559136,0,0,-0.0213024693415221,0.0770551741792242,0,0.0185871217824289,0,0,0,0,-0.0200818227087166,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0.202553194240477,0,0,0,0,0,0,0,0,0,0,0.0830388464660822,0,0.0963628302415308,0,0,0,0,0,0,0
X600109.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,0,0,0.17635582549972,0,0,0,0,0,0.0906876796885093,0,0,0,0,0,0,0,0,0,0,0
