,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0727377623323705,0,0.40226417549656,0,0,0,0,0.0408924503380477,0,0,0,0,0,0,0.0632402059191001,0,0,0,0,0,0,0.0815567792601682,0,0,0,0.00141038243290751,0,0,0
X1398.HK.EQUITY,0,0,0,0,-1.73472347597681e-18,0.37577009984862,0,0,0,0,0,0,0,0.0315681233758198,0.103762280269292,0,0.0526141976641259,0,0,0,0,0,0,0.00432625893495364,0,0,0,0,-0.0214657978303843,0,0
X601318.CH.EQUITY,0,0,0,0,0.334017625481826,0,0,0,0,0,0.0804656002683089,0,0,0,0.0472719277989162,0,0.119165205027079,0,0,0,0,0.0947293071327934,0,0.365214074316511,0,-0.0155516952809574,0,-0.0253485024514658,0,0,0
X2318.HK.EQUITY,0,0,0.345547785212137,0,0,0,0,0,0,0,0,0,0.218518958685422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653487540585835,-0.00498197185047945,-0.0437465047302038,0,0.0164312706894778
X601939.CH.EQUITY,0,0,0.0956294592201985,0,0,0,0,0,0,0,0,0,0,0.137423086998576,0.258917341957957,0,0,0,0,0,0.0521582823482273,0,0,0,0,0,0,0.00364614536978622,0.0357654482227994,0,0
X939.HK.EQUITY,0,0.392940341686599,0,0,0,0,0,0,0,0.25656896855504,0,0,0,0,0,0.0108904034199514,0,0,0,0,-0.0203742216392637,0,0.157268309373769,0,0,0,0,-0.000316957168124846,0.0130614607395371,0.0341323594768215,0
X601288.CH.EQUITY,0,0,0.0325424130103639,0,0.237460010525466,0,0,0,0,0,0,-0.0567252650336572,0,0,0.145467936739199,0,0,0,0,0,0.0118575592306452,0.00065657834385955,0,0.150527515482829,0,-0.0100133693829717,0,-0.0036549088280597,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694291542749295,-0.0201662161257609,0.122249832760275,0.260019393242292,-0.0165154048932529,0,0,0,0.0204352383044551,0,0,0.126059208738367
X601988.CH.EQUITY,0,0,0,0,0.163200152366765,0,0,0,0,0,0,0,0,0.203594745529204,0,0,1.73472347597681e-18,0,0,0,0.0197581788957946,0,0,-3.46944695195361e-18,0,0,0,0.0113770564369239,-0.00689529720999391,0,0.0338114460229465
X3988.HK.EQUITY,0,0.372718780470349,0,0,0,0.21995940403791,0,0,0,0,0,0,0.15767706264517,0,0,0,0,0,0,0,-0.0204985339321929,-0.0320309669141097,0,0.0562358908993084,0,-0.042628618862131,0,-0.00421369529161596,0.0021344114356222,0.00973314947444449,0
X600036.CH.EQUITY,0,0,0.393974276395859,0,0,0,0,0,0.196119498592744,0,0,0,0,0.0642068714583618,0,0,0.0885957336986042,0,0,0,0.0312703416081836,0,0,0.153972680219134,0,0,0,0.0149411529892261,-0.0612601246710408,0.0264299860501755,0.178499428419485
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247435413010428,0.0704214833140433,0,0,0,0.00942500744968998,0.205678386737428,0.274459032019451,0,0,0,0,0,0.00677182342075077,0,0.131629581067136
X2628.HK.EQUITY,0,0,0.00655092869096685,0,0,0,0,0,0,0,0,0,0,0.246833740774612,0,0,0,0,0,0,-0.00101204855296447,0,0,0.340255867868826,0,0,0,-0.0357005709622318,0,0,-0.109450753228239
X601628.CH.EQUITY,0,0,0.425846077422085,0,0.202849085874937,0,0,0,0,0,0,0,0.0522243693310943,0,0,0,0.23271053834904,0,0,0,0.152500883137474,0,0,0.291950990799199,0,0,0,-0.00803113368738323,0.0080443951794403,0.0767186266541726,0
X601328.CH.EQUITY,0,0,0,0,0.313948110275544,0,0,0,0,0,0,0,0,0,0,0,0.269802783548397,0,0,0,0,0.121931560725595,0,0.0244899841015564,0,0,0,0,0,0,0.0288338834266315
X3328.HK.EQUITY,0,0,0.00138314348309146,0,0,0.112278908637887,0,0,0,0,0,0.123824358629319,0.192166405581065,0,0,0,0.105355513985687,0,0,0.0117679217119328,0,0,0,0,0,0,0,0,0,0.0402435846055629,0.0367791636335076
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00625892567426488,0,0,0.263743625890827,0,0,0,0,0,0.0678266374846423,0,0,0,0.160047872765455,0,0.00970932406173483,0,0.0153877392623352,-0.00384863291536128,0,0.0387439729299578
X11.HK.EQUITY,0,0.140566234790876,0,0,0,0,0,0,0,0,-0.0390425785292046,0.218365223964249,0,0,-0.0364150171776277,0,0,0,0,0,-0.0213357275261947,0,0.177634133645191,0,0,0,0,-0.00627072371501438,0,-0.0274486384835015,-0.0563396621532324
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0149121429835982,0,0,0,0,0,0,0,-0.0312495430620311,0.0699981614923473,0.0554407927600867,0.118959943611974,0,-0.0376367223583939,0,0,0.034248301464444,-0.0414301236635201,-0.195387523070606
X600000.CH.EQUITY,0,0,0.162410077798215,0,0,0,0,0,0,0,0.251506937634098,0,0,0.0558570480991387,0,0,0.0424873248755518,0,0,0,0.0159351335588254,0,0.211770727764551,0.0422282678362387,0,0,0,0.000870167249219282,-0.0218379644034315,0,0.0533294060711652
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.347604988925659,0,0,0,0,-0.0875221161198092,0,0,0,0.0388561112694363,0,0.552541128716862,0,0,0,0,0,0.019853500753156,-0.393172104612013,0,0
X000002.CH.EQUITY,0,0,0.553122514649686,0,0,0,0,0,0,0,0,0,0.246342075681942,0,0,0,0,0,0,0,0.0756859441093256,0,-0.239825074664933,0,0,0,0,0.0489448336764698,0.0418196710323651,-0.0353478663065748,-0.0522276038098067
X2388.HK.EQUITY,0,0,0,0,0,0.021804576630203,0,0.0757062859742627,0,0,0,0.0435566115185413,0,0,0,0.19191842426005,-4.33680868994202e-19,0.0753108982859319,0,0,0,0,0,0,0,0.0225492591578895,0,-0.0182868625175088,-0.0120549265596143,-0.00179242462091207,-1.0842021724855e-19
