,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0319015595135152,0.0435074512882867,0,0,0,0.0602100477366019,0.116726875557869,0,0,0.0379962558900695
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0.118976190381376,0.0685107171616103,0,0,0,0,0.082639369734273,0,0,0,0
X939.HK.Equity,0,-0.0588282578280402,0,0,0.220451655183252,0.138634143759004,0,0,0,0,0,0,0,0
X2628.HK.Equity,0,0,0,0.197069709857208,0,0.155331022755523,0,0,0,0.295224086349082,0,0,0,0
X3328.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.Equity,0,0,0,0,0.0309926547347437,0.0300876081381338,0,0,0,0.0388457056608659,0.0273566308125534,0,0,0.00796967073935425
X2388.HK.Equity,0.0859454315969375,-0.033132667032519,0,0,0.0705115019962324,0.0816065007269917,0,0,0,0,0.0644347288441152,0.0909765396109781,0,0
X2318.HK.Equity,0,0,0,0,0.537908095757296,0,0,0,0,0,0.0961197183055894,0.00319112340001975,0,0
X2882.TT.Equity,0.476660011635127,0.0112757965920492,0,0,0.118867389684168,0,0,0,0,0.0708616827614407,0,0.0355978673767548,0,0
X600036.CH.Equity,0,0,0,0,0,0,0,0,0,0.171731158520871,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,-0.0355033347140028,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0250588341152947,0,0.142683968761903,0,0,0,0,0,0.205626451882244,0,0,0,0
