,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.152789972542541,0,0,-0.0471568934372625,0,0,0,-0.088531758565678,0,0,0,0,0,0,0.222705540071357,0,0,-0.0383515900685974,-0.0558519399051037,0,0,0,0,0,0.00284675034653931,0.0373690570767191,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.537503477918718,0.0539818787350674,0.0856335736200581,0,0,0,0.504348607996016,0,0,-0.0754586694381069,0,0,0,0,0,0,0,0,0.011175054033919,-0.00859228008387913,-0.010455090869949,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0734491451501811,0.0917409742292594,0,0,0,0,0,0.074264453281742,0.293824395425598,0,0,0,0,0,0.00211509710147053,0,0.0135390581462653,0,-0.00738910583151386,0
X2318.HK.EQUITY,0,0,0.239274134820565,0,0,0,0,0,0,0,0.0307105802531287,0.0268171893993918,0,0,0,0,0.0144910967668332,0,0,0.0723262106141474,0,0,0,0,0.346852461880845,0.0145210863326952,0.168057648885742,0.033156742895937,0,0,-0.0134204819153498
X939.HK.EQUITY,0.126248773298085,0,0,0,0,0,0,0,0,0,0,0.0233534805769302,0,0.252508754440696,0,0,0,0,0.0280789356364056,0,0.0908996263571864,0,0.0754638821156372,0,0.015711808979929,0,0,0.00410152259504832,0.00991049818250131,0.00115947830273806,0
X601939.CH.EQUITY,0.189363987953343,0,0,0,0,0,0,0,0,0,0,0,0.101062526716536,0,0,0,0,0,0,0,0,0,0.0905691005095688,0,0,-0.0470232115486964,0,0.0153205844563538,-0.0372770302950716,1.73472347597681e-18,-0.0225576641433627
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0481153916073883,0,0,0.0908356070637348,0.0595600584616111,0,0,0,0.0288971730301456,0,0.0677911892449177,0,0.00440647845053334,0,0,-0.025818374891943,0,0.00307500697163944,-0.00142170496309236,1.73472347597681e-18,0
X5.HK.EQUITY,-0.0816106923245758,0,-0.0293809976069463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320384984978669,0,0,0.207104241827712,0,0,0.00569937654248575,0.028042460447373,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.00163593699863167,0,0,0,0,0,0,0,0.134314436153236,0,0,0.060924401916672,0.0890193605993469,0,0,0.074570762989158,0,0,0,0,-0.0022375205938848,0,0,-0.00406325347525508,0,0
X3988.HK.EQUITY,0,0.0537313896114787,0,0,0.189744140604186,0,0,0,0,0,0,0,0,0.147996943703857,0,0,0,0,0,0,0.0157163342748561,0.00622975009412029,0.116699011514659,0,0,-0.0266907559314053,0,0,0,0,0
