,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.415438342193013,0,0,0,0,0,0.0101943136601412,0,0,0,0,0,0,0,0,0,0.0478043431880159,0,0,0.134710999863623,0,0.0389538887053121,-0.00272892858087536,0,0.00561479509376434,0,0,-0.0254098332925423
X1398.HK.EQUITY,0,0,0,0,0.287239988671155,0,0,0,0,0.177027337932255,0,-0.0151341718496761,0,0.0179154907067663,0.138800522590253,0,0,0,0,0,0,0,0.0449452136735894,0,0,0,0,0,-0.0278969722446998,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0823089913017394,0,0,0,0,0,0.374898759883737,0,0.136139710325191,0.0959898185076424,0,0,0.319762904318785,0,0,0,0,-0.0114500828084635,0.0301257193505025,0,0
X601939.CH.EQUITY,0.394872986986955,0,0,0,0,0,0,0,0,0,0,0,0.0883507306198446,0,0.330926422144241,0,0,0.00537781392667048,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.719923527782037,0,0,0,0,0,0,0,0.135814111156619,0,0,-0.00480274212437633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00642148390245605,0.0262803050790825,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.122874226921414,0.199401353452729,0,0,0,-0.0270334961814689,0,0.192708470164549,0,0,0,0,0,0,0,0,0,-0.0443851841598039,0
X601288.CH.EQUITY,0,0,0.00341414422495369,0.162197999011393,0,0,0,0,0,0,0.0492222883492284,0,0,0.0161907807221192,0.177101605401226,0,0,-3.46944695195361e-18,0,0,0,0,0.132444011824193,0,0,0,0,0.00639708027781621,-0.00855749993545708,0,0
X5.HK.EQUITY,0,0,0,0.0681165943940209,0,0,0,0,0,0,0,0,-0.0486921321347879,0,0,0,0,-0.0322955669173254,0,0.213295389229341,0,0,0,0.268707338161994,0,-0.0223226675055113,0,0.0155946707547383,0,-0.0259069082795441,0.0658787987866142
X601988.CH.EQUITY,0,0,0,0.15003334064445,0,0,0,0,0,0,0,0,0.0530178706245519,0,0,0,0.00395468282042461,0.0574711246973806,0.149658334057958,0.0307872998771945,0,0,3.46944695195361e-18,0,0,0,0,0.0102888506543445,-0.0331194628758299,0,0
X3988.HK.EQUITY,0,0.476453315836188,0,0,0.0475502509475662,0,0,0,0,0,0,0,0,0.0637544936140776,0,0,0,0,0,0,0,0,0.0624578779798029,0,0,0,0,0,0.0208195475406905,0.0542735328267129,0
X600036.CH.EQUITY,0,0,0.33871686231904,0,0,0,0,0,0,0,0,0.132304998185587,0.00613571364788724,0,0.0130740714208801,0,0.367574728693653,0,0.0258049495181252,-0.0458838801760991,0,0,0.00954936148283547,0,0,0,0,0.0178802568632876,0,-0.0246964106997716,0
X1299.HK.EQUITY,0,0,0.028664181769161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207064678884986,0.0129140386505838,0,0,0,0,0,0.0328247373504862,-0.061849546801131,0.0759762016045437,0,-0.00426292677386855,0.0586572340084007,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.29189986032013,0,0,0.109046448412317,0,0,0.318979182293546,0.139523042524955,0,0.161542600447345,0,0,0.351581867042574,0,0,-0.0250680716257008,0,0.0467022135271733,0,0,0
