,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.0702049712693144,0.335761574683132,-0.00398835348090914,0,0,0,-0.0583085829643152,-0.0216064130250035,0,0,0,0,0,0,0,0,0,0.0100690943898525,0,0.00329642698125809,0.0110039556147627,0,0
X1398.HK.EQUITY,0.00066495546976808,0,0,0,0,0.611048017106243,0,0,0.0465339426430365,0,0,0.15379826203682,0,0,-0.188986606001878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147045378595341,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.133531105652554,0,0.0533553882549826,0,0,0,0,0,0,0,0.0474652550813203,0,0,0,0.18375136464788,0,0,0,-0.000995008494940733,0.0439908520305755,0
X2318.HK.EQUITY,0,0.00561320777524196,0.0477384825856716,0,0,0,0,0,0,0,0.0479980397499795,0.0782691568186468,0.18020157446019,0.025986126317029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102048414553337,-0.00522577632154853,0.0142593430677238,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.950574903756786,0,0,0,0.0271825069437257,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.00395353294614904,0,0.00480734523179283,-0.00546629826715624,0.027854345435379,0
X939.HK.EQUITY,0,0.419648982766966,0,0,0,0,0,0,0,0,0,0,0.182474286041027,0,0,0,0,0,0,0,-0.0131881798584445,0,0,0,0,0,0,-0.0133624178927111,-0.00097982158603992,0.00926306897043768,-0.0390442879296737
X601288.CH.EQUITY,0,0,0,0,0.794866080260358,0,0,0,0,0,-0.0851525632668162,0,0,-0.0108608351808025,0,0,0,0,0,0,0.0377170965862441,0,0,0.0842798173038261,0,-0.00834556697340133,0,0,-0.00035623413038986,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0601658389981364,0,0,0,0,0,0.728498265052317,0,0,0,0,0,0,0,0,0.010547879610536,0,0.0260055337965618,-0.0177381628000481,0.0248474604039715,-0.0217238346612287
X3988.HK.EQUITY,0.00795373313004688,0,0,0,0,0,0,0,0,0,-0.0855456172923832,0.191987226683664,0,0.11032651985851,0,0,0,0,0.232513698341675,0,0.0189377575991582,0,0,0,0,0,0,0,-0.0119542876997372,0,0
X600036.CH.EQUITY,0,0,0,0,0.479112481422015,0,0,0,0,0,0.0280919061103262,0,0.0827603283424654,0,0,0,0,0,0,0,0,0,0,0,0.0597095955987509,-0.0167978470024827,0,0,0.0285707072710298,0,0
