,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0700176295959336,0,0,0,0,0,0,0,0,0,-0.0168514597046651,0.100824462488532,0,0,0,0.350607807484722,0,0,0,0,0,0,0.000540842171202947,0,-0.00329789385886987,0,-0.0325668209999816,0
X1398.HK.EQUITY,0,0,0,0,0,0.342762219411982,0,0.201210212737261,0.0168753514248883,0,0,0,0.0657664785180746,0,0,0.402261117159663,0,0,0,0,0,0,0,0,0,0,-0.0019170768363159,-0.0218407750992109,0,0
X601318.CH.EQUITY,0,0.103910546183335,0,0.225546827606715,0,0,0,0,0,0,0.147768451038692,0.0308251448034627,0.115551662895276,0.18969161700403,0,0,0,0,0,0.00949333325945279,0.0219421237502937,0,0,0.149826405635002,-0.192112356364775,0,0,-0.0335617543426403,0,0
X2318.HK.EQUITY,0,0.0975664874678014,0.451560773773668,0,0,0,0,0,0,0,0,0.141794450008449,0,0,0,0,0,0.10887350863944,-0.0789025377703518,0,0,0,0,0,0.136858203319551,0,-0.00173942804397923,-0.0185576897295353,0,0
X601939.CH.EQUITY,0.0949357198044669,0,0,0,0,0,0.215008980469564,0,0,0.34738487123319,0,0,0,0,0,0,0,0,0,0.229492782860128,0,-0.0328275446548271,0,-0.0727031980297504,0.0323929108657417,0,-0.0149282314281041,0,-0.00942480607564235,0.194543025383398
X939.HK.EQUITY,0,0.295632675043823,0,0,0,0,0,0,0.217227358779616,0,0,0,0,0.0280232869914431,0,0.208210876623839,0,0,0,0.0691866626762614,0,0,0,0,0.0954123677185537,0,-0.0020334213059224,0.00343037422075559,0,0
X601288.CH.EQUITY,0.181959125545704,0,0,0,0.0838101440184403,0,0,0,0,0.302501394077485,0,0,0.0414608426096417,0,0,0.10000257280524,0,0,0,0,0.0261832820152814,-8.67361737988404e-19,0.0509338101080077,0,0,0,-0.0130971972155403,-0.0179302962446551,-0.0472693192028322,0
X5.HK.EQUITY,0,0,0,0,0,0,0.353806935506307,0,0,0,0.174677112857333,-0.261006235178654,0,0.130624625790345,0,0.0452601159044975,0,0,0,-0.00681129210292799,0,0.495383758610728,-6.93889390390723e-18,0,-0.0353356648156597,0,-0.00396882973790598,0,-0.125524334208846,0
X3988.HK.EQUITY,0,0.196396984808663,0,0,0,0.136357211130883,0,0,0,0,0,0,0.0479521542058951,0,0,0,0,0,0,0,0.265462728815695,8.67361737988404e-19,0,0,0.123882687436221,0,0,0.00333657351537919,0,0
X601988.CH.EQUITY,0.0145314651550384,0,0,0,0.157947464549394,0,0,0,0,0,0,0.0814773601257898,0.0217812703584009,0,0.036603286632842,0,0,0,0,0.052257403898412,0,0,0,0,0,0,-0.00191485349794438,0,-0.0306938505170666,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.353721053968038,0,-0.10248406876063,0,0.113119743650879,0,0,0.0876661932139249,0,0,0.184583436148781,-0.0250192720578206,0.182226106438957,0.242095217361942,0,0,0,0,0,-0.00190665627587953,-0.0775708544598235,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110559754058808,0,0,0,-0.0356468077407888,-0.116316730267084,0,0.165219990123225,0.269537018477817,0.416504634269099,0.126796311346165,0,0,0.0146167594038295,0,0,0
X601628.CH.EQUITY,0.292686547981308,0,0.139942982205349,0,0,-0.415774836497243,0,0,0,0,0,0,0,0.565276937427103,0,0,0,0.165168301896767,0,0,0,0,0,0.234865129833675,0.00784218566516882,0,0.0347185250957296,0.174094393859989,0,0
X2628.HK.EQUITY,0.0986987892726872,0.132349045949625,0.0804801639895021,0,0,0.032894034958223,0,0.0806498120348885,0,0,0,0,0.160292910400995,0,0,0,0,0,0,0,-0.0321546307547262,0,0,0,0.267427287425783,0,-0.00790205124819505,0,0.191420280752932,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.771764513486559,3.46944695195361e-18,0,0,0,0,0,0,0,0.167223319840327,0,-0.00201979797843141,-0.0991153052823606,0,0.0904160562772742,0.0450880498091058,0.00860063795573357,0,0.0745187149882183,-0.055661845628574
X3328.HK.EQUITY,0,0.115582579003653,0,0,0,0.059673206409514,0,0,0.0356597267098341,0,0.00570563267218577,0.221252515073292,0,0.141536025576893,0,0,0,0.102638435647149,0,0,-6.93889390390723e-18,0.0599217598222234,0.0607853902246975,0,0,0,0.00949081520206721,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.125919954338271,0,0,0,0.050528560232811,0,0.138280827984121,0,0,0,0,0,0,0.171308804259314,0,0.0710768362342935,0,0,0,0.0206575390783914,0,0,-0.00913392918335956,0,0,0
X600000.CH.EQUITY,0,0,0.156510870699741,0,0,0,0,0,0,0,0.26819563216555,0,0.0282964412873075,0,0.127575718876576,0,0,0,0,0.220843522143445,0,0.0577234067404406,0,0,0,0,0,-0.0801118230778852,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0757487409619078,0,0,0.302544722076982,0,0,0,0.0474493223632038,0,0,0.263638487153689,0,0,0,0.0586768872531266,0,0.0107892567735008,0,0.126918798747168,-0.0480120607201714
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0127534227618869,0,0,0,0.142018033482879,0,0,0,0,0,0.529792439709355,-0.0480686460225443,0,0.0823210712275722,0.135102647470772,0,-0.0142312511319663,-0.232397670638364,0,0
X601601.CH.EQUITY,0,0.204650035939003,0,0,0,0,0,0,0.140381750529301,0,0.0277838864150165,0.110373474954799,0.276669793552551,0,0.11725378597161,0,0,0,0.0837295459721244,0,0,0,0,0.066378446866023,0.11318116525206,0,-0.0163825395905801,0,-0.0362748624528249,0
