,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.327379051175505,0,0,0,0,0,0,0,0,0,0,0,0.107078699174593,0,0,0,0,0.00721629356701744,0,0.097107785072181,0,0.0176645187517442,0,-0.00344922625261646,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.461820818909927,0,0,0,0,0,0,0,0.062766167344447,0,0,0,0,0.0317763054690974,0,0,0,0,0,0,0,0,0.00207710895477424,-0.0476255046355288,0.042959800596143,0
X601318.CH.EQUITY,0,0,0,0.0307428294016965,0,0,0,0,0.100240025479067,0,0,0,0.2004184866949,0.320746163329022,0,0,0,0,0,0,0,0,0,0.0748484313781342,0.0806254213577211,0,0,-0.00867260330311794,-0.0133038878483498,0.00765366119771219,0
X2318.HK.EQUITY,0,0,0.479676367035594,0,0,0,0,0,0,0,0,0,0.0680331536796169,0,0,0,0,0,0,0,0,0.104619833509602,0,0,0,0.0131264782458511,0,-0.00960002921294962,-0.0256393574872746,-0.059265637035438,0
X601939.CH.EQUITY,0.0184706764220555,0,0,0,0,0,0.580616425211361,0,0,0,0,0,0,0.0839597464293381,0,0,0.141497923023021,0,0.0344898371811594,0,0,0.00812399282324633,0,0,0,0.0454519527418461,-0.0141190881302044,-5.42101086242752e-20,0,0,0
X939.HK.EQUITY,0,0.685661162089931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346972681412253,-0.047416001545917,0,0,0,0,0,0.1346084795125,0,0,0.00874476576991592,0.00542245052921554,0.0116470870134226,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.218129595494202,0,0.113375447188677,0,0,0.349830888751691,0,0,0,0,0,0,0,0,0.0247183451564323,0,-0.00139175849558388,0.030324929235004,0,-0.039986614933744
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.000436301069792009,0,0.191583516100447,0.123262946322367,0,0.123250019962099,0,0,0.0529249281160767,0,0,-0.0687806126479806,0,0,0,0,0,0,0,0.00789718002702918,0.0282742958585459,0
X3988.HK.EQUITY,0,0,0.144160731396151,0,0,0.20227597651215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273973629042538,0,0,-0.0187179404729,-0.00300457025845482,0.0535384943740854,0
X601988.CH.EQUITY,0,0,0.150382533749419,0,0,0,0,0,0,0,0,0.0775907048184074,0,0.0687819679923409,0,0,0.0877766201354413,0,0,0,0,0.0457019532397264,0.0481795133915354,0.0330381352274726,0,0,-0.000987064279095411,0.00557048635931196,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0131364407874191,0.100651366025943,0,0,0.345280881207155,0,0.111700330811687,0,0,-0.0239916415514132,0,0,-0.0561496453858745,0,0,0.0168818776788338,-0.0788822661805664,0.125862067973611,3.46944695195361e-18
X1299.HK.EQUITY,0,0,0.144056055554025,0,0,0,0,0,-0.0210205540566774,0,0,0,0,0,0,0,0,0,0,0.112664032070914,0.4616719117214,0,0.253942901946511,0,0,0,0,0.0175860368588532,0.013221625686102,-0.0649556193088942,0
X2628.HK.EQUITY,0,0,0.0923699277358367,0.393262134279874,0,0,0,0,0,0,0,0.0230611815665825,0,0.205910061290984,0.00803244673419714,0,0,0,0,0,0,0.0490461827078136,0.0384370779588902,0,0.0210627309377157,0,0,-0.000918619695388018,-0.00384145390228604,0.0181217286002678,0
X601628.CH.EQUITY,0,0,0.0550821226591616,0,0,0,0.0408352048107261,0,0,0,0.273112075486366,-0.122655925402646,0,0,0,0.154274024558799,0,0,0.259243359293585,0,0,0,0,0.599720696922117,0,0.172155415688144,0,-0.00891025236762221,-0.0172178422199807,0.166976685379206,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0724164007768572,0,0,0.14245411675045,0,0,0,0,0.0579656970042127,0,0,0,0,0.193852870118117,0,0,0,0,-0.00698609511252702,-0.0331387110938524,0.0454048315155873,0
X601328.CH.EQUITY,0,0,0,0,0.217356555241386,0,0,0,0,0,0.0838223672859322,0,0,0,0,0,0.0634206131747223,0,0.0379366569088136,0,0,0,0,0,0,0.0354000176349752,0,0,-0.0187862892125004,0,0
X601166.CH.EQUITY,0,0,0,0,0.0415605573820782,0,0.20556798909328,0,0,0,0.0327881028922667,0,0,0.145796449296214,0,0,0,0.357348235754994,-0.0966203289940258,0,0,0.0598811544923508,0,0,0,0.031620253709022,-0.0395057573542978,0,0,-0.0176400604728957,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0270916953026083,-1.73472347597681e-18,0,0,0.571434182215105,0,0,0,0,0,0,0,0.0707741025485772,0,0,-0.00660154520500749,-0.00612651327314568,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.794115713866159,0,0,0,0,0,0.140457075831836,0,0,0,0,0,0,0.324005409196756,0.292048144604443,0,0,0,0,0,-0.0620476826050803,-0.0929153721298148,-0.00157071598766964,-0.370136663044276
X11.HK.EQUITY,0,0,0,0.250890667392243,0,0,0,0,0,0,0,0.00920301776049536,0,0,0.126447675360835,0,0,0,0.0735440443815763,0,0.0944586491265139,0.0951566855730779,0,0,0,0,0.0575336311766122,0.000699646537171558,0.00267214959513273,0,0
