,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.116473672575232,0.0118637744057838,0,0,0,0.021424051974011,0,0,0.245678142903627,0,0,0.00976219663651583,0,0,0.000287203176394127,0.0187172574218406,0,0
X1398.HK.EQUITY,0,0,0.600765500784582,0,0,0,0,0,0,0,0,0,0,0.0868445795874409,0,0,0,0,0,0,0,0.00412953594971793,0,0,0,0,0.00635856337519751,0.0635371690775308,0,0
X939.HK.EQUITY,0,0.505355043054843,0,0,0,0,0,0,0,0,0,0,0,0.0442025523632499,0,0,0,0.0226424610969347,0,0,0,0,0,0,0,0.00350711338112354,0,0.143043714300167,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721417787617316,0,0,0,0,0.0879996230374144,0,0.245289981774941,0,0,0,0,0,-0.00542942549255279,0.1552052261608,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212565590569143,0,0,0,0,0,0,0.195128540777505,0,0,0,0,0,0.00349682018877132,0.165076100718633,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.240350244556175,0.07227038917418,0,0,0,0,0,0,0.220971998573771,0,0,0.0584237536387607,0,0,0.00314287025128398,0.0476774557538064,0,0.0438944000559066
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00807283854346274,0.00993074487995671,0,0,0.0401823393986299,0,0,0,0.19246466674411,0,0,0,0,0,0,0.10918503048278,0,0
X3988.HK.EQUITY,0,0,0.227180527027471,0,0,0,0,0,0,0,0,0.0260917962347527,0.172313511954467,0.0143984208083624,0,0,0,0,0,0,0.0663124033840844,0.0212791019455963,0.029096031172482,0,0,0,0.00430544477153553,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868228759747245,0,0.0368645559193193,0.0189719836788652,0,0,0.0011795991085035,0.0532991146059791,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851947548252838,-0.0637879129900088,0,0,0.28140288261212,0,0,0,0,0.00626530321273772,0.0249407028060285,0,0.168184353538185
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208659930129338,0,0,0.336006887525415,0,0.0687319483245288,0.0675685894771335,0,0,0.00665707277980398,0,0,0
