,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.613687103328491,0,0,0,0,0,0,0.0258128414917173,0,0,0,0.0436365839193756,0.0251834306954194,0,0,0,0,0,0,0,0,0,0.00508395489595088,0,0.0120933678171782,0
X601398.CH.EQUITY,0,0,0,0.0255659606300453,0.245832622800964,0,0,0,0,0,0,0,0,0,0,0,0.0328066168762744,0,0,0,0,0.0270294642701731,0,0.0932254717765157,0,0.0251517522419674,0,1.0842021724855e-19,0,0,0
X2318.HK.EQUITY,0,0,0,0.454133918153592,0,0,0,0,0,0,0,0,0,0.0909146622761517,0,0.02979627455058,0,0,0,0,0,0.113285825832233,0,0,0,0.0610519892502802,0,-0.0174712223142227,-0.0285422358754964,-0.0360863881266395,0
X601318.CH.EQUITY,0,0,0.284360528783623,0,0,0,0,0,0,0.0246805289248901,0,0,0.281062995779565,0,0,0,0,0,0,0,0,0.143151936654387,0,0.0928858237500962,0.054326861242977,0,0,-0.0226192581907375,0,0,0
X601939.CH.EQUITY,0,0.00278193346914211,0,0,0,0,0.640151391056301,0,0,0,0,0,0.0858965434482253,0,0,0,0.210328632761287,0.00917833043688543,0,0,0,0,0,0,0,0,-0.00925934999716204,0,0,0,0
X939.HK.EQUITY,0.673878808630007,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.149456976431357,0,-0.0309581715639091,0,0,0,0,0.0287842088652784,0,0.0345860618390655,0,0,0.00408338311976651,0.00917561410161945,0.0187207574233356,0
X601288.CH.EQUITY,0,0,0,0,0.459194703181186,0,0,0,0,0,0,0,0.0221557033822927,0,0,0,0.0108539989461596,-0.0190002132649132,0,0,0.0125354943139616,0.0174471054969981,0,0,0,0,-0.0351217774092809,-0.0225405856665903,-0.00121103246610419,0,0.00934983365269447
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.135174041693072,0,0.123333021035949,0,0.151126153378652,0,0,0.00117724362161459,0,0,0,0.0358739331920578,0,0,0,0,0.00697522101376178,0,0.025399348924073,-0.0147095801367675
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.156138888550823,0.0440250305240256,0,0,0,0.0173231939629614,0.0510876014579714,0,0,0,0.0810840313314312,0.198423017500112,0.0839585433040647,0,0,-0.0409624362010714,0,0.011216714604974,0.015997317741798,0
X3988.HK.EQUITY,0,0,0.0664808779718008,0.117034219863544,0,0.219476856850837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016460297679103,0,0.0570252726830098,0
