,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0.0199135739644695,0,0,0.604368470643925,0,0,0.185363806171201,0,0,0,0,0,0.00293964865525124,-0.180881338213629,0,0,0.0737826346600701,0,0,0,0,0,0,0,0,-0.006066124805099,0.0396416339945593,0,0.0135462156636511
X601398.CH.EQUITY,0,0,0,0,0,0.0977970564328291,0,0,0,0,0,0.191332820544358,0,0,-0.130479644717362,0,0,0,0,0,0,0,0,0,0,0,0.00216719112231175,0,0,0.0568745961139252
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0445752270948607,0,0,0,0,0.192934075702343,0.0342184203725381,0,0,0,0,0,0.0246156616792128,0,0,0,0,0.081599344900356,0,0.0104737797982532,0.015488466682107,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.016962526539858,0.122290518629819,0,0,0.0768938970333649,0,0,0.0268909705775581,0,0,0,0,0.0061787668569824,0,0,0,0,0.425348109755179,0,0.0110662601931034,0.0949845897543893,0,0
X939.HK.EQUITY,0.500650852780098,0,0,0,0,0,0,0,0,0,0,0,0.145491993358041,0.0331927644156905,0.00571096612856619,0,0,0,0,0.0184513809809358,0,0,0,0,0,0,0,0.0589774095050446,0,0.0427411569941545
X601939.CH.EQUITY,0,0,0,0,0,0,0,3.3881317890172e-21,0,0,0,0.101535620284252,0,0.0426815668980386,0,0,0.284643270904411,0,0,0,0,0,0,0,0,0,0.0282212324270433,0,0.025521164848806,-0.0206533175745867
X601288.CH.EQUITY,0,0,0,0,0,0.126577712383112,0,0,-0.0658621226531899,0,0.461230478774148,0.0741801494555109,0.0184409404574776,0,0,0,0.137751075567892,0,0,0,0,0,0,0,0,0,0.0136467171744816,0,0,0
X2628.HK.EQUITY,0.27452330520741,0,0,0,0,0,0,0,0.166610779431287,0.316601127130464,0,0,0.394816480907083,0,0,0,0,0,0,0.00843467731260435,0,0,0,0,0,0,-0.0391356157060629,0,-5.42101086242752e-20,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.377794936137592,0.3231599658837,0,-0.164267291428366,0.143534923999623,0,0,0,0,0,0,0,0,0.133054229311671,0,0.0346877096964176,-0.0668089137304767,0,-0.0669781728504853
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.329609277044657,-0.243121356353524,0,0,0,0,0.154907789281048,0,0,0,0,0,0,0,0,0.278612323811947,0.0260994404344082,0,0,0.00425882375779334,0,0,0.0942614570484099
X601988.CH.EQUITY,0,0,0,0,0,0.127322688015345,0,-0.0763921253154634,0,0.113608785533394,0,0,0,-0.00434763535440787,0,0,0.183572429203118,0,0,0.0665204852101551,0,0,0.060462457543834,0,0,0,1.0842021724855e-19,0,0.029648700997385,0
X600036.CH.EQUITY,0,0,0,0,0,0.204851999941887,0,0,0,0,0,0,0.200179893540776,0.245122962274139,-0.0423917019325266,0,0.23341868258591,0,0,0,0,0,0,0,0.111057992001119,0,0,0,-0.0222816974508922,0
X1299.HK.EQUITY,0,-0.102222153001716,0.798464365778245,0,0,0,0,0.00914435837891708,0.0887079390578145,0,0,0,0,0.231020262764761,0.152606300058835,0,0,0.512508400203088,0,0,0,0,0,0,0,0.0493152890767883,0,0.0233576743323642,0,0
X5.HK.EQUITY,0.106161349033205,0,0,0,0.480308453468457,0,0,-0.117348789871873,-0.0742663738015928,0.0487517735467673,0,0,0.421420539312667,0,0,0,0,0,0,0,0,-0.255306476189763,0,0,0,0,-0.181747813644148,0.30687919135741,0.0623781522694194,0
X388.HK.EQUITY,0,0,0,0.24201069269166,0,0,0,0,0,0,0,0,0.287946630323178,0,0,-0.0740874535566619,0,0,0,0,0.0942203330348078,0,0,0,0,0,0.0236078272412835,0,0,0.0534641202136112
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.0311544706408732,0,0,0,0.136664571081253,0.00920065504704684,0,0,0,0,0,0.397671863328865,0,0,0.255540385184823,0,0,0,0.0266709735998345,0,0,-0.00879038044602325
X601166.CH.EQUITY,0,0,0,0,0,0.129645449657124,0,0.0142473553096327,0,0,0,0,0,0,0,0,0,0,0,0.00333712383707097,0.629132639496853,0,0,0.0712063255690295,0.0911196282994111,0,0.0280018044157822,0.00763979383088524,3.46944695195361e-18,0
X3328.HK.EQUITY,0.121310121338137,-0.140573291087651,0,0,0,0,0,0,-0.0777658216890573,0.0552175426495657,0,0,0.291109860756163,-0.0459127702991134,0.180437825442723,0,0,0,0,0,-0.0358668149471056,-0.0990760718330552,0,0,0,0.0110587410836488,0,0,0,-0.0312378158535208
X601328.CH.EQUITY,0,0,0,0,0,0.0149643676154484,0.276994866926533,0,0,0,0,0.0934937375754333,0,0,0,0.0851763413443159,0.095558510422145,0,0,0,0,0,0,0,0,0,0.00428944842313098,0,0.00553874145464348,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,-0.129627893708691,0.153219525865621,0,-0.0823538452819667,0,0,0,1.23276239776652,0,0,0,0,0,-0.108202458679704,0,-8.67361737988404e-19,0,0,0.00432260176272968,0.161926413876899,0,0.00263061427598393
X600000.CH.EQUITY,0.0246730962257414,0,0,0,0,0,0,0.00610009590996323,0,0,0,0.0870424236276814,0.00704836518217569,0,0.0225161356275926,0,0.500912309974674,0,0,0,0,0,0,0,0,0,-0.0102170588361474,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.0206778146551272,0,0,0,0,0.0326233664690217,0.0590620392914952,0,0.156275529093508,0.0282670453367991,0,0,0,0,0,0.170825745715097,0,0,0,-0.0197891456429655,0,0,0.0197942936692339
X601319.CH.EQUITY,0,0,0,0,-0.16914873046501,0,0,0,0,0.329265385580635,0,0,0,0,-0.0476917992281812,0.272062637417198,0,0,0,0,0,0,0,0,0.1754525454814,0,-0.0339802113455276,0,-0.013817232510602,0
X000001.CH.EQUITY,0,0,0,0.195038140490254,0,0,0,0.0282118347133594,0,0.061748436548967,0,0.443165113975509,0,0,0.0264406171725168,0,0,0,0,0.0240730723331593,0,0,0.045112524389841,0,0.0301683275966837,0,-0.00829507909175869,0,0.0252268684865445,0
X601601.CH.EQUITY,0,0,0,1.22838524296388,0,0,0,0,-0.0937978847362764,0,0,0,0,0,0,0,0,-0.0593746308914185,0,0.164823338432177,0,0.160551841616444,0,0.00682271910415994,0,0,-0.13176498937892,-0.168367318015954,0,-0.172254932665106
FXI.US.EQUITY,0,-0.0542619479436342,0,0,0,0,0,0,0,0.225752840907955,0,0,0,0,0,0,0,0,0,0.00818505907475038,0,0,0.0886992091063815,0,0,0,-0.174236690717517,0,0.0168739927123923,0
VXFXI.INDEX,-0.249349853802944,0,0,0,0,0,0,0,0,0.861299594524095,0,-0.0317167060917582,0,0,0.270050352620517,0,0,-0.622868350138163,0,0,0,0,0.289371002510425,0,0,-2.9231370484568,0,0,6.93889390390723e-18,-0.250856620039436
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05879118406788e-22,0,0.999979249947276,0.999977483526488
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04761899393259e-06,0,0,0,0,0,0,0,0.999998572341344,0,-0.999997133684431
