,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0855557550927718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545310656213732,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.0865274914151383,0,0,0,0.0213388706903664,0,0,0,0.0723184267299652,0,0,0.0970348538032854,0,0,0.0116327149635925,0,0,0,0,0,0,0,-0.00565615388406695,0.023347475645358,0,0
X2318.HK.EQUITY,0,0,0,0.0681651924537657,0,0,0,0,0,0,0,0.0314481783376045,0.0360763817430799,0,0,0,0,0,0.0567969233453485,0,0,0,0.0021462312270675,0,0,0,-0.000578666477428488,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203435960600426,0.0478432163849528,0,0,0,0,0.0868167053580298,0,-0.0169446440317812,0,0,0
X939.HK.EQUITY,0,0.132098806751144,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0531844857204276,0,0,0.00612919679661199,0,0,0,0,0,0,0,0,0.105301672281569,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408698863677809,0,0.156489772539043,0,-0.0039709797162702,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0488794753192132,0,0,0,0,0,0.0493398013136989,0,0,0,0,0,0.110170854359814,0,0.0589804960275886,0,-0.00241434022451004,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0622391185533153,0,0,0,0,0,0,0,0,0,0.028068869859873,0.0366208076450847,0.129428586956294,0,0,0.00164799752726772,0,0,0
X3988.HK.EQUITY,0,0.0183587730493062,0,0,0,0,0,0,0,0,0,0,0.119159892464104,0,0,0,0,0,0,0.0131407507185033,0,0,0,0.0884680006718442,0,0,0.000219560105770141,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0429648811514251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740360104950675,0,-1.35525271560688e-20,0,0,0
X600036.CH.EQUITY,0,0,0,0.190530908371256,0,0,0,0,0,0,0,0,0.0260041358973741,0.0489388152255497,0,0,0,0,0.114968968264425,0,0,0,0.0357650344830011,0,0,0,-0.012294448220833,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176538189878011,0.398409183720647,0,0,-0.0121288924195171,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0521242265104121,0.0204666419480029,0,0,0,0,0,0,0.0844430660209601,0,0,0,0,0.195360143231705,0.024658914225635,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170179634427167,0.447172834412843,0,0,0,0,0.0220035935810463,0,-0.00343148684066389,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.154080892752653,0,0,0.0305476537985649,0,0,0,0,0,0,0.0724815189913868,0,0,0,0.288463232511542,0,-0.00310837724654775,0,0,0
X3328.HK.EQUITY,0,0.348696217022054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025072136514241,0,0,0,0.0715791510990183,0,0,0,-0.00533990337210822,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0673019164806973,0,0,0,0.0369679113928066,0,0,0,0,0,0,0,0,0,0.0446234819701732,0,0,0,0,0
