,X2892.TT.EQUITY,X5.HK.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X6005.TT.EQUITY,X2867.TT.EQUITY,X601377.CH.EQUITY,X3040.TT.EQUITY,X000656.CH.EQUITY,X601108.CH.EQUITY,X2885.TT.EQUITY,X601878.CH.EQUITY,X9940.TT.EQUITY,X2501.TT.EQUITY,X2905.TT.EQUITY,X2505.TT.EQUITY,X2855.TT.EQUITY,X1808.TT.EQUITY,X2820.TT.EQUITY,X5876.TT.EQUITY,X600848.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0.0141196997973015,0.106199113095783,0,0,0.00331160931702944,0,0,0,0,0.0752160738687471,0,0,0,0,0,0,0,0,0.0620455420872002,0
X5.HK.EQUITY,0,0,0,0.0680913923847643,0,0,0,0,0,-0.00280497839281032,0,0,0,0,0.209893412398463,0,0.0911634407089574,0,0,0,0,0,0,0.0865604163192855,0
X5880.TT.EQUITY,0.0611404120645959,0,0,0,0,0,0.067551713858206,0,0,0.00515866067090881,0,0,0,0,0.101452745758921,0,0,0,0,0,0,0,0,0.00277435651172182,0
X2849.TT.EQUITY,0,0.00631852272752685,0,0,0,0.0103629074704627,0,0,0.0107876093062193,-0.00877786339949289,0,0,0,0,0.0583230856165512,0,0.0722661790788358,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,-0.00415969412068348,0,0,0,0.00174463837323732,0,0.0522355704924603,0,-0.00295820135993997,0,0,0,0,0.0571841069036329,0,0,0,0,0,0.0271743097594973,0,0,0,0
X83.HK.EQUITY,0,0.209184916144307,0,0,0,0,0,0,0,-0.000325999379145135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0.00963441551077614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015450146645612,0,0.067280246702992,0
X2548.TT.EQUITY,0,0,0,0,0,0.0101193324087581,0,0,0,-0.0101032331416757,0,0,0,0,0.0684088145504292,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,-0.0202208348689446,0,0,0,-0.0237776490324977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0.00869417134178103,0,0,0,-0.00269681509987196,0,0,-0.00427254649820748,0,0,0,0,0,0,0.153903256744326,0,0,0,0,0,0.0051833140538624,0,0.00591323139539928,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,-0.00486047002296474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601108.CH.EQUITY,0,0,0,0,0,-0.00315001870115584,0,0,-0.00904569354058753,-0.00147865317120477,0,0,0,0,0,0,0,0,0,0,0,0.0193539032951756,0,0.0140471481895064,0
X2885.TT.EQUITY,0,0.000321599639636524,0,0,0,0.0127478352140147,0,0,0,-0.0117898265046485,0,0,0,0,0,0,0.0602045377014847,0.103596825405792,0,0,0,0.0483492706687151,0,0.0737195582016974,0
X601878.CH.EQUITY,0.00845958756746713,0,0,0,0,-0.00586333468430022,0,0,-0.0082342098661833,-0.00215602720482371,0,0,0,0.305701921364022,0,0,0,0,0,0,0,0.012478936522042,0,0,0
X9940.TT.EQUITY,0,0.0369283290307758,0,0.233777979094204,0,-0.0370019431619404,0,0,0,-0.00537315429867888,0,0,0,0,0.0308227714111529,0,0,0,0,0,0,0,0,0.0676051527033437,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.00349736475030751,0,0,0,0,0.0748255479901132,0,0,0,0,0,0,0.0034115148913426,0,0,0
X2905.TT.EQUITY,0.0385920554109586,0,0,0,0,0.00764525085668301,0,0,-0.00858902667233676,-0.00245494745585747,0,0.0211342336752718,0,0,0.021593976644329,0,0,0.0336202240445359,0,0,0,0.0554995493090033,0,0,0
X2505.TT.EQUITY,0,0,0,0,0,-0.000858889072737325,0,0,0.00215389507048864,-0.00720960596034784,0,0,0,0,-0.024039284247627,0,0.0761917437883047,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0.115973936847948,0,0,0,0,0,0.0124651103126564,0,0,0,0,0.189582893429414,0,0,0.0322860865311556,0,0,0,0.0176004009059504,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0.00185394118443574,0,0,-0.0238022557569778,-0.00589481831492653,0,0,0,0,0.0568176426136955,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0.00822415826645713,0,0,0,-0.00423379963424596,0,0,0,-0.00190694935288414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
