,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.14405258403472,0,0,0,0,0,0,0.203326716627156,0,0,0.0415916503764289,0,0,0,0.0440610468236042,0,0,0.0111802464165511,0,0,0,0,0,0,0,0.00218601761053777,-0.000648308646838018,0,0
X1398.HK.EQUITY,0,0,0,0.0955718199293078,0,0,0,0,0,0,0,0,0,0,0,0.102838811232211,0,0,0,0,0,0,0,0.216607360377261,0,8.67361737988404e-19,0,-0.0249967689466391,-0.0193991483248364,0,-0.0245563343570778
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.142074630459802,0,0,0,0,0,0,0.207309929906333,0,0,0,0,0,0,0.0531971046577969,0,0,0,0.00897803958301942,-0.0125852779113893,0,0
X939.HK.EQUITY,0,0.329141712330093,0,0,0,0,0,0,0,0,0.0910661358256679,0.0789929370248529,0,0,0,0,0,0,0,0,0,0,0,0.0641350500752089,0,0.012260968816786,0,-0.0260073864055249,0.0105640942787048,0,-0.0593938150558332
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106736495254077,0,0,0,0,0,0.133123695244868,0,0,0,0.0244050493663023,0.290029518724295,0,0,0,-0.00788669183785137,0.0195008372227722,-0.0166664716452355
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.237588861592935,0,0,0.126635376618081,0,0,0,0,0,0,0,0,0,0.0566355689019246,0.110346329300192,0.029527267590261,0,-0.00967730098287688,-0.00697687874555915,4.33680868994202e-19,0
X601288.CH.EQUITY,0,0,0.031463364540171,0,0,0,0,0,0,0,0,0.0314370211776977,0.0567098291697348,0,0,0,0.251442825150997,0,0,0,0,0,0,0,0,0.0244795526545249,0,-0.000515349665484548,0.00278354169016366,0.0086665471181153,0
X601988.CH.EQUITY,0,0,0.185097684945131,0,0,0,0,0,0.0803179833509341,0,0,0,0,0,0,0,0,0,0,0.0337475367899722,0,0,0,0,0,0.0236452740717337,0,-0.00299028750725409,-0.00514740176308175,0.0148670070309517,-0.0565188822073383
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.201622001216383,0.0315173477612327,0,0,0,0,0,0,0,0,0,0,0.0745189296306336,0.210613239162878,0,0.0160050740555153,0,-0.00137311226225143,-0.00977371880015098,0,-0.0752531305903671
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0970672967479596,0,0,0.109082703621253,0,0,0.292954664400268,0,0,0,0,0,0.0850300945632784,0,0.224591104795209,0,0,-0.030150307134745,0.00443321476611731,-0.0502788427999044,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465331532765813,0,0,0,0,0,0,0,0.39965043700819,0.290330769352318,0,0,0,0,0,0,0.0543343995397177,0
X5.HK.EQUITY,0,0,0,0.0984179358041267,0,0,0,0,0,0,0.200041366531894,0,0.282726357223119,0,0,0.00884395093029697,0,0,0,0,0,0,0,0,0,0,0,-0.0225212181805441,0,-0.0235696123386023,-0.384428850658448
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349780768273066,0,0,0,0,0,0,0,0.0677208035780329,0,0,0.333804681124909,6.93889390390723e-18,0,0.0228906894819344,0,-0.0771814573696696,0.0984796151368073
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0793404909769346,0,0.31621256053398,0,0,0,0,0,0,0,0,0.0534272083170269,0.0400375153186015,0.492754237136258,0,0,0,-0.0339227135928959,-0.00324250329816017,0,-0.124453565582648
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0239855189470244,0,0,0,0,0,0,0.0957423331495242,0,0,0.157238943344807,0,0,0,0,0,0.00862665901134694,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0204816253212228,0.0140228110297978,0,0,0.0568378619015425,0,0,0,0.163581447748186,0,0,0,0,0,0.248548573305095,0,0,0,0,-0.0102233500485688,0,-0.098089736983273
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.462010598554197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00876659469289604,0,-0.0233046373879049,0
X388.HK.EQUITY,0,0,0,0,0.0579758129154089,0,0,0,0,0,0.134681613822312,0,0,0,0,0,0,0,0,0,0.0400498669410929,0,0,0.210215078873865,0.0749229468164388,0,0.0334324136782458,0,0,-0.0139355177121614,0
X600000.CH.EQUITY,0,0,0.0162805883090729,0,0,0,0,0,0,0,0,0,0.0399778173585109,0,0,0,0.369744320802361,0,0,0,0,0,0,0.0770206180454992,0,0.0286485024361668,0,-0.0129332197902899,-0.00340327039658459,0.0207141183643906,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.105382148309997,0,0,0.0173818619656512,0,0,0,0,0,0,0,0,0.318045749299678,0.184968314916089,0,0,0,-0.0336923562976905,0.013916729694385,0,-0.0955585210681526
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.181041316719633,0,0,0,0,0,0,0,0.228870335125514,0,0,0,0,0,0,0,0,0.117922270080416,0,-0.00462412894440732,0,-0.0437358325774004
