,X5.HK.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2882.TT.Equity,X2318.HK.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0.093806407964147,0,0,0,0,0.000545096009388025,0.0612891924654907,0,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0.057657623137335,0,0,0,0,0,0.225254909660916,0,0,0
X2628.HK.Equity,0,0,0,0,0.108116103671558,0,0,0,0,0.486237836903967,0,0,0
X3328.HK.Equity,0,0,0,3.91579761326347e-08,0,0.99999747503331,0,0,0,1.76056418567268e-07,0,0,0
X3328.HK.Equity.1,0,0,0,4.67610709226108e-07,0.999998210498669,0,0,0,0,0,0,0,0
X11.HK.Equity,0.0327650099040847,0,0,0.0233610434006712,0.0255042654921023,0,0,0.0301558468768368,0.00977222609917404,0.0132191951001612,0,0,0.00322760521456934
X2388.HK.Equity,0,0,0,0.0509145336477577,0,0,0,0,0.0300735643524868,0.125344181541988,0,0,0
X2882.TT.Equity,0,0,0,0.0636210104199831,0,0,0,0.266590657662031,0,0.354128319115278,0,0,0
X2318.HK.Equity,0,0,0,0.52527377898095,0,0,0,0,0,0,0,0,0
X600036.CH.Equity,0,-0.252645186809847,0,-0.24047156997627,0.187800172832282,0,0,0,-0.0787183970008332,0.38324433595272,0,0,0
GCNY10YR.Index,0,0,0,0,-0.0222684998851701,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0.00378723698333128,0,0.230439898506898,0,0,0,0,0.226227787367153,0,0,0
