,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0444447593334016,0,0,0,0,0,0,0,0,0.0528219803956262,0,0.211682109788907,0,0.0322631230129588,0,0.0169022496854414,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0490922678006555,0.22427338065115,0,0,0,0,0,0.0320961145697227,0,0,0.126564121031888,0,0,0,0.0491643779276869,0,-0.00223183383900563,0,0,-0.0182553640855574
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.051115519098835,0,0,0,0,0,0.352388405046427,0,0.153970911312056,0,0,0,0,0.150312028898153,0,0,0,0.00940645420785198,0.00325286663910239,0.0167047409451397,-0.0228751020575088
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.017134611518271,0.0613763716164468,0,0,0,0,0,0.211451804249847,0,0,0.0807892603332801,0.177616032102938,0,0,0.0259733462790026,0,-0.00589921800903884,0.00158900789770934,0,-0.0712676090246566
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.402311849106494,0,0,0,0,0,0,0,0,0.071990533577359,0.0571516420068241,0.0420888519739231,0,0.0346619707168663,0,0,-0.000664224774913319,0,0
X601318.CH.EQUITY,0,0,0,0,0.102734161322864,0,0,0,0,0,0,0,0.0833183947554393,0.145664788436548,0,0,0.257295880262176,0,0,0,0,0.00774150876841655,0.0749060920537955,0.0660077678468215,0,0.0326729676057323,0,0.00210526711930556,0.00666957507098522,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249540977586859,0,0,0.112267458234222,0,0.132810693070437,0,0.051976623470923,0,0.00896878519013305,-0.00177488828111405,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.31437635641021,0,0,0,0,0,0,0,0,0,0,0.10389063263863,0.176375439676205,0,0,0.0234833053252681,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0392739295133618,0,0,0,0,0,0,0,0,0,0,0.00873442718844315,0,0,0.0871431874805553,0.024077891443848,0,0,0,0.120110105766539,0,0.0894600929279383,0,0.0175143282457558,0,0,0,0,-0.0114040163611489
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.192186542557103,0,0.195633967732441,0,0,0,0,0.0294570527449153,0,0,0,0,0,0.206338167161499,0,0,0.0210295461320787,0,0.0251019987608415,-0.00200523626163161,0
