,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X6005.TT.EQUITY,X5534.TT.EQUITY,X601377.CH.EQUITY,X2501.TT.EQUITY,X2880.TT.EQUITY,X000656.CH.EQUITY,X2855.TT.EQUITY,X2885.TT.EQUITY,X2867.TT.EQUITY,X1808.TT.EQUITY,X1463.TT.EQUITY,X9940.TT.EQUITY,X601878.CH.EQUITY,X3040.TT.EQUITY,X601108.CH.EQUITY,X2905.TT.EQUITY,X2520.TT.EQUITY,X600848.CH.EQUITY,X2505.TT.EQUITY
X2849.TT.EQUITY,0,-0.0570458492537974,-0.526216893694561,0.0138247423934312,0.0353315137220168,0,0.332139234120667,0,0,0.226635892964519,0,0,0.449696741229023,0,0.0166403727488516,0,0.0453973541653489,0.63828989210641,0,-0.502902748737655,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,-0.00754295094610231,0.0411945063644488,0,0,0,0,0,0.487280684437565,0,0.51273051405114,0,1.73472347597681e-18,0.0425525219043855,0,0,0,-0.130207795063368,0,0,0,0,0
X5880.TT.EQUITY,0,0.420634602251951,0,-0.00442250989239834,-0.00374295808234396,0,0.0170220053904257,0,0,0,0,0,0.185108895454251,0,0.0146580726644427,0.0308062235535976,0.0172664889295649,0,0,0,0,0,0.224040899339506,0,0
X83.HK.EQUITY,2.8753662615529,0,0,0,0.923167194205532,0,-1.90631575317104,0,0,3.97313994884322,1.74943040368151,-1.36049392479887,0,0.255242663473482,-0.0442043017074405,-1.91788676118602,0,-5.48944622747915,-7.15991114707858,0,0,0,0,0,0
X5.HK.EQUITY,-0.219391033275805,-1.55116618921276,0,0.409944651752657,0,0,-1.42885715231688,-2.26783879204777,0,0,-0.384520669731109,0,0,-2.27996295858125,-0.253616150099387,0.0115966342724343,0,1.42665523274489,0,0.214652635341954,0,0,0,0,0
X2548.TT.EQUITY,0.0698004663289734,0,0,0.0232429282076037,0.019875190116794,0,0,0,0,0.11002211664403,0,0,0,0,-0.0161724467146226,0.0302073922717323,0,0.149573152917617,-0.0746932345239932,0.0273962576271518,0,0,0,0,0
X6005.TT.EQUITY,0.0283950208916323,0,0,0,0,0,0,0,0,0,0.818630878128442,0,0,0,-0.0116515215872867,0,0,0.148660312711051,0,0,0,0,0,0,0
X5534.TT.EQUITY,-0.107589058924042,0,0,0.0226786598794865,-0.0476865282522453,0,0.070712225232426,0,0,0,0,0,0.101868396498225,0.0472337208055309,0.0281870628819694,0.244202170420941,0.211812562361346,0,0,0,0,-0.97730161320732,0,0,0
X601377.CH.EQUITY,0,0.0316603095883148,0,0,0.0191420565899544,0,-0.0145812218576532,-0.0104032929033262,0,0.0606714465774973,0,0,0,-0.0767462308135802,0.00461071236320603,0.0211368254188598,0,0,0,0.130183652495321,0.142482792040049,0,0,0,-0.0617353565116915
X2501.TT.EQUITY,0.585664572265288,0,0,-0.0510511381007136,0.0416969972090453,0.439951869714307,0,0,0,0,0,0,0,-0.157992524249135,-0.0108932759009723,-0.311819546835288,0.226949267095296,0.205671884482889,0,0.0378080309612929,0,0,0.527591212547694,0,0
X2880.TT.EQUITY,0,0.634241750030438,0,0.00109244835900644,0,0,0.1228869239501,0,0,0,0,0,-0.35583696188792,-0.0307233485494738,0,0,0,0,0.0210993265654982,0,0.368628676822521,0,0,0,0
X000656.CH.EQUITY,0,0,0,-0.00588134928344717,0,0,0,0,0,0.094858046554622,0,0,0,0,0.00382526127611087,-0.0647214593038507,-0.00306961746422711,0,0,0.0516128846516479,0,0,0,0,0.146915439302923
X2855.TT.EQUITY,0.214952978512586,0,0,0.00359696603631364,0.0210187004825239,0.161913104771584,0.17454977968071,0,0,0,0,0,0,0,0.00922384870160337,-0.0433112483687651,0.0955489629300627,-0.345081657022954,0,0,0.0870918000904532,0,0,0,0
X2885.TT.EQUITY,-0.0393233429082255,0,0,0.0295524475442652,0,0.643709090263766,0.260128261220309,0,0,0,-0.0941976848156759,0,0.235900060396537,0,-0.0647622681471555,0.354075127537345,0,0,0,0,0,-0.363743199055278,0,0,0
X2867.TT.EQUITY,0,0,0,0.386149300553097,0,0,0,0,-9.27319075949776,0,-2.17626254147935,0,0,2.22044604925031e-16,0,1.0342624390487,0,2.84195001649261,0,1.66654732945782,1.68147142351531,-10.1714021782909,0,-2.00815824909783,0
X1808.TT.EQUITY,0,0,0,-0.0295275816449838,0,0,0,0,0,0.476444623062763,0,0,0,0,0.0185832299322606,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0.0167265065093315,0.714015136742582,0,-1.38777878078145e-17,-2.77555756156289e-17,0.627788359010338,0,0,8.67361737988404e-19,0.389190014375245,0.112245678442305,-0.0158431565001399,0,0.232829105411367,-0.967490627464906,0,0,0,0,0,0
X9940.TT.EQUITY,0.182076574111477,0,0,-0.00537662665872801,0.0289453034256474,0,0.1604472179967,0,0,0.155020439637135,0.0687057254931883,0,0,0,0.00772718505968112,0.111732117340576,0.0261192676207046,0,0,0.137630276283905,0,0,0,0,0
X601878.CH.EQUITY,0,0,0.0372745785628006,0,0,0,0,-0.0433540848142763,0.466466462883999,0,0,0,0,0.0198378239899629,1.0842021724855e-19,-0.0344506052896325,0,0,0,0,0.306459686571451,0,0,0,0
X3040.TT.EQUITY,-3.46944695195361e-18,0.136307900788909,0,0,-0.0117732038191025,0,-0.0368602390468364,-0.0507092133124804,0.455433656564386,0.0130619383348436,0,0,0,0,-0.0103926755176459,0.158038929006603,0.15657438214132,0,0,0,0.153367555295041,0,0,0,0
