,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.150832625543931,-0.0237073276175765,0,0,0,0,0,0,0.197049531063556,0,-0.0793204664175606,0,-0.0691548929959164,0.165177289657222,0,0,0,1.0842021724855e-19,0.0061579595955737,0.0132443888860023,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.166888731365776,0.130676184499076,0.142108974957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000261194981236224,0,-0.00927558619882251,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.02877223574312,0,0.0607913800579807,0,0,0.0140407774905887,0,0,0.0284625712962784,0.336528634864155,0,0,0,0.0542855152435309,0,0.00581970553002219,0,0.0131223731240167,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.164963006987364,0.103505915920591,0,0.179386290129996,0,0.0579752978543039,0,0,0,0.206045432259674,0.0420399045503557,0,0,0,0,0.00114699926122545,0,0.00593606598051454,-0.0155989509851346,0,0
X939.HK.EQUITY,0.0833254632729297,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0.149833944983081,0,0.00392168588434378,0,0,0.0610238686338763,0,0.0999035677368062,0,0,0.0871942951060601,0,0,0,0,0.0129398207925696,0.00987924267350145,0
X601939.CH.EQUITY,0.238106609485971,0,0,0,0,0,0,0,0,0,0,0,0.073568103859762,0.0733664192550168,0,0,0,0,0,0,0.0658340759438059,0,0,0,0,0,0,0.0132259985496702,-0.0130807190169593,0,-0.0581857631852207
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744668417923106,0,0.0541472144603081,0,0,0.121477605196355,0,0.0278747687702696,0,0,0,0,0,0,0,0.00395444028700659,0.0157447941877402,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985040276129888,0,-0.0861454658776944,0,0.0768352876217818,0.0387649581933555,0.20583777378253,0,0,0.000477081382945077,0.0629599926167752,0,0.0285269571678475
X3988.HK.EQUITY,0,0.352546212990679,0,0,0.19290090657955,0,0,0,0,0,0,0,0,0.0163841256679457,0,0,0,0,0,0,0.056042736060031,0,0.0379787305413638,0,0,-0.0173315568264519,0,-0.00317486447606498,-0.00576690764126664,0.0144052730588215,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293409479507051,0,0,0.0464405738068132,0,0.181651097153573,0,0.0326328729383356,0,0,0,0,-0.032612346615806,0,-0.000122652498835669,0,0,0
X600036.CH.EQUITY,0,0,0.532413850322898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369355335490082,0,0,0.0179129008532535,0,0.0296034832360596,-0.0576023150677546
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210980941321836,0.368013939138265,0,0,0,0,0,-0.00754554411404188,0.0350872135847756,0.0402031765990975,-0.139673568433697
X601628.CH.EQUITY,0,0,0.208334223850021,0,0,0,0,0,0,0,0,0.0413096779906509,0,0,0,0,0,0,-8.67361737988404e-19,0.346288334901008,0,0,0,0.0505337798622726,0,0,0,0.00957896562025259,-0.011710716782052,0.0550659078797743,0
