,X2892.TT.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X2548.TT.EQUITY,X2880.TT.EQUITY,X6005.TT.EQUITY,X601108.CH.EQUITY,X000656.CH.EQUITY,X601377.CH.EQUITY,X3040.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X601878.CH.EQUITY,X2501.TT.EQUITY,X2905.TT.EQUITY,X9940.TT.EQUITY,X2855.TT.EQUITY,X2505.TT.EQUITY,X1808.TT.EQUITY,X1903.TT.EQUITY,X2820.TT.EQUITY,X000783.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0.00333448379005385,0,0.374839313899009,0.0947831381787287,0,0,0,0,0.0193491738816231,0,0.238704359743426,0.115146189645024,0,0.0828044493725695,0,0,0.00532163632156575,0,0,0
X5880.TT.EQUITY,0.168073283276238,0,0.00957542069579609,0,0,0.00421479713554976,0,0,0,0,0,0,0.0685071210842136,0.00280904439553914,0,0,0,0,0,0.33330362110995,0,0,-0.0744809606322171,0,0
X2849.TT.EQUITY,0,0,0,0.0210642944137612,0,0.0282435737469672,0,0,0.0764547755573129,0,0,0,0,0.0161084791315795,0,0,0,0,0.547755470820812,0.260461554242507,0,-0.104195955768311,0,0,0
X5.HK.EQUITY,0,0,0.344187895477145,0,0,0.0177319477669977,0,0,0,0,0,0,0,0,0,0,0,0,0.38783377485983,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0.0123954160549961,-0.00592260355915962,0,0.0125649328437281,0.160673208290154,0,0.043236470427167,0,0,0,0,0.0148427523448995,0.0413959656366584,0,0,0,0.0530473695296154,0,0.137598587818182,0,0,0,0
X83.HK.EQUITY,0,0,1.92669947387264,0.93000249074482,0.117894031199183,0,0,1.5060981225694,-0.542569044005191,0,0,0,0,0.101435777714325,0,0,-1.11022302462516e-16,0,-6.22010312408025,3.0323764507932,0,-0.686237825934218,-8.85414567260536,0,0
X2548.TT.EQUITY,0,0,0,0.056377006424707,0.445786967149517,-0.0150569109343689,0,0,-0.0249146787667054,0,0,0,0,-0.0133857239616449,0,-0.315714953814699,0,0,-0.0293239916213902,-0.0273295304676341,0.600280287797122,0.0322034529636883,0,0,0
X2880.TT.EQUITY,0.387451802105009,0,0,0,0,0,0,0,0.0873657847786324,0,0,0,0,0,0,0,0,0,0,0,0,0.0932821072141223,0,0,0
X6005.TT.EQUITY,0,-0.722714911501112,0,0,0,0,0,0.722765508856503,0,0,0,0,0.965687447748035,-0.0806644437444874,-0.60559925058444,0,0,0,0,-0.517570575120882,0,0.233206540108185,0,-2.10116531795896,0
X601108.CH.EQUITY,0.00577410420702219,0,0.0979833940525992,0,0,-0.00694035062644112,0,0.0848883784859766,-0.0117301549174793,0,0,0.220786328997799,0.0185674156094468,0.00130503777962097,0,0.0458435120186018,0.0409314952807813,0,-0.0640753736890761,0.0738206442577036,0,0,0,0,0.305353924492675
X000656.CH.EQUITY,0,0,0,0,0,-0.00049072569852128,0,0,-0.011602992640666,0,0,0,0.0184822082751414,0,0,-0.0263771750749946,0.0373710120726915,0,0,0,0.0976778467996554,-0.0212165622589397,0,0,0
X601377.CH.EQUITY,0.0241002573457795,0,0,0.0207402936764085,0,0,0,0.0760793592875298,-0.0126028556039117,0,0,0,0.0736676840510305,0.00154395633584528,0,0,0.0425377134628376,0,0,0,-0.0193234333932138,0.0300655121120384,-0.0580217930191204,0,0.0959454121721179
X3040.TT.EQUITY,0,0,0,-0.0221893516953555,0,0.00488299815490778,0,0.274111730862859,-0.0115227751977226,0,0,0,0,-0.0244895358101809,0.237241845685739,0,0.100886132745936,0,-0.174894179603142,0,0,0,0.106485154575934,0,0
X2867.TT.EQUITY,0,0,-1.36130249763055,0.761108046816082,4.26508685249597,0.155896656072299,0,-7.36130290555539,-0.364408195170788,0,0,-6.5543707423124,0,0,-1.38777878078145e-17,0,0,-7.746674693828,4.43768951994623,1.0281523372185,0,3.1444834387205,-5.97181940538699,-8.92072384899265,0
X2885.TT.EQUITY,0,0,0,0.0252738659365301,0,-0.0141494715070873,1.74658535625041,0,0,0,0,0,0,-0.0335616989102795,0,0,0,0,0.187549790141065,0.315678271002815,0,0.0512962438196906,0,0,0
X601878.CH.EQUITY,0.0041406275728086,0,0,0,0,0.00491527938824342,0,0.104289206104067,-0.0143051153311641,0.242490250136955,0,0.160395814972499,0.0141010321861941,0,0,0,0.0580181136687397,0,0,0,0,-0.0440268997195562,0,0,0
X2501.TT.EQUITY,0,0,0,-0.0139737161512359,0,-0.0174567820527706,-0.103249749029922,0,-0.0158698520808811,0.240321696188469,0,0,0.145169318323032,-0.00567862658072317,0.277306776443339,0,0,0,0,0.356505069034403,0,-0.0797031944697026,0,0,0
X2905.TT.EQUITY,0,0,0,0.00212964821608246,0,0.00445484312319012,0,0,0,0,0,0,0.104805864510482,0.00568246491847141,0.0428942741842888,0,0,0,0.0710048389668639,0.0127494436203009,0,0.0534028250391833,0,0,0
X9940.TT.EQUITY,0,0,0.0467581348762996,0.0411977761370501,0,-0.0633071309937776,0,0,0.0682615742367355,0,0,0,0,0.00296284209698847,0,0,0.253422848432293,0,0,0,0,1.73472347597681e-18,0,0,0
X2855.TT.EQUITY,0,0,0,0.0379347523406802,0.608852645137569,0.0160924803360372,0,0,0.0130700233772989,0.429569425519189,0,0,-0.0446318362930622,-0.0218142042294865,0.147128624712308,0,0,0,-0.0687782846892729,0,-0.479285748595445,0.0602086990287111,0,0,0
