,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.616906332998551,0,0.0110617977871602,0.150155793614113,0,0.0203736267415842,0,0,0,-0.193941810488249,0,0,0,0.0310259121679063,0,0,0,0,0,0,0,0,0,0.0121154475967023,0.0330009933865378,0
X601398.CH.EQUITY,0,0,0,0,0.00235181933844802,0,0,0,0,0.303786710051461,0.0611382860456763,0,0,0,-0.129972417366205,0,0.0182494098743511,0,0,0,0,0,0,0,0,0,0,0,0.0101551384617272,0,0.000274002588950299
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0110952640472478,0.132373374175047,0,0,0,0.104467016784096,0.035191264601095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00146270055707397,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0822111759952099,0.296619227898511,0,0,0,0,-0.0519881243485935,0,0.0950078864367276,0,0,0,0,0,0,0,0,0,0,0,-0.00494571034017327,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.946786701082562,0.0527247772107365,0,0,0,0,0,0,0,0,0,0.0486203437633241,0,0,0,0,0,0.0330526865311159,0,0,0,0,-0.00692201700035697,0.00868360306652419,0
X939.HK.EQUITY,0.407073684583828,0,0,0,0,0,0,0.0258615902486765,0,0,0,0,0,0,0,0,0.044374370439692,0,0,0,0,0,0,0,0,0,0,-0.0293130912897563,-0.00941975876987363,0.00282885574145198,-0.0540371457970606
X601288.CH.EQUITY,0,0,0,0,0.772433567723681,0,0,-0.0221479622405129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687376834453269,0,0,0,0,0.00582750370331938,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.571679241122655,0,0,0,0,0,0,0.543049015318512,0,0,0,0,0,0,0,0.170604107059618,0.170111636217552,0,0,-0.217563768254071,0.0348924851366409,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.25715692977245,0,0,0.214321782372154,0,0,0,0.201313642407762,0,0.0903587235898301,0,0,0,0,0,0,0,0.0125610027720175,0,0,0,-0.00785751189235998,0.0968733290931826,-0.0460426891785224
X600036.CH.EQUITY,0,0,0,0,0.221896289352305,0,0.163220298516437,0,-4.33680868994202e-19,0,0,0,0.112145254624396,0,0,0,0.00114605573368962,0,0,0,0,0.0198468487694782,0.209472871617445,-2.71050543121376e-20,0.0356723088620864,0,0,-0.0143542243827415,0.0118202423584559,0.0561184133387218,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.0764597328837037,0,0,0,0,0.149874131038534,0,0,0,0,0,0,0,0,0,0.130533888639137,0,0,0,0,0,0.0134598875454243,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562667397370444,0.200551678695592,0,0,0,0,0,0,0,0,0.0665010696428016,0.000934669506943766,0.0248965874436668,0
X1299.HK.EQUITY,0,-0.155191363205403,0,0,0,0,0,0.171053946428098,0.0673827055835942,0,0,0,0,0.456007307011411,0.0477499629022734,0.152507791176152,0,0,0,0,0,0,0,0,-0.175011574647151,0.0381861029284823,0,0,-0.00806177875118992,-0.0103876979629239,0
X5.HK.EQUITY,0.0237220996253809,0,0.581590000399081,0,0,0,0,0,-0.19523848514324,0.1909607902842,0.260211146888544,0,0.129445008989121,0,0,0,0,-0.20928223925678,0,0,0.0690818255949554,0,0,0,0,0,0,-0.0697097439144471,0.00163675295890426,0.076483910721287,0.12743818005167
X388.HK.EQUITY,0,0,0,0,0,0,0,0.156600213066404,0.0472431779255176,0,0,0,0.185469455226058,0.0493911552396891,0,0,-3.46944695195361e-18,0,0,0,0,-0.234140276202037,-0.0207039167186566,0,0,0,0.377713180637103,-0.124763123751508,-0.0332029399773753,0.0423884304455413,-0.00197940844918709
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.239177338254981,1.38777878078145e-17,0,0,0,0,0,0,0,0.474249811223804,0,0,0,0,0,0.349995164598808,0.0131561055074062,0,0.0379542206711649,0,0.0660652524017195,-0.01976367244439,0,-0.0262730705020699
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.103774095251736,0,0.141631769689183,0,0.0569541334023571,0.847669664333561,0,0,0,0,0,0,0,0,0,0,0,-0.014162419594735,-0.0267069786795103,0.0162493785597793,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0461241248018454,0,0,0,0.760812391586371,0,0,0,0,0,0,0,0,0,0,0.224083257453315,0,0,0.00752075577934626,0,-0.00504160102694183,0.00526228320943825,0,-0.00943267079812994
X3328.HK.EQUITY,0.117898224488166,0,0,0,0,0,0,0,0,0,0.0807510346288933,0.0391772696654869,0.0348735175309975,0,-0.0356394750571832,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0784219771700226,0,0.00272456428853429,-0.0789152457146627
X601328.CH.EQUITY,0,0,0,0,0,0,0,-2.9213049467904e-05,0,0.120793936415681,0,0,0,0,0,0,0,0,0,0,0,0.153373039927739,0,0.134642885232432,0,0.00961297333493959,0,0.0356312513545987,0.00881000440393158,-8.67361737988404e-19,-0.0129739705736083
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546749124611553,0,0,0.219302378529121,0,0,0,0,0,0,0,0,0,0,0.0630999940945739,-0.00426825806176617,0.0894154493165428,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0697978665933259,0,0.210216475173384,0,0,0,0,0,0,0,0.229368652754876,0,0.0322724228767717,0,0,0.143927902765245,0.0907218037597324,0,-0.0388137111174333,0,0,-0.0266606502783604,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0874940629758692,0,0.295924566354071,0,0,0,0,0,0,0.141706967957971,0.145275365703395,0,0,0,0.00572146666823901,0,0,0,0,0,-0.028424201366171,-0.00992696991645452,0,-0.0187007193076216
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0669365225777445,0,0,0,0,0,0,-4.33680868994202e-19,0.0963346917441534,0,0,0,0,0,0.0767916837990243,0,0.612726612769825,0,0,0.0415448027827655,0,0.00859188976034567,-0.110070576156692
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.134350072481995,0.175965690858614,0,0,0,0,0,0,0.10001406335824,0,0,0,0,0.0700816180151988,0,0.164780879460961,0.290452970119191,0,0.0296382847318797,0,-0.134152576985905,0.00762118338110587,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.29131650461251,0,0,-0.0126315616302982,0,0.064065662975956,0.0676982544623841,0,0,0,0,0,0,0,0,0,0,0.0257960334168774,-0.760117443220434,0
FXI.US.EQUITY,0.0552561465625438,0,0,0,0,0,0,0.0375679264510969,0,0,0.194947082390804,0,0,0,0,0,0.0347739886167482,0,0,0,0,0,0,0,0.128094502303253,0,0,-0.0777495203999465,0.000192196518139731,0.0152281636917642,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.0518365829341088,-0.154728765734745,0,0,0,0,-8.67361737988404e-19,0,0,-0.153649733072679,0,0,0,0.166964630390338,0,0,0,0,0.118880778514134,0,0,0.118055118373357,-0.0367612717998714,0
TED.SP,-1.08329990555785,0,0,0,0,0,0,0,0,0,-0.065776555895084,0,-0.776845613972256,6.93889390390723e-18,0,0,0.896456728833618,0,0,0,0,0,0,0,1.05764423455261,-0.677678430199918,0,0,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.105358710019564,0,0,0,0,0.135816148113153,0,0,0,0,0,0,0,0,-0.893448488422519,0,-0.011748091803721,0,0,-0.279601160409433
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234533172778369,0,-0.0416330841704145,0,0,0,0,0,0,0,0,-0.47082075723855,0,-0.0554202285196987,0.0257926832796625,-0.428103936729102,0
