,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0873615366619036,0,0,0,0,0,0,0.278452413481549,0,0,0,0,0,0,0,0,0,0.0158223929967061,0,0,0,0,0.010463038165276,0.00333222276047142,0,0.00124838271682726,-0.00101712066436559,0,0
X1398.HK.EQUITY,0,0,0,0.132121875489303,0,0,0,0,0,0,0,0,0,0,0,0.119559212508459,0,0,0,0,0,0,0,0,0.212490663527992,0.000850146604412916,0,-0.022683571477983,-0.0189051869491079,0,-0.0285701584764645
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.124875497701918,0,0,0,0,0,0,0,0.231094660100263,0,0,0,0,0,0,0.0496757134185081,0,0,0.00840114364044545,-0.0119815351454779,0,0
X939.HK.EQUITY,0,0.329139494113301,0,0,0,0,0,0,0,0,0.0910639846931213,0.0789945682832446,0,0,0,0,0,0,0,0,0,0,0,0,0.0641376521194485,0.012261082994449,0,-0.026007035573015,0.0105643259327762,0,-0.0593943709885111
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116008544489613,0,0,0,0,0,0.127787459183181,0,0,0,0.284226376544861,0.0246088143203305,0,0,0,-0.0111736503983853,0.0220778013715377,-0.0185303603035745
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.247181406762099,0,0,0.147704592068152,0,0,0,0,0,0,0,0,0,0.0253182003810511,0.0231277924653099,0.0392980776935911,0.0270803313051832,0,-0.0169717976425477,0,0
X601288.CH.EQUITY,0,0,0.188454784684053,0,0,0,0,0,0,0,0,0,0.0326484703929567,0,0,0,0,0.106827237560179,0,0.0900693676597251,0,0,0,0,0,0.0198959916388418,0,-0.0118095264337022,0.00538180891833727,0,0
X601988.CH.EQUITY,0,0,0.116018686129565,0,0,0,0,0,0.0543696267798894,0,0,0,0,0,0,0,0,0,0,0.06691544309578,0,0,0,0,0,0.020606755519535,0,0,-0.00621534912072817,0.0115648164942897,-0.0513709408504065
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.155214232674737,0.0754631802218579,0,0,0,0,0,0,0,0,0,0,0.0348100716660628,0,0.232839899281577,0.00582271253573376,0,-0.0103731952242469,-0.0164117333795979,0,-0.0404332581254398
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.035792477856288,0,0,0.0962553282461262,0,0,0,0.238219190608585,0,0,0,0,0.137531437903173,0.322156382216705,0,0,0,-0.0293734149542921,0.00940376576810846,-0.0492004494379922,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465331532765813,0,0,0,0,0,0,0,0.39965043700819,0.290330769352318,0,0,0,0,0,0,0.0543343995397177,0
X5.HK.EQUITY,0,0,0,0.171807327780571,0,0,0,0,0,0,0.185551470559553,0,0.336708470085811,0,0,0,0,0,0,-0.295532383068347,0,0,0,0,0.0933959589481869,0,0,-0.0206253160201701,0,-0.0396711272131861,-0.444778680396707
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268546345206347,0,0,0,0,0,0,0,0.167100192795214,0,0.139408912440724,8.67361737988404e-19,0,0,0,0,-0.088274694310454,0.103519363479774
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.185844478166097,0,0.287511891628891,0,0,0,0,0,0,0.0722243062658945,0,0,0.0310924006417594,0,0.43103796158898,0,0,-0.0255203855644646,-0.0049583522976647,0,-0.0828364072223022
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1151386288482,0,0.117900646646333,0,0,0,0.0556427333752121,8.67361737988404e-19,0.00529386617259454,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0984412819210199,0.0615712542170041,0,0,0.0339173314350068,0,0,0.0634999744568427,0,0,-8.67361737988404e-19,0,0,0,0,0.198623336464699,0.00264603037527728,0,0,-0.00567829135351138,0,-0.0981085127634193
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.127329425998696,0,0,0,0,0,0,0,0,0,0.0729292322236544,0,0,0.0699140972314948,0.2473451105594,0,0.0235360823935355,0,-0.00374284241650341,-0.0141894575491746,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.462005352506455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00876580387726983,0,-0.0233066231183223,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0959436355670157,-8.67361737988404e-19,0,0.0261191507101968,0,0,0,0.0322743975651164,0.23252788786871,0,0,0,0,0.0312728585222311,0,0.0452326658622027,0.0354128665820886,0,-0.00909004326511973,-0.00695220520407311,0.0334620531333052,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0866971034056372,0,0,0,0,0,0,0,0,0,0,0,0.323091652861714,0,0.207679634126994,0.00952186084972742,0,-0.043415506674695,0.0157341733739995,0,-0.0792956365700517
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.249030409193069,4.33680868994202e-19,0,0,0,0,0,0.151203982730171,0,0,0,0,0,0,0,0,0,0.111055514264295,0,-0.00378161763711061,0,-0.0310789552194315
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.532016789103905,0,0,0,0,0,0.0814111019237948,0,0,-0.0153917002800749,0,0,0,0.0908384584373703,0,0.0715225309123259,0,0,0,0.0402363620617561,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0201995638422537,-2.16840434497101e-19,0,0,0.33651209617844,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.034377815684689,0,-0.0448201678237989,-0.0173990099136831,0,-0.0546456655894827
X601601.CH.EQUITY,0,0,0,0,0.206708951256173,0,0,0,0,0,3.46944695195361e-18,0,0,0.19239800098743,0,0,0.00991103502587437,0,0,0,0,0,0,0,0,0.00501479109698253,0,-0.0323150479376945,-0.0191999626107358,0,0
X688.HK.EQUITY,0,0.559797854097722,0,0,0,0,0,0,0.273961537728172,0,0.059535028648502,0,0,0.503003843002465,0,0,0,0,0,0.0652472668277283,0,0.0104371323880224,0,0,0,0,0,0.0286070260966479,0,-0.0133163451106025,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.335207349649871,0,0,0,0,0,0,0,0,0,0,0.559622499607035,0.120913166753314,-0.285916293362338,0,0,-0.0902939656587692,-0.0964747437036215,-0.866102883210752,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0394324570383288,0,0.0564588345959232,0,0,0.0303401899305627,0,0,0,0,0,0.245289686722002,0,0,0,0,-0.210495093221346,-0.0327405736535828,0.0387180869785081,-0.0221030367600693
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.374816475019365,0,0,0,0,0,0,0,-1.05820464850046,-0.333439882003893,0,0,0,0,0.128458473303532,-2.60279188299035,0,-0.010504727137319,0.0647680478470299,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,1.89800346283729,-2.72474518421231,0,0,0,-4.17712732998057,0,0,1.31644513866986,0,0,0,0,0,-0.675831017532684,0,0.684790579398952,0,0.124040248727469,0
