,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,1.38777878078145e-17,0.287239275679227,0,0,0,0.177025100022027,0,-0.0151326727847729,0.0179176871795909,0,0,0.138799278983385,0,0,0,0,0,0,0,0.0449443904040395,0,0,0,0,-0.0278969331766842,2.16840434497101e-19,0
X601398.CH.EQUITY,0,0,0.0417336372740191,0,0.37573540360342,0,0,0,0,0,0,0,0,0.0107184478219087,0,0,0,0,0,0,0,0.0357287616636673,0,0.0976978548115107,0,0,0,0.00264562132871486,-0.00392001933868761,0.0311545356251,0
X601318.CH.EQUITY,0,0,0,0.0934876985458819,0.142520018143309,0,0,0,0,0,0.0827888322008283,0,0,0,0,0.184763615850207,0.256117478962654,0,0,0,0,0.0955464348198767,0,0.311850507283284,0,-0.0125180490608964,0,0,0.0120949320213271,0,0
X2318.HK.EQUITY,0,0,0.469930203717539,0,0,0,0,0,0,0,0,0,0.112879571996334,0,0,0,0,0,0,0,-0.00834866569380689,0.046859940647687,0,0,0,0,0.0466868579269917,0,-0.0376462533869454,0,0.0326825772765895
X601939.CH.EQUITY,0,0.0646389660456006,0.0359217919320714,0,0,0,0,0,0,0,0,0,0,0.130547755191043,0,0.348634366042651,0,0,0,0,0,0.0538271348547812,0,0,0,0,0,0.00191259965319022,0,0,0
X939.HK.EQUITY,0.713230675032005,0,0,0,0,0,0,0,0,0.144930646295536,0,0,0,-0.00283928537511255,0,0,0,0,0,0,0,0,0,-0.0034879100211514,0,0,0,0,0.00637248773535004,0.0261814355189447,0
X601288.CH.EQUITY,0,0,0,0,0.229482875335947,0,0,0,0,0,0,-0.0486901345190139,0.00688911495111586,0,0,0.161468764430676,0,0,0,0,0.00274595769200758,0,0,0.156900915584306,0,-0.00969247788858984,0,0,0,0.0136320014913615,0.0226802778304703
X5.HK.EQUITY,0,0,0,0,0.115691347314895,0,0,0,0,0,0,0,-0.0201792145171785,0,0,0,0,0,0,0,-0.0496271525454518,0.202881789329054,0.242723022238756,-0.0779222467689718,0,-0.0223212106376584,0,0.0140079468339524,0,0,0.0721016212887296
X601988.CH.EQUITY,0,0,0,0,0.0547732104649229,0,0,0,0,0,0,0,0,0.138526887547488,0,0,0.0270031384772219,0,0,0,0.0240402952227871,0,0,0.0526247629265306,0,0,0,0.0113480060332462,0,0,0.0129797855168347
X3988.HK.EQUITY,0.283209242762292,0,0,0.0812319188850682,0,0.237694263111889,0,0,0,0,-0.0434357032635988,0,0.0421887746661613,0,0,0,0,0,0,0,-0.0200670243005534,0,0,0.0519624094751269,0.0844537899330288,0,0,0,0,0.0484811423083244,0
