,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X601878.CH.EQUITY,X2548.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X5534.TT.EQUITY,X1808.TT.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X1463.TT.EQUITY,X2855.TT.EQUITY,X5.HK.EQUITY,X2867.TT.EQUITY,X601108.CH.EQUITY,X9940.TT.EQUITY,X2885.TT.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X5871.TT.EQUITY,X2520.TT.EQUITY,X600848.CH.EQUITY
X2849.TT.EQUITY,0,-0.0794970355656966,0,0,0,0.0836791066589562,0.455004256486435,0,0,0,0,0,-0.233280308734741,0,0,0,0.0121242046548828,0,0.0149386688544994,0,-0.13294673706763,0,0.800825327609064,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,-0.0630046743731528,0,0,0,0,0.61204536396378,0,0.43022249763144,0.0656827955567355,0.0147002358716772,0,0,0,-0.108003938713893,0,0,0,0
X5880.TT.EQUITY,0,0.443560891760723,0,0,0,0.0104829600542842,0,0.0228363444600274,0,-0.0683275251391141,0,0,0,0.0249694246080725,0.236883722421977,-0.0412590838960422,0.0145839741872666,0,0,0.038266075695531,0,0,0,0.37837283605835,0
X601878.CH.EQUITY,0,0,0.0278627420227795,0,0,0,0,0,0.4707772058809,-0.044940906595028,0,0,0,0,0,0,-0.00190426989080073,0.234801881377824,0,0,0,0,0,0,0
X2548.TT.EQUITY,0.066077419984363,0,0,0,0,0.121282183722074,0,0.0517134087310265,0,0,0.0227067497182278,0,0,0,0,0.00432793177003366,-0.0147729323863748,0,0.150456346845442,0,0,0,0,0,0
X2501.TT.EQUITY,0.159309131761617,0,0,0,0,0,0.0693738997472193,-0.0738051673356025,0,0,0.133002499597448,0,0,0.110706874268896,0,0.0715596087568211,2.71050543121376e-20,0,0.209635226786592,0,0.158523314419688,0.153888588810484,0,0,0
X6005.TT.EQUITY,0.255082980237282,0,0,0,0,0.0611680783053079,0,-0.0341909700171306,0,0,0.126397539019328,0,1.04137924510248,0.125902588831781,0,0,0.00153969995634408,0,0,0,0,0,-0.625775864284019,0,0
X83.HK.EQUITY,0,-1.53227730261489,-0.527100134385714,-0.454412780359639,0,0,-0.8564199228915,0,0,0,0.357407531615205,-7.59545869541934,0,0.44530823829016,0,0.966354747660024,0.0923694683220099,0,0,0,0,2.7138956556147,0,0,0
X601377.CH.EQUITY,0,0,0,0,0,0,0,0.00274692796830782,0,0,0.0162486915348737,0,0.0257705772326326,0,0,0.00533624639787431,0.00269880019261055,0.165281543986713,0,-0.0421149917284024,0.0921820703466452,0,0.102951995330198,0,0
X5534.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.205482135271979,0,0,0.099075448655347,0,-0.0333514470713837,0.0206016991119621,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0.100688518483436,-0.265757392743082,0,0,0.572671886609329,0,0.16850089953138,-0.0445084741417889,0,-0.31276277869472,0,0,0,0,0,0.027814794645517,0.0213085506265951,0,-0.0821906536151403,0,0.000710139987957659,0,0.650686240766427,0,0
X000656.CH.EQUITY,0.0554184926342652,0,0,0,0,0.0644885274052007,0,0.0126956041935361,0,-0.0401089254295428,-0.0749923365135736,0,0,-0.0195092779731904,0,0.00709470959556141,0.00445975520110994,0,0,0,0.0908232362271458,0.0282703967349275,0.0223170233617028,0,0
X2880.TT.EQUITY,0,0.643365300041843,0,0.145366782504117,0,0,0.113450027971781,0.0278016319454983,0,0,0,0,0,0,-0.158618555537926,-0.004794610170214,0,0,0,0,0.0422874740154058,0,0,0,0
X1463.TT.EQUITY,0,-0.379075246429558,0,0,0,1.08622046008243,0,-0.019835841486648,0,0,-0.256770246973483,0,0,0,0.0107052474051153,-2.71050543121376e-20,0.129125284014769,0,0.0220501053536461,0.566773155756768,0,0.736239785195472,0,0,0
X2855.TT.EQUITY,0.186295007831649,0.0438704187526178,0,0,0.0451593281494822,0,0.202725219234667,0.0136712559054894,0,0,-0.0540643327084603,0,0,0.0786086970942347,0,0,0.00843092111620196,0.387958887855045,-0.302395009465238,0,0,0,-0.0101283196169852,0,0
X5.HK.EQUITY,-1.5026624534118,0,0,0,0,1.42386031798124,2.09176507572206,0.588749769945601,0,-1.20888333236912,-1.11537071039734,0,-1.16611431536123,-0.890559953370833,0,0,-0.185894783922552,0,0.86695591376582,0,1.41291574880501,0,0,0,0
