,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X6005.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X2501.TT.EQUITY,X3040.TT.EQUITY,X601108.CH.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X2905.TT.EQUITY,X2855.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X1808.TT.EQUITY,X2505.TT.EQUITY,X000783.CH.EQUITY,X600848.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0.020622819665179,0,0,0.00880800192542022,0,0,0,0,0,0,0,0.0439389175008679,0,0,0,0,0.0399247274299558,0,0,0
X2849.TT.EQUITY,0,0,0,0,0,0.0123346382428947,0,0,0,0.00442175441826734,0,0,0,0,0,-0.0113086538703902,0,0,0,0.0518996543085717,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0.00411677620323297,0,0,0,0,0,0,0,0,0,0.00922118836375271,0.118300044492479,0,0,0,0,0.0206098132657105,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00508667290738292,0.153436216749338,0,0,0.172553570954913,0.132122335047768,0.013506883398575,0,0,0
X2548.TT.EQUITY,0,0.0542076160114396,0,0.0164395616357479,0,0.00806043740744606,0,0,0,0,0,0,0,0,0,-0.00640399729495404,0.0577261595378538,0,0,0.0258390042046908,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0.213573768631639,0,0,0,0,0,0,0,0,0,0,0,-0.000673036549345459,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0.106442714734459,0,-0.00291688652016332,0,0,0,0,0,0,0,0,0,0,0,-0.00682447102311885,0.00708998213523669,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,-0.00412059207820012,0,0,0,-0.00526342340439775,0,0,0.00704989671300709,0.0358066954118578,0,-0.00116902499262429,0,0,0,0,0,-0.00175045136717542,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0.00821967601327703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0.0280857224887614,0.206072681638674,0,0.0231318937156311,0,-0.0250110964474294,0,0,0.0652435715097974,0,0,0,0,0,0,-0.0398912672572137,0,0,0,0.396863220304529,0,0,0,0,0
X601878.CH.EQUITY,0.0609664811486976,0,0,0,0,-0.00645270140118758,0,0,0,-0.0078966862546464,0,0.0666875639607955,0,0,0.101732425958542,-0.00301725435484292,0,0,0,0,-0.0303411288342078,0.0143142119086834,0,0,0
X601377.CH.EQUITY,0,0,0,0.00863186119602915,0,-0.00275297146712148,0,0,0,-0.00325207732552445,0.152015549589408,0,0,0.0440894007018892,0,0.00129103005412454,0,0,0,0,0,0.00184974583722822,0,0,0
X2501.TT.EQUITY,0,0.0601289633986603,0,0,0,0.0316611427011264,0,0,0,0,0,0,0,0,0,-0.00612262361817225,0,0,0,0.274026359357232,0.0552468342330562,0,0,0,0
X3040.TT.EQUITY,0,0,0,0.0186844269512526,0,-0.00143246520779852,0,0,0,0.0117126829958527,0,0,0.124431284319855,0,0,-0.00329287899585684,0,0,0,0,0,0.0540650892167211,0,0,0
X601108.CH.EQUITY,0.101385648377371,0,0,0,0,-0.00466106809914149,0,0,0,-0.00663718392115825,0.158224844766959,0,0,0,0,-0.000310634521276798,0,0,0,0,0,0.00893275395784432,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0.180412489757634,0.00693890971146485,0,0.0103228306746983,0,0,0,0,0,0,0,0,0,-0.0174390625363668,0,0,0.0961757055316929,0,0,0.0212367778592527,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,0.0104527570533681,0,0,0,-0.0113703960739372,0,0,0,0,0,-0.0060361836875272,0,0,0,0,0.0515311997089209,0.0517860525093398,0,0,0
X2855.TT.EQUITY,0.0343119493096001,0.120324077252814,0,0,0,0,0,0,0,0,0,0,0.000291800939337089,0,0,0.012722599881311,0.194051776205689,0,0,0,0,0.0385282822514612,0,0,0
X9940.TT.EQUITY,0,0.261793130780869,0,0.0256503254151644,0,-0.0251010057354785,0,0,0,0,0,0,0.146690245423855,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,-0.00750304175972345,0,0,0,0,0,0,0,0,0,-0.0178731636911123,0,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2505.TT.EQUITY,0,0,0,0.00159253522087632,0,-0.00219337903325015,0,0,0,0.00232314760001155,0,0,0,0,0,-0.00783275549384886,0,0,0,0.0589960689118154,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00190427759934545,0,0,0,0,0,0,0,0,0
