,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0444301995874427,0,0,0,0,0,0,0,0.0192897324793775,0,0,-4.33680868994202e-19,0.0509791321756267,0.127867623936001,0,0.00929118861881011,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.015802510212728,0,0.236924646795441,0,0,0,0,0,0,0,0,0,0,0,0,0.0152218009308567,0,8.67361737988404e-19,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113913057955374,0.0663014363681436,0,0,0,0,0,0,0,0,0,0,0,0.244458485647226,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.025868597274524,0.203150703182548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164418109225916,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.217386549324651,0,0.040728222578895,0,0,0,0,0,0,0.0199675242738626,0,0.0602269154603879,0,0.00776162338428582,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.158998121667307,0,0,0,0,0,0,0,0.0949865509560146,0,0.0682865624870953,0.160028056435333,0,0,0,0,0,0,0.00760679467859705,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.000506393688776489,0,0,0,0,0,0,0,0.0105197822874746,0,0,0,0,0.172046731762448,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0163595946936207,0,0,0,0,0,0,0,0,0,0.0145992176388334,0,0,0.0639967172188251,0.0532812808475779,0.0217928916481699,0,0,0,0,0
X3988.HK.EQUITY,0,0.0286240274289031,0,0,0,0,0,0,0,0.0137538945283938,0,0.0954775158175237,0.00422965044562802,0.0111124709422159,0,0,0,0,0,0,0,0,0,0,0,0,-0.00247181647491411,0.0169755982612842,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0538430848880824,0.0281047957470245,0,0,0,0,0,0,0,0,0,0,0,0.168441428062688,0.160307146919988,0,0,0,0,0
