,X5880.TT.EQUITY,X2892.TT.EQUITY,X2849.TT.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X83.HK.EQUITY,X2548.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X2867.TT.EQUITY,X601108.CH.EQUITY,X2855.TT.EQUITY,X2885.TT.EQUITY,X2501.TT.EQUITY,X9940.TT.EQUITY,X2505.TT.EQUITY,X000656.CH.EQUITY,X1808.TT.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X2820.TT.EQUITY
X5880.TT.EQUITY,0,0.0527771852293165,0.101494157381616,0,0.00729615497372059,0.0143780347790125,0,0.0128551873906754,0,0,0,0.109512363297529,0,0,0,0.0546418764557228,0,0,0.0863862317931734,0,0,0.0386924658236959,0,0,0
X2892.TT.EQUITY,0,0,0,0.0423560934289139,0.0183582279041714,0.0237218531756126,0.308484583838751,0.00527671180912526,0.168010560607613,0,0,0,0,0.0173838782985913,0,0,0,0,0.226588338890129,0,0,0.0177119850878446,0,0,0
X2849.TT.EQUITY,0,0,0,0.787223738997935,0.0812600989800998,0.0251182505568251,0,0.0109973067090277,0,0.570467860878373,0,0,0,0.0182731475813918,0,0.142667499766456,-0.168740533591678,-0.148758770760053,0.436838109182314,0,0,-0.0472017046170015,0,0,0
X5534.TT.EQUITY,0,0.0413290098070845,0,0,0.00251977096998783,-0.00452431625714378,0,0.0113359856007202,0.274580192173021,0,0,0,0,0.0186120310415806,0,0,0.054834827139942,0.0483861618317025,0.0622988971506573,0,0,0.040906504600842,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0.242049870931127,0,0,0,0,0,0.996922498268091,0,-0.0868209088233704,0,-0.848048790153161,0,0,-0.447399793503625,0,0,0.263292718538179,0,0,-2.62702169571107
X5.HK.EQUITY,0,0,0.344187895477145,0,0,0,0,0.0177319477669977,0,0,0,0,0,0,0,0,0,0,0.387833774859829,0,0,0,0,0,0
X2880.TT.EQUITY,0,0.504510162016057,-0.0674408506295928,0,0.0265887611936464,0,0,0.00624590526530807,0,0.0882918194837124,0,0,0,-0.00243590474426055,0,0,0.0339708618226367,0.0555083144905996,0,0,0,0.057141366935001,0,0,0
X83.HK.EQUITY,0,0,0,0,-0.351530723171428,0.95574722519829,0,0,0,0,0,0,0,0.211476397203448,0,1.97954295214288,0,1.53902272776507,-4.66630694573282,0,-3.27785447393173,0,0,0,0
X2548.TT.EQUITY,0,0,0,0.445788074393403,-0.0249148488299775,0.0563771343070454,0,-0.0150569246179068,0,-0.315711033949866,0,0,0,-0.0133856907472848,0,-0.0273325065385635,0,0,-0.0293225290074082,0.600276783069015,0,0.0322033185934329,0,0,0
X601878.CH.EQUITY,0,0,0,0,-0.00983066879840058,0,0.00795711009405658,0.00336037531914448,0,0,0.460788853586228,0,0,-2.16840434497101e-19,0.287321284363851,0,0.0182206926458883,0.00931631525790465,0,0,0,-0.0215074336461905,0,0,0
X601377.CH.EQUITY,0,0.0235858944339834,0,0,0,0.00772145578435332,0.0389990753650814,0.00304890666406439,0,0,0,0.0681447048734488,0,0.00354481353071938,0,0,0,0.0444143695273067,0,0,0,0.0362670252774437,0,0.402847638534379,0
X3040.TT.EQUITY,0,0,0,0,-0.00916127968796038,0,0.193676467945292,-0.00512907219875647,0,0,0,0,0,-0.0137756095128,0,0,0.217182601472612,0.100232221842254,-0.182665893089949,0,0,0.119763958810652,0,0,0
X2905.TT.EQUITY,0,0,0,0,-0.000785027836208031,-0.00321921258416835,0.0619549926087101,0.0140279855240604,0,0,0,0,0,0.00756078930916581,0,0.0856828090655509,0.177674262196232,0.0749245455430704,0,0,0,0.00226714986050899,0,0,0
