,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0.0155165477962553,0,0,0,0,0,0,0,0,0,0.00841566866748307,0,0,0,0,0,0.0938012374785746,0.0723895095404704,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.236271760798148,0.123082037910471,0,0,0.0132115659272104,0,0.0856829556977663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00602792043388284,0,-4.33680868994202e-19,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0302727454693718,0.109428063825051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119629474181907,0,0.176933559714199,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.207253350946562,0.0143026709427805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0940242730813741,0,0,0,0,0,0,0,0,0,0,0,0,0.0983379815527272,0.0353400188450687,0,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0.0718306636616258,0,0,0.0424318835125923,0,0,0.0322596899521224,0,0,0,0,0,0,0,0,0,0,0.0802621716151605,0,0,-0.0248404144941902,0,0.0151195298767709,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.262405986764483,0,0,0,0,0.135448770081014,0,0,0,0.0718834311699434,0,0,0,0,0,0,0,0,0,0,0,0.117212383946613,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.0803792584266354,0,0,0,0,0,0,0,0,0.324340071394226,0,0,0,0,0,0,0.328395807428496,0,0.257368989804414,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204210140445626,0,0,0,0,0,0.0183715540678874,0.166141938597843,6.93889390390723e-18,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0859961124578792,0.0758101103052996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182645524303377,0.148871433075014,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0419381277026651,0,0,0,0,0,0,0,0,0.0140552668931137,0,0,0,0,0,0,0.0363122566368391,0.047673780930295,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0.123069991936973,0,0,0,0,0,0,0.00122791778348942,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270878551616162,0,0.011819912472743,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.172014242750187,0,0,0.0213065914185184,0,0,0,0.186177255203583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247563332477497,0
X5.HK.EQUITY,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.396014978334199,0,0,0,0.0751622254693877,0,0,0,0,0,0,0,0,0,0,0.00491248024137787,0.120750043511273,0
X388.HK.EQUITY,0,0,0,0,0,0,0.183345187004074,0.0677944856306742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0842171664493584,0.205280352347341,-4.3324006881445e-05,0.0932136901820558,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.209590448335782,0,0,0,0,0,0,0,0,0.349116763231464,0,0,0,0,0,0.041538567227178,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672011557194149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
