,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.31577704787661,0,0,0,0,0,0,0,0,0,0,0,0.109484473068753,0,0,0,0.0312131301014925,0.00918453271709516,0.121164492051132,0,0,0,-0.00412590140095397,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.674147172894791,0,0,0,0,0,0,0,0,0,0,0.0844181206251437,0.0231151436653126,0,0.0412803320948528,0,0,-0.0210807235792972,0,0,0,0.00762965188873833,0,0.0082746972425104,0
X601318.CH.EQUITY,0,0,0,0.272740521400232,0,0,0,0,0,0,0.0417813415368041,0,0.159199591549342,0,0,0,0.113402815074911,0,0,0.0174264290241663,0,0.163717589945467,0.16788263455309,0.0510680745943869,0,0,-0.0316680376291814,0,0,0
X2318.HK.EQUITY,0,0,0.472378227815611,0,0,0,0,0,0,0,0,0,0.0257103569194157,0.0354297293665871,0.0226047871324472,0,0,0,0,-0.0147626047235503,0,0.138896292566226,0,0,0,0.0468015079041105,0,0,0,-0.0276028896845297
X601939.CH.EQUITY,0,0,0,0,0,0.0404081988490705,0.528159551828514,0,0,0,0,0,0.0192224732527588,0,0,0,0.275111408352471,0,0,0.0418474988708326,0,0.0418774900236087,0,0,0,-0.0122516032938155,0,0,0.0340086033470475,0
X939.HK.EQUITY,0,0.698479464020776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328896960701771,0,0,-0.0518562416799264,0,0,0,0.10849886912364,0.013203255514438,0,0.0113251240759757,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.311833914819557,0,0,0,0,0,0,0,0.000353186424231955,0,0,0.07676496681305,0.0527479230975176,0,0,0.00985708381870589,0,0.0701205412969289,0,0,0,0,-0.014415440996594,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0675758571683341,0,0.00494039595902538,0.200558211596129,0,0,0.0380035550322302,0,0,0,0,0,0,0.222404205629756,0,0.00924893392075354,0.0400980353230963,0,0
X3988.HK.EQUITY,0,0,0,0.147779083157498,0,0.263853376372524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947567993275511,0,0,-0.0114750170309908,0.182539825530075,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.222210164090456,0.156013891605236,0,0,0,0,0,0,0.0705203140577736,0,0.0454511525646515,0,0,0.0391158718999746,0,0.0145386795443772,0,0.0804139120624167,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632528215491682,0.00444314999053471,0,-0.335497713527871,0.0165176981446906,0.120220114366242,0.0207243428462998,0.271555359279583,0,0,0,0.0253798907359234,0,0.141707824450105,0
X1299.HK.EQUITY,0,0,0.0847560905703014,0.0344716385888352,0,0,0,0,0,0,0,0,0,0,0,0,0.0374905401440149,0.172751215348283,0.110725706899099,0,0.141907234037574,0,0,0.239977353351992,0,0,0,0,0,-0.298345673331774
X601628.CH.EQUITY,0,0,0.0928081434696811,0,1.73472347597681e-18,0,0.329777459369812,0,0,0,0.136835062533223,0,0,0.133309593667709,0,0.0954327417313172,0,0,0,0.156632730227547,0,0,0.462868760062598,0,0,-0.152729514690136,-0.0497240920899633,0.165137572299499,0,0.0754265875195368
X2628.HK.EQUITY,0,0,0.267813492436619,0,0,0,0,0,0,0,0,0,0.262151824775254,0,0,0,0,0,0,-0.0448124915555432,0,0,0,0,0,0,-0.046617554957397,0.0726689478396467,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.290989942267888,0,0,0,0,0,0.0809227513611486,0.0691158115194768,0.112591955071413,0,0,0,0,0,-0.0166751676831206,0,0,0,0,0.037810560492829,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.400217689395754,0,0,0,0,0,0,0,0.153206305876548,0,0,0,0.00344784658376222,0,0,0,0,0.0940338450586964,0,0,0,0.0163158043132367,-0.0185043722038563,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.484735573372254,0,0,0,0,0,0.167702364972584,0,0,0,0,0,0,0.324731942059282,0,0,0,0.0571392938492942,0,0,0,-0.0211347216184845,-0.00215596545529359,0,0,0
X600000.CH.EQUITY,0,0,0.0365304242168553,0,0,0,0,0,0,0,0.124181175840159,0,0,0,0,0,0.513996629003683,0,0,0,0,0,0,0.120423519218193,0,0,-0.00204458877450218,0,0,0
X11.HK.EQUITY,0,0,0,0.420973259665165,0,0,0,0,0,0,-0.0952781183646972,0,0,0.0130422190282413,0.0492147735739493,0,0,0,0,0.0446364821615261,0.0724022527961387,0.0914168337326214,3.46944695195361e-18,0,0,0,-0.00429457931957192,0,-0.0446296702055621,0
X601319.CH.EQUITY,0,0.367389039014722,-0.914150894487653,0,0,0,0,0,0,0,0,-0.818762340171325,0,0,0,0.391696634283793,0,0.643839509653188,0,0,0,1.14202153628831,0.71838021242307,0,-1.4507873325899,0,0.0288056916781647,0.255030705388469,0,0.563736720187248
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.221283424280781,0,0,0,0,0,-0.160092403520226,0,-0.0196551988424199,0,0.128002522557776,-0.000118020552313615,0,0,0,0.0123518803872251,0.113139562233072,0,0.15924404737213
X000002.CH.EQUITY,0,0,0.331184654573249,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.399719653602804,0,0,0,0,0,-8.67361737988404e-19,0.3998228042948,0,0,0,0,-0.2144002942539,0,-0.0156816642277741,0,-0.241554396155494
X601601.CH.EQUITY,0,0,0.214704075288391,0,0,0,0,0,0,0,0,0,0.177450020637437,0,0,0,0.14874651379942,0,0,0,0,0.0579731663363748,0,0,0,0,-0.000145494251841766,0,0,0
X2388.HK.EQUITY,0,0,0,0.264645142984688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521350770775387,0,-0.0130986809201144,0,-0.0479114166310654,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.255533143779027,0.0873643319365397,0.349038817918986,0,0,0,0,0,0.018341311894972,0,0,0,0.207960857008257,0,0,-0.0257834733931963,0,-0.0537552405916957,0
FXI.US.EQUITY,0,0.425640061809819,0,0,0,0,0,0,0,0,0,0,-0.287902598964143,0,0,0,0,0,0,0.0230569006348878,0,0,0,0,0,0,-0.242560703244057,0,0.0739137141176856,0
VXFXI.INDEX,0,1.16812776176006,-0.0758789266356335,0,0,0,0,0,0,0,0,-0.305792204045333,0,0,0,0,0,0,0,-0.0399588453265066,0,0,0,0,-2.10206195039364,-3.62078678435517,0,0,0,1.05602001032422
CN10YR,0,0,0,0,0,0,0,0,0,0,1.19114988130598e-06,0,2.52176863072113e-07,0,0,0,0,0,0,9.57078964618351e-07,0,0,0,0,0,0,-2.86137054437529e-07,0,0.999986305069383,0.999988231110202
CN2YR,0,0,0,0,0,0,0,0,0,9.99666183452871e-07,0,0,3.82698992377621e-07,0,0,0,0,-2.64263588590128e-06,0,0,0,-1.48156964378493e-06,0,0,0,2.56532781677884e-06,1.11408044269992e-06,1.00000068010729,0,-0.999997946214258
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23564535454106e-06,0,-2.43812263322771e-06,0,0,0,0,3.29835492140367e-07,0.999996970346998,-0.999996541552006,0
