,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,-0.00201488984090251,0,0,0.00124431172730041,0.0409636464320196,0,0,0,0.0730583618984528,0.122998096464065,0,0,0.050497314689289
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0.0494605148412388,0.174393054381309,0,0,0,0,0,0.0267693225568293,0.0521000464086168,0,0
X939.HK.Equity,0,0,0,0,0.15414008525969,0.210359807322398,0,0,0,0.0374197742358048,0,0,0,0
X2628.HK.Equity,0,0,0,0,0,0.592016140256107,0,0,0,0.30940450064524,0,0,0,0
X3328.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.Equity,0,0,0,0,0.0392236697440082,0.0131423518721184,0,0,0,0.033712956490393,0.0321729020664905,0,0,0.0229910979150717
X2388.HK.Equity,0.157548434786493,-0.0288257441403853,0,0,0,0.150304154403293,0,0,0,0.0225421644799873,0.0824228179093435,0.119289301099431,0,0
X2318.HK.Equity,0,0,0,0,0.447366465214553,0,0,0,0,0,0.0665436593583182,0,0,0
X2882.TT.Equity,0.56717128451298,0.0101787869933061,0,0,0,0.228336570304434,0,0,0,0.0674331056505691,0,0,0,0
X600036.CH.Equity,0,0,0,0,-0.187047367601079,0,0,0,0.487999896237939,0.238181716401011,-0.160642003395792,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0542475839496032,-0.274301780592281,0.283631474090824,-0.0778362142027104,0.232227024855606,0,0,0,0.373314681968847,0.0880763598606776,0.138211926808444,0,0
