,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188305287832555,0,0,0.110404247390672,0.047093650711462,0,0,0.00655519177277573,0,0,0.0621801574443444,0,0,0.0051952648564264,0.0190269060970653,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.219214098266869,0,0,0.0772615295631582,0,0,0,0,0.121273121026983,0,0.0521625404767514,0,0,0,-0.00116087199027274,0.0839476900317763,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0701239856599041,0.00719871811408729,0,0,0,0.321820916915485,0,0,0,0,0,0.0712375551041405,0,0,0.0160376216987677,0.0410267116743817,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.113890539721484,0,0,0.201656476755558,0,0,0,0,0,0,0.048146361102825,0.0671896803320526,0,0,-0.00645972483453162,0.142070807454856,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.295428072447205,0,0,0,0,0,0.0552500882453843,0,0.0596723463591512,0.0646616604983809,0,0.10021559014671,0.12279699350457,0,0,0.0158596761465326,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.119172617256495,0.209128151163258,0,0,0,0,0,0,0.0147816624444793,0,0.165830235961363,0.106504824937106,0.0511630727756273,0,0.00539374602602775,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145172252154446,0,0,0,0.0622398737277157,0,0,3.3881317890172e-21,0,0.0574068413556043,0.0544135348371583,0,0,0.000967087156704255,0.0277661854472695,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0906404633980578,0.0751595746590016,0,0,0,0.332813493712469,0,0,0,0,0.152671735504005,0,0.00842399141613821,0.0558467113767137,0,0,-0.00388283585249829,0.0157249150635459,0.00686085597551052,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119756550920477,0,0.111538535203257,0,0,0,0,0.0591080281607503,0,0,0,0.0915212706849287,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.114926569886741,0,0,0,0.19442520295142,0,0.0609793574156754,0,0.0202647377850847,0,0,0.0299777350564026,0.209807164764073,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.124909151525763,0,0,0,0,0,0,0,0.369685971344292,0.0392273396613729,0,0,0,0,0,0,0.296228680551072,0.0166574959706626,0,0,0,0,-0.0119834375249022,0,0.000735073121689709,0
