,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.00368322850287742,0,0.0799686268476742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588425951688716,0.0464455011096089,0.0436675593684887,-0.00712987443939461,0,-0.0116974046983344,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.659036936787845,0,0,0,0,0,0,0,0,0,-0.102017861133621,0,0,0,0,0,0.220205083939693,0,0,0,0,0,0,-0.0105945503189486,0,0.00235721936855316,-0.0517942829865836
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0242029308691371,0,0,0,0,0,0.0503552522506393,-0.110004469032351,0,0,0,0.0263157887335723,0,0,0,0.228889119091001,0,0,0,0,-0.0787727769568628,0.00412563752066861,0.0133743650322022,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0115888831948435,0,0,0,0,0,0.1513137804741,0,-0.0231842987352439,0,0,0.138088466782531,0,0,0,0,0.213706548084058,0,0.197723726915267,0,0,-0.0668107135786107,0,-0.0166533892418949,0
X939.HK.EQUITY,0,0.655750055007772,0,0,0,0,0.0211531087996759,0,0,0,0,0,0,0,0,0,0,0.0737023582488422,0,0,0,0,0,0,0,4.23363075305826e-05,0,0.0158519161267258,-0.00210044056366037,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.24051111978096,0,0,0,0,0,0,0,0,0,0.0761477559430262,0.12044361501368,0.0678135861738824,0,0.0497286997494527,0,-0.0341186530207523,0.00782375563552225,0,0.0558583177051576
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.211789203202325,0,0.00944510719906643,0,0,0,0,0,0,0.208761256936049,0,0,0,0,0.147319391223689,0.276726258266167,0,0,0,0,-0.132086868488825,0,-0.120366962098014,0
X2628.HK.EQUITY,-0.400477529150184,0,0.359743176782001,0,0,0,0.103213950289849,0,0,-0.165717123754458,0,6.93889390390723e-18,0.337862816618462,0,0.0978797214445534,0,0.0232996687335119,0,0,0,0,0,0.489853276129695,0,0,-0.0456460052792952,0,-0.0700415834612887,0.0187076455397215,0,-0.0737825020145615
X601288.CH.EQUITY,0,0,0,0.0487131236540042,0,0.0632556590904103,0,0,0,0,0,0,0,0,-0.00681031795832566,0,0,0.00277687901397002,0.00885081794347488,0,0,0,0.151942193097043,0,0.00445831185802433,0,0,0,0,-0.0088886377116336,0
X600036.CH.EQUITY,0,0.019936041934156,0,0.196918401547613,0,0,0.146772370712221,0,0,0,0,0,0,0.0456751859385287,0,0,0,0.246429079039111,0.0273541107276799,0,0.0677548009274972,0,0,0.0415950918401826,0,-0.00974459955763175,0,0,0.0136604157835299,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0516109931328007,0,0.205144228269521,0,0,0,0,0,0,0,0,0,0,0,0,0.0461369616162784,0,0.0904997867903182,0,0,0.0190518377843152,0.00882482052022427,-0.0181264119267199,0
X3988.HK.EQUITY,0,0.231737623251538,0,0,0,0,0.031866104862147,0.0140348166770847,0,0,0,0,0,0.0465913027336087,0.0463448836306898,0,0,0.0577061199595447,0,0,0,0,0,0,0,0.0247004624176618,0,0,-0.0063372059079389,0,0
X1299.HK.EQUITY,0,0,0,0,0.185000964993249,0,0,0,0,0,0,0,0,0.0237726111511232,0.471074626059942,0,0,0,0,0,0,0.163885595957257,0,0,0,0,0,0.0684703732677956,0,-0.000714460658472668,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.601613135640423,0,0,0,0,0.231487827848222,0,0,0,0,0,0,0,0.196142041918578,0,-0.307113512212582,0,0,0,0,-0.135380884338915,-0.0348266588628784,0.0333991046204469,-0.094326884431837
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164870619294655,0,0,0.381180472674237,-0.188858752469073,0,0,0,-0.13862963016187,0,0,0,0.0670863049671173,0.65848577697486,0.0278762328009463,-0.0157347799252001,0,-0.177874094777052
X601166.CH.EQUITY,0,0,0,0,0,0,-0.0239878509189898,0,0,0,0,0,0,0,0,0,0,0.220900464797758,0,0,0,0.0429148369570515,0,0,0.33732982186673,-0.0302363158773018,0,-0.0264179263341965,0.00824571422764332,0,0.00709195893859859
X600030.CH.EQUITY,0,0,0,0,0,0,0.0913852433309573,0.113826038356865,0,0,0,0,0,-0.0413548031066395,0.276710714660118,0,0,0.0324317611535561,0,0,0,0.544772007300231,0,0,0.158825540656946,0,0,-0.0283914454741828,-0.0318100164661068,0.0151663306707978,-0.104608692805657
X000001.CH.EQUITY,0,0,0,0,0,0,0.136720950761692,0,0,0.624537196749534,0,0,0,0,0,0,0,0,0,0,0,0,0.0935254938135522,0.0166221090055728,0,0.0556737852815268,0,-0.0629629229453218,0.0213594532133796,0,-0.0642842589767051
X000002.CH.EQUITY,0,0,0,0,0,0,-0.118302226641925,0,0,0,0,0,0,0.170094048248191,0.0863386687847962,0,0,0.0487367068181315,0,0,0,0,0,0,0,-0.00458621879812774,0,-0.000908282814332717,-0.01651144929825,-8.67361737988404e-19,0
X601328.CH.EQUITY,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0554000798665374,0.0347229872088657,0,0,0,0,0.0242868193164725,0.0560938673827561,0.124499177894803,0.00562948800540118,0,-0.019358348335443,-0.00353289897181631,0,0
X3328.HK.EQUITY,0,0,0,0,0.475133008346265,0,0,0,0,0.242221246771269,0,0,0,0.0813659264751124,0,0,-0.0218194701307515,0,0,0,0,0,0,0,-0.0926670450175242,0,0,-0.0847890591962934,0.0235720595026989,0.0180429926276246,0
X601066.CH.EQUITY,0,0,0,0,0.10341103502316,0,0.0327038177324984,0,0,0,0,0,0.174122664706383,0,0,0,1.01985132194289,0,0.229587977389203,0,0,0,-0.234749497314708,0,-0.0430886535439489,0,0,0,0,-0.0381012859510085,0.0278351168440869
X601601.CH.EQUITY,0,0,0.0179039082304873,0.635185810167612,0,0,0.215877171535755,0,0,0,0,0,0,0,-0.186228209577542,0.095144233673702,0,0,0,0,0,0.022455764804078,0,0,0.125853346564418,0,0,-0.0172453785041085,0.0264226645440158,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.0223738454265466,0,0,0.27727840069233,0,0,0,0,0,0,0.116442772439235,0.10435972875188,0,0,0,0,0,0,0,0,0,0,-0.0391551009353681,0.0216556918745966,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0556869962223441,0,0,0,0,0,0,0,0,0.104714253938483,0.242188673448681,0,0,0,0,0.12864544183714,0,0,0,0,0.00122688801362426,0,-0.0380376497764325,-0.0437951624811821
CGB3M,0,0,0,0,0,0,0.143166965021894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.907392691151722,-0.854204191885651
