,X2849.TT.EQUITY,X2892.TT.EQUITY,X5.HK.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X6005.TT.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X601878.CH.EQUITY,X2867.TT.EQUITY,X2548.TT.EQUITY,X2501.TT.EQUITY,X2905.TT.EQUITY,X3040.TT.EQUITY,X2885.TT.EQUITY,X000656.CH.EQUITY,X601162.CH.EQUITY,X9940.TT.EQUITY,X2855.TT.EQUITY,X000783.CH.EQUITY,X1903.TT.EQUITY,X600848.CH.EQUITY,X1463.TT.EQUITY,X5876.TT.EQUITY
X2849.TT.EQUITY,0,0.256145682586946,0,0.320191114189155,0,0.00113183926741094,0.018648949117044,0,0,0,-0.00863699994790244,0,0,0,0,0.17848993341431,0,0,0,0.101970857546737,0,-0.0948621399902748,0,0,0.135789529211307
X2892.TT.EQUITY,0.0274745236184014,0,0,0.373723470473528,0,0.0153951734262117,0.0159209568856936,0,0,0,0,0,0,0,0.197308504698169,0.129743274339137,0,0,0.105870911093421,0,0,0,0,0,0.181308078723799
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0.119369459607767,0.0992345746925365,0,0,0,0.0106752245615982,0,0,0.199262194905065,0,0.00401727725272655,0.0481172947782879,0,0,-0.0138733088633074,0.0681561168087955,0,0,0.0434707706627284,0,0,0.0534542907810772,0,0.0208345404597213,0.0903780575864628
X5534.TT.EQUITY,0.174881313244844,0.103491267371883,-0.00278804147445269,0,0,0.00622737780025249,-0.00431037275993453,0,0,0,0.0189848560177656,0.18975064465854,0,0,0.0281931312200352,0.0371261410418212,0,0,0.0357555682002539,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0.948316278292207,0,0,0,-0.473112440585616,0,0,0,0.204514721448908,0,1.99152589741935,0,0.12862169464593,0,-2.41315597245981,0,-4.68280075431177,1.42503433510694,0,0,0,0,0
X6005.TT.EQUITY,4.21872631442516,-0.0338462961018436,0,0,0,0,0,0,0,0,-0.352812543460931,0,2.54031832078139,0,2.44607080930541,-5.19378061513746,0,0,0,-3.40086763392457,0,0,0,0,0
X601377.CH.EQUITY,0,0,0.0106412688100194,0,0,0,-0.00138107894394335,0,0.0304667658744767,0,-0.00369005510373666,0,0.00521645958399631,0,0.0386492801838716,-0.0211358071383243,0,0.41851505581265,0,0,0,0,0,0.0388481820551745,0
X2880.TT.EQUITY,0,0.220022818623576,0,0.136090229849228,0,0.0192232938889685,0.0012250246178123,0,0,0,0.013927114330785,0,-3.46944695195361e-18,0.0508267919144139,0,0,0,0,0,0.197748387431721,0,0.0648723749520225,0,0,0.361089288993971
X601878.CH.EQUITY,-0.126553430114741,0,0,0,-0.0334772790019357,-0.000337427362088286,-0.00453890832422956,0,0.0214248789927412,0,-0.00642201866144142,0,0.0725208413013311,0,0.006884746664169,-0.00376992402606907,0,0,-0.0218140102802588,0,0,0.0149518928686955,0,0,0.128250632621394
X2867.TT.EQUITY,0,2.30390020677193,0,8.81152352385301,1.83008189769787,0.449316276418247,0,-15.3185058873185,-3.91545055445994,0,0,0,0,-0.0606181061722655,0.541788866568797,0,0,0,2.84667671841191,0,0,-0.283336474130799,0,-7.38054366924931,0
X2548.TT.EQUITY,0.233456096418761,0.0243581242196394,0.062449934203987,0.210529961068109,0.509372019463132,-0.0332193764985034,-0.0293175994032407,0,0,0,-0.00876515506941954,0,0,0,0.0859846139449834,-0.0320794514003016,0,0,-0.0695954757718889,0,0,0,0,0,-0.22641104512486
X2501.TT.EQUITY,0,0,0,0,0,-0.0167263020277717,0,0,0,0,-0.0299555721828696,0,0,0,0,0.725983540781061,0,0,0.0984488918786221,0,0,0,0,0,0
X2905.TT.EQUITY,0.0425624922075859,0,-0.000757479563664687,0,0,0.00922247671002805,-0.00191391455214937,0,0.11716721114472,0,0.0064790566812085,0,0.0512330087437577,0,0,0,0,0,0,0.216910377848054,0,0,0,0,0
X3040.TT.EQUITY,0.195169648167962,0.302906523209121,0,0,-0.172442519195261,0,0.0705106270859926,0,-0.16494048565738,0,-0.011442207086091,0,0.00562218117326236,0,0,0,0,0,0,0,0,0.175317356415872,0,0,0
X2885.TT.EQUITY,0,0.266803520691253,0.0330394137363738,0,0,0.0191318216760025,0,0,0,0,-0.0506895405587779,0.0562148900942049,0,-0.204458009493782,0,0,0,0,0.312037732041043,0.509517254968453,0,0,0,0,0
X000656.CH.EQUITY,0.0303348902404663,0,0,0,0,-6.3425923298497e-06,-0.0143898020344506,0,0,0,0.00197934772829167,0,0,0.0893421410709823,0.0240636419897441,-0.0402383463923574,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,-0.0186560141139857,0.00835258144835578,0,0,0.000883148303097595,-0.0110764760709139,0.150953892984094,0,0,-0.00471752921582021,0,0.057652658783687,0.00400097708301887,0.0163738114566509,0,0,0,-0.0484917833499483,0,0,-0.047311615683047,0,0,0.0720589171974412
X9940.TT.EQUITY,0,0,0.0398703975218985,0,0,-0.0626035781660233,0.00987593594472977,0,0,0,0.0349511484468151,0,0.304616525501046,0,-0.025989535296463,0.319376879900462,0,0,0,0,0,0,0,0,0.291789451550833
X2855.TT.EQUITY,0,0,0.0238416291730582,0,0.268066991645294,0.0228206391784143,0,0,0,0,-0.00205810687013937,0.0572382135183096,0,0,0.0344217338041468,0.374234164862151,0,0,0.0256977176041502,0,0,0.0896511246252957,0,0.0730258865768896,0
X000783.CH.EQUITY,0,0,0,-0.0387996343780299,0,-0.00142943578714898,-0.00550687204378894,0,-0.0192037273702953,0,0.000656318684030844,0,0.0204526707578198,0,8.67361737988404e-19,0.0414389814802258,0.148996782092969,0,-0.0052473716162792,0,0,0.0496292239222002,0,0.0270761884917684,0.0465694907735271
X1903.TT.EQUITY,0,0.0337288356901254,0.0176959682789376,0,0.16281937606942,-0.00748922119587453,0.00770564838164696,0,0,0,-0.00813045667443995,0,0,0,0,-0.167709710407095,0,0,0.145073569279849,0,0,0,0,0,0
X600848.CH.EQUITY,0,-0.00367696177987325,0.0142967444979764,0,0,-0.00301946836633671,0.00761133569780943,0,0,0,0,0.0073100335188652,0.0383628472568654,0,0.003138569113668,-0.0143089170669209,0,0.0638395018338963,-0.00644809525442705,-0.0178474589549395,0,0,0,0,0.0244160380537549
X1463.TT.EQUITY,0,0.148876909070552,-0.000166993399908815,0,0,0.00849150708754968,0.0330112644866562,0,0,0,0,0.0571143616343382,0,0,-0.056293409880866,0.0216788098397789,-0.492758452748978,0,0.16861657746785,0.0345932377183947,0,-0.12183663454369,0,0,0.291769068007272
X5876.TT.EQUITY,0,0,0,0,0,0.0194373846509085,-0.0307696514687023,0,1.09515543530894,0.490847094870943,-0.00600836850255496,-0.378884943222515,0,0,0.07963712921913,0.0711557027731222,0,0,-0.303773845051991,0,0,0,0,0,0
