,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.0295376057114291,0.163407465260393,0,0,0,0,0,0,-0.0776255769176616,0,0,0,0,0.358551605736632,0,0,0,0,0,0,0,0,0,0,0.0214976313422179,0,0.0040045994032542
X1398.HK.EQUITY,0,0,0,0,0.477356532545229,0.00546418712635128,0,0,0.146641573573569,0,0,0,0,0,0,0,0,0,0,0,0.130089137960067,0,0.033768831384658,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,-0.17015455441559,0,0,0.426341778848536,0,0,0,0,0,0,0,0,0,0,0,0.0184452659889038,0,0,0,0,0,0,0,0,0.317020375041417,-0.00478084966597838,0,-0.000307236224893028,-0.0174043339880127,0,0
X601318.CH.EQUITY,0,0,0.235175574592282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869544596232865,0.235456324935022,0.0891711846972812,0.141339272656311,0,-0.0427655206500405,0,0,0.021064677758842,0,0.0259141627734557,-0.0026495262306736,0,-0.081924134378136
X939.HK.EQUITY,0,0.137329047305361,0,0,0,0,0,0,0,0,0,0,0,0.170956065686408,0,0.078766174182051,0,0,0,0.0878487131813858,0,0,0.124316535668124,0,0,0,0,0.00233091835837727,0.00142697294666569,0,0.0101681774957347
X601939.CH.EQUITY,0.0414899308689003,0,0,0,0,0,0,0,0,0,0,0,0.0599602863493301,0,0,0,0,0,0.0431358747311394,0.125582475822541,0,0,0.0554863857753017,0,0,-1.73472347597681e-18,0,0,-0.016845924907242,-0.0156930193996234,0
X601288.CH.EQUITY,0.107762045244094,0,0,0,0,0.300903980194117,0,0.0358732301333187,0,0,0,0,0,0,0,0,0,0,0.201071945066933,0,0,0,0.0139104906309042,0,0,-0.0280570584654954,0,-0.00784586906277319,-0.000540206193311989,0,0
X5.HK.EQUITY,0,0,0,-0.273088924656631,0,0,0,0,0,0,0.667469434035275,0,0,-0.0638185005216227,0,0,0,0,0,-0.0687297739871154,0,0.21566393378543,0,0.18579112202787,-0.0379954591729107,0.0695799757823377,-0.0733369300463248,-0.00679245185686957,0,0,0
X3988.HK.EQUITY,0,0.351713429560385,0,0,0.0214273966129879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249238697610161,0.0750902646313432,0,0,0,0,0.000234622086476605,-0.0113502117254624,0.0489260718944171,0
X601988.CH.EQUITY,0.154784800202112,0,0,0,0.14253925398059,0.170628549614532,0,0,0,0,0,0.0434535694140926,0.0060873602712157,0,0.0711474363032133,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0
