,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0.11614832735902,0.237460902601752,0,0,0,0,0,0,0.375206274072737,0,0,-0.0185318614353795,0,0,0.528802299051508,0,-0.240636797698085,0,0,-0.00146505499635713,0,0.173816748900627,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.0656652668970397,0,0,0,0,0,0.016590806526309,0,0,0,0,0,0,0.191748317809142,0.103799441924755,0,-0.106702800603189,-0.0538750580226674,0,0,0,0,0,0,0.149107278522573,0
X601318.CH.EQUITY,0,0,0,0.315187587764598,0,0,0,0,0,0,0.230225457747445,0.0924289586052627,0.102231862282017,0,1.73472347597681e-18,0,0,0.042451630733897,0,0.0204549247663094,-0.129868461493171,0,0,0,0.0989015916135763,0.0461725032249979,0.0141921205503637,0,0,0
X2318.HK.EQUITY,0,0,0.175444340182328,0,0,0,0,0,0,0,0,0.246346854782807,0,0.0987054430463828,0.0721974360949918,0,0,0,0,0,0.0505019527520417,0,0,0.0184198331763277,0.0719953675184321,0,0.0117593417947887,0,0.041942100684584,0
X939.HK.EQUITY,0.00696595231865733,0,0,0,0,0,0,0,0,0,0,0,0,0.241310696802691,0,0,0,0,0,0,0.101880195468748,0,0,0,0.0916544638191538,0,0.00836194770007077,0.0717438790546391,0.00418605786708319,0
X601939.CH.EQUITY,0,0.151118072880064,0,0.075731063772099,0,0,0,0,0.451914976777266,0,0.0938916892465674,0,0.109863400885566,0.110699641040109,0,0,0,0,0,0,0.0423993918502575,0,0.0515688987970741,0,-0.112066140250826,0.0455915967421437,0.017364208251937,0,0,0
X601288.CH.EQUITY,0,0,0,-0.291718249966828,0,0,0,0,0,0,0,-0.122466075701005,0.0368696819534108,0,1.0842021724855e-19,0,0.32276287125814,0.168676287906363,0,0,0,0,-0.0408057215577317,0,0,0,0,0,0.185914126838187,0
X5.HK.EQUITY,0.111993208662379,0,-0.235377375801428,0,0,0,0,0,0,0,0,0.135289715476475,0,0,0,0,0,0.147164356177201,0,0,0,0.386993513612287,0,0.0889747844381119,0,0,0.00857329948191458,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0931593138530347,0,0,0.0776220599886907,0,0,0.046491331669217,0,0,0,0.0310439825718005,0,0.0813947295904124,0.0536541125491368,0,0,0.00177887219634363,0,0,0.0106224444918542
X3988.HK.EQUITY,0.0505063929546484,0,0,0,0,0,0,0,0,0,0,0.0783314510864854,0,0.134974403371639,0,0,0,0,0,0,0.0754256301686008,0.140599245856199,0.0101388362475659,0,0.0445281901537601,0,0.00130706773168356,0,0,0
X600036.CH.EQUITY,0,0,0.725149244147902,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.297531832195043,0,0,0,-0.204888467804088,0.161570326538792,0.118084806856695,0.0184487761991239,0,0.00318776765114841,0,0.017711255304037,0,0,-0.0604010604901515
X1299.HK.EQUITY,0.0573065766393347,0,0,0,0,0,0,0.190191127911613,0,0,0,0,0.0824093658526122,0,0,0,0,0,-0.053009818461544,0.0641759473186929,0.322479877588048,0,0,0.0174842744908352,0.243448717671058,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286770785740923,0.0808811294698365,0,0.275732924927412,0,0,0,0,0.326466344113492,0,0,-0.0370170692228224,0,0
