,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0.00344091835649829,0.0345217170380843,0,0.278559612121875,0,0.0787480485602985,0,0,-0.182870927790471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010304026697716,0.00167903629303417,0
X1398.HK.EQUITY,0,0,0,0,0,0.460445898179958,0,0.0629736611201556,0,0,0,0,0,0,-0.0679310300407497,0,0,0,0,0,0,0,0,0.0122484037281948,0,0,0.224913590712327,-0.00851356188500608,0.00492455618789378,0.033824419103404,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143112355574846,0,0,0.0291838817163617,0,0,0,0,0,0,0.365423780462235,0.0116367107616463,0,-0.00198914680905085,0.00381857102945711,0,0
X2318.HK.EQUITY,0,0.0234171660126902,0,0,0,0,0,0.0148531531174936,0.17452223076633,0,0,0,0.0258025540041405,0.113480125897555,0,0,0,0,0,-0.0244192685645253,0,0,0,0,0,0.0297662005807274,0,0.0142539108639547,0.00557696759670119,0.0273441911676724,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.928089552278046,0.0557883680157946,0,0,0,0,0,0,0,0,0.025408696386028,0,0,0,0,0,0,0,0.0521894020444068,0,0,0.00828517338551091,-2.16840434497101e-19,0,0
X939.HK.EQUITY,0,0.638678361245438,0,0,0,0,0,0.0429937529804865,0,0,0,0,0.115395061328859,0,0,0,0,0.0170805790470533,0,0,0,0,0,0,0,0,0,0.013305232263944,-0.00447661666872657,-0.00367823120778483,-0.0349435617414063
X601288.CH.EQUITY,0,0,0,0,0.718458121531272,0,0,-0.0308212134942323,0,0.00861090116445019,0,0,0,0,0,0,0,0.0111793089085873,0,0,0,0,0,0,0.0977716977626532,0,0,0,0.0110955622253465,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.561264997939213,0,0,0,0,0,0,0.531481595943552,0,0,0,0,0,0,0,0.324964284924174,0,0,0,-0.182203090372944,0.0428750967405162,0,0
X2628.HK.EQUITY,0,0,0,0,0.106130098693362,0,0,0.266512416796762,0,0,0,0.294909628893775,0.0644934399491993,0,0.136587383610995,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202240449418521,0.073473805436784,-0.116881196651536
X600036.CH.EQUITY,0,0,0,0,0.105324923173744,0,0.237883343622927,0,0,0,0,0,0,0,0,0,0,0,0.104119125719973,0.25681822019091,0,0,0,0.109858779661993,0,-0.0522180674602011,0,-0.0475881775847512,0.0118897786157167,0.00293239986126072,0
X601988.CH.EQUITY,0,0.0765580467061159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496385093539401,0,0,0,0,0,0,0,0,0.0397668846492518,0,0.0713674582698859,0.0192389848623195,0.050624304633318,0
