,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.54608185468409,0,0,0,0,0,0.0468081799502727,0,0.0937607590307852,0,0,0.101217445989516,0,0,0.0398948528169205,0.0176787307919444,0,0,0,0,0,0,0.00378584351863136,-0.000937716780008563,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039253068378932,0,0,0,0,0,0,0,0,0.133609213895227,0.0708586556421757,0,0.0680791799899536,0,0.00437061728063789,-0.00471469517407333,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0442393421604648,0.226622084615704,0,0,0,0,0,0.300232118153376,0,0,0,0,0,0.046698619417367,0,0.00859354284603394,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.143604183918427,0,0,0,0,0,0,0,0.134333344359535,0,0,0,0,0,0.211802363912539,0.0680753598063002,0,-2.77555756156289e-17,0,0.226091930113519,0,0,0,0.00578772665436684,2.71050543121376e-20,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0486086606602582,0.0205695379178648,0,0,0,0,0,0.394642696590128,0,0,0,0,0,0.0512601380137216,0,-0.00937180717664399,-0.00416933028330367,0,0
X939.HK.EQUITY,0.398656385942506,0,0,0,0,0,0,0,0,0,0,0.134843262325385,0,0.0987040588833643,0,0,0,0.0983623871337816,0,0,0,0,0,0,0,0.0520445693151576,0,0.00100067052454743,0.00439281484910928,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0795344697844933,0,0,0,0,0,0,0.0560351813159445,0,0,0.0136969632887497,0.12195067568281,0,0.0637781985978245,0,0.00365116027323249,-0.00603703020149812,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035320966920731,0,0,0,0,0,1.73472347597681e-18,0,0,0.154605582339828,0.0552085972680363,0,0.0482884816487055,0,0.00536418706594551,-0.00235355633440129,0,0
X3988.HK.EQUITY,0.0342170595006487,0,0,0,0,0,0,0,0,0,0,0,0.0654118429170888,0,0,0,0,0.0702455848053225,0,0.0181940856577766,0,0,0,0,0.286949699630782,0.0103984491977795,0,0.0140342810719864,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0151516819636014,0.0282993128067171,0,0,0,0,0,0,0,0,0.0119604222980047,0.237073980987713,0,0,0,0.0130570389628528,0,0.0839178493311241,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719362753077932,0,0.331623982339768,0,0,0.0703941463284412,0.078837549069107,0,0.000301603622648798,0,0.00645792939652979,0,0,0
X1299.HK.EQUITY,0.0533080782345673,0,0,0,0,0.183480600136332,0,0,0,0,0,0,0,0.193207148090333,0,0,0,0,0,0,0.0975766784019318,0,0,0,0,8.80852990556985e-06,0,-0.00769978854928124,0.0125981355391942,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413639920773098,0,0,0,0,0,0,0,0,0.144785343016712,0.235443564354493,0,0,0,0.0311654166333952,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.305811306955787,0,0,0,0,0,0,0.553239254918195,0,0,0,0,0.0277684632782535,0,0,0.100566961129801,0,0.0398573514079168,0,0,0.0358963774041585,0,0.00149699505960311,-0.0241921169137379,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605885738358823,0,0,0,0,0,0.207664034841447,0,0,0.0413231670920258,0.214815270099494,0,0.0919681723140173,0,0.00953122928191394,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125508975626039,0,0,0,0,0.0884062971886892,0.133857661711802,0,0,0.0736653803334011,0,0.0127884202654579,0.0500032414109986,0,0.00817710113098244,0,0,0
X3328.HK.EQUITY,0.283403791600969,0,0,0,0,0.164671876571361,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.198659732873108,0,0,0,0,0,0.0221917308760904,0,0.00651719252566761,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256949279560362,0,0,0,0,0,0,0,0,0.0170021711384236,0,0.334011926988768,0,0,-0.00591162376408208,-0.00979429747635944,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0634634022524054,0.0876546336770696,0,0,0,0,0,0.201478750403484,0,0,0.166885805280738,0,0,0.170214170358862,0,0.0173434693343445,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430705365288465,0,0,0,0,0.0651202643832706,0,4.33680868994202e-19,0,0.0212763242216383,0.271836481821728,0,0.0607937493409954,0,0.0102022607168038,0,0,0
X16.HK.EQUITY,0,0,0,0.10601739539427,0,0,0,0,0,0.127320027863812,0,0,0.0451145684433018,0.372446569620244,0,0,0,0,0.172943758644985,0,0,0,-8.67361737988404e-19,0,0,0,0,0.00216109501778538,0.0136206573773597,0.0586643471859017,0.0433909366094124
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.117746147794306,0,0.276096970071254,0,0,0,-0.00574600343209086,0,0,0.0356878080783089,0,0,0,0,0,0,0.0115968856723756,-0.0140366462915474,0.0595338074734645,-0.0298120368222134
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0546417894392695,0.290143280373268,0,0,0,0,0,0.159367937714163,0,0,0,0.368586444472845,0,0.0646032145473197,0,0.0234415956671511,-5.44248252216839e-05,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.333436162644395,0.135212654145887,0,0,0,0.127482109750122,0,0.11647866189686,0,0,0.203359275079635,0,0,0.0227673668727853,0,-0.0092825950336052,0.0139128554473789,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.313049281953426,0,0.188844199624042,0,0,0.0967782548320708,0,0.266133167025612,0.0271930778244701,0,0,0,0,0,0,0.0012395433505484,-0.00752778437518164,0.0180837412532226,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733668921017384,0,0,0,0,0.512294105234184,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0453110161897457,-0.695099068730273,-0.0518715973791624
FXI.US.EQUITY,0,0,0,0,0,0.353807472987744,0,0,0,0,0,0,-0.134100367144474,0,0,0,0,0.00469607001926742,0,0,0,0,-0.0315872968813462,-0.16847675916702,0,0,0,-0.20597644131675,0.018653848021039,0,-0.0453676643774663
VXFXI.INDEX,0,0,0,0,0,1.17433550751448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493352130899592,-1.31050444008667,0,0.047377580026268,-4.71968375562805,0,0.122830532443465,0,-0.228979525982067
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,-0.602226157018086,0,0,0,0,0,0,0,0,0,0,0,-0.405224948082023,0,-0.00498268726206876,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0.0425587317522201,0,0,0,0.192631123143474,0,0,0,0,1.73472347597681e-18,0.510134724345259,0,0,0,0,0,-0.821898589508691,0,0.013535984990855,0,0,-0.617680117900415
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.0324772516869774,0,0.472716919023555,0,0,0,-0.0265546281546363,0,0,0.043404583254907,0,-8.67361737988404e-19,-0.245899538656655,0,-0.598592778012354,-0.0935069906305328,0,-0.0645960549152076,-0.61753502124451,0
