,X5880.TT.EQUITY,X2849.TT.EQUITY,X5534.TT.EQUITY,X5.HK.EQUITY,X6005.TT.EQUITY,X601878.CH.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X601108.CH.EQUITY,X2548.TT.EQUITY,X2905.TT.EQUITY,X3040.TT.EQUITY,X2867.TT.EQUITY,X2855.TT.EQUITY,X2501.TT.EQUITY,X9940.TT.EQUITY,X2885.TT.EQUITY,X2505.TT.EQUITY,X000656.CH.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X1808.TT.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY
X5880.TT.EQUITY,0,0.099837752817039,0,0.0155971479810638,0,0,0.0125817234834118,0,0,0,0,0,0.0961850008796162,0,0.152994434910933,0,0.0710397250826729,0,0,0,0,0,0.0323634979457782,0,0
X2849.TT.EQUITY,0,0,0,0.021671434215293,0.071744433519154,0,0.0276575236522108,0,0,0,0,0,0,0.0161192102957501,0.260460065797524,0,0.548786056220286,0,0,0,0,0,-0.104348381883793,0,0
X5534.TT.EQUITY,0,0,0,-0.00528378937795198,0.00251811892102195,0,0.0123971177016096,0,0,0,0.31713925139291,0,0.00360050124390152,0.0205167456203707,0,0.0589003514038397,0.0586114895771131,0.058891617405017,0,0,0,0,0.0386358439636854,0,0
X5.HK.EQUITY,0,0.344187895477146,0,0,0,0,0.0177319477669977,0,0,0,0,0,0,0,0,0,0.38783377485983,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,-7.11737420762514,2.30699533000035,0,0,0,0,0,0,0,0,0,0,2.63675903527984,-0.291871644985719,-2.4808450857388,0,-1.44718583816495,-2.75161474512795,0,0,0,0,1.42982097415638,0,-1.17446850150695
X601878.CH.EQUITY,0,0,0,0,-0.00625794391591062,0,0.00308932261950353,0.438122926013892,0,0.27889315516485,0,0,0,-0.000812241503546792,0,0.0237507448368473,0,0.00885028838779111,0,0,0,0,-0.0170674422704393,0,0
X83.HK.EQUITY,0,-2.22044604925031e-16,1.63364985341399,0.952906769851003,-0.45026819434192,0,0,0,3.92272352768069,0,0,0,0,0.176596192253747,1.93120182136183,1.68979559245567,-5.62041673188918,0,0,-4.50322142487378,0,0,-0.642607218084472,0,0
X601377.CH.EQUITY,0,0,0,0.00568224841908773,0,0,0.00383208970127346,0,0.0399073867321198,0,0,0,0.0623043829498567,0.00371323961178025,0.00372538515191927,0.0420835497329263,0,0,0,0,0,0.478138737168101,0.0409102486477112,0,0
X2880.TT.EQUITY,0.684989730066794,-0.15644444304197,0,0.0249702235339193,0.0306486303550526,0.162668440744951,-0.00414432008925539,0,0,0,0,0,0,-0.00203464175459093,1.73472347597681e-18,0.137990391350795,0,0.00140657323257881,0,0,0,0,0.0622193740475987,0,0
X601108.CH.EQUITY,0,0.151796241564374,0,0,-0.00338348087153729,0.10039922798326,-0.00963532855364078,0,0.117448983723679,0,0,0,0.0182316179105753,0,0.0352674286698097,0.00375703947610803,-0.0357641977977795,-0.0471429894063822,0,0,0.420432908270705,0.324001553045477,0,0,0
X2548.TT.EQUITY,0.0885769147369522,0,0.582144465388935,0.0603352514387942,-0.0239466301425454,0,-0.0235753160684686,0,0,0,0,0,0,-0.0130899872006842,0,0,-0.130827978004088,0,0.344809790843586,0,-0.197142804732127,0,0.0196059817345251,0,0
