,X600958.CH.EQUITY,X600837.CH.EQUITY,X601288.CH.EQUITY,X601108.CH.EQUITY,X600816.CH.EQUITY,X3056.TT.EQUITY,X601318.CH.EQUITY,X600369.CH.EQUITY,X3040.TT.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600919.CH.EQUITY,X601066.CH.EQUITY,X600061.CH.EQUITY,X2905.TT.EQUITY,X600848.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X2881.TT.EQUITY,X002142.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X601155.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600958.CH.EQUITY,0,0,0,0.0369292588413975,0,0,0,0,0,0,0,0,0.143344111412414,0,0,0,0.31840497064553,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.13129917021304,0,0,0,0.341104303784056,0,0,0,0,0,0,0,0.126004470409452,0,0,0,0,0
X601288.CH.EQUITY,0,0.0149609435550245,0,0,0,0,0.0421537786844601,0,0,0.0383026511192585,0,0,0.00853454757499942,0.0282210041990728,0,0,0,0,0,0,0,0,0,0,0.0228155690072691,0,-0.0158352738905976,0,0,0
X601108.CH.EQUITY,0,0,0,0,0,0,0,0.1278370936082,0,0,0,0,0,0.402795730237921,0,0,0.248750751896571,0,0,0,0,0,0,0,0,0,0,0,0,0
X600816.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712717908601917,0,0,0,0,0,0,0,0,0,-0.0347935177821654,0,0,0
X3056.TT.EQUITY,0,0,0,0,0,0,0,0,0.149096020592886,0.00828334569868725,0,0,0,0,0.083334417640261,0,0,0,0.0461545601655591,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.111679701098293,0,0,0,0,0,0,0.0576449383571329,0,0,0,0,0,0,0.114582416575036,0.0994680255736029,0,-0.0344412145755162,0,0,0
X600369.CH.EQUITY,0.124354185238684,0.146263804952118,0,0,0,0,0,0,0,0,0,0,0.0539370838544852,0,0,0,0.212799617460988,0,0,0,0,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0.0107763873877688,0,0,0,0,0,0.198311940333053,0,0,0,0,0,0,0.0284537418993554,0,0,0.0721671626253909,0,0,0.121903418791125,0,0,0,-0.0895587780955824,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0651925807672579,0,0,0,0.0589450318952743,0,0,0,0,0.212300276873644,0,0,0,0.436130567162643,0.198742445603584,0,0,0,0,0
