,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X601878.CH.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X2548.TT.EQUITY,X5.HK.EQUITY,X6005.TT.EQUITY,X5534.TT.EQUITY,X1808.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X601108.CH.EQUITY,X1463.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X3040.TT.EQUITY,X000656.CH.EQUITY,X2520.TT.EQUITY,X600109.CH.EQUITY,X5871.TT.EQUITY,X600848.CH.EQUITY
X2849.TT.EQUITY,0,-0.178105892982916,0,0,0.0173083138383444,0,0,0.0259971930630185,0.30763104381447,0.122316916519217,0,0,0.0624055063684904,0,0,0,0.0184214642131858,0,0.0824327473019127,-0.15715203549374,0,0,0,0.674663087008877,0
X2892.TT.EQUITY,0,0,0,0,0.00918190009659875,0,0,0.0379165527630745,0,0,0,0.354070193996493,0.127114702158878,0,0,0.490659873465563,0.0244022446430766,0,0,-0.290012312977527,0,0,0,0.231250855342958,0
X5880.TT.EQUITY,0,0.20239177142032,0,0,0,0,0,0,0.102952253637118,0,0,0.0631596499939354,0.0482649104877296,0,0,0,0.0248182161667628,0.275364018483782,0,0,0,0,0,0,0
X601878.CH.EQUITY,0,0.00260631946540081,0.0215903783591821,0,0.00884902521733353,0,0,0,0,0,0,0.0466387508919885,0,0,0,0,-0.0755883478049619,0,0,0,0,0,0.681931583198087,0,0
X83.HK.EQUITY,0,-0.636143451824594,-0.012068679112608,-2.85372007261099,0,0,0.846905107849656,0.342235238157613,-0.406917603840453,0,0.278165935629745,0.191970324054166,0,1.58359040464124,0.307594730130791,0,0.0438218250215288,0,0,0,0,0,1.91934079119097,-0.224960214025004,0
X601377.CH.EQUITY,0,0,0,0,0.00450411396067679,0,0,0.0188136904020986,0,0,0.00128258825032865,0,0.00547027803260216,0.0962798523256794,0,0,0.003829140713004,-0.0282521766629792,0,0.105821647414908,0,0,0,0.0908476779808087,0
X2548.TT.EQUITY,0.104020154978679,0,0,0,0.0359508503395182,0,0,0.0143213930939138,0,0,0.0427793565709353,0,0.110805131601659,-0.287625540354766,-0.00218328537894575,0,0,0.121432901590747,0.0330320917151986,0.0410367605844683,0,0,0,0.102416518903254,0
X5.HK.EQUITY,-0.336526447137661,0.504137168840496,0,-0.206209815415279,0.0331444705866695,0,0,0,0.654851298250726,0,0,0,-0.617661343797452,0,0,0,0,0.381911228227012,0,0,0,0,0,0,0
X6005.TT.EQUITY,0.164516730847771,0,0,0,0.00458181650198521,0,0,0.0727301930167013,0,0,0.143860906909867,0.236497135482933,0,0,0,0,0.0247041948501297,0,0.284133922104982,0,0,0,0,-0.33310381756939,0
X5534.TT.EQUITY,0,-0.0795456130479112,0,0,0.0179551896549604,0,0,0,0,0,0.200482644496578,0.222421754459048,0.172085400434325,0,0.114429186955136,0,0.0528422226815398,0.49101220473475,0,0,0,0.760315655213127,-0.448331776506825,0,0
