,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0.0752509715537757,0,0,0,0,0,0,0.164504146686374,0,0,0,0,0,0,0,0.182665690086858,0,0,0,0.0206113198090613,0,-0.00777704196952621,0,0,0.0275922680662284
X1398.HK.EQUITY,0,0,0.00119029660593584,0,0,0.606083555050195,0,0,0,0,0,0,0,0.10742624752199,0,0,0,0.012669230681779,0,0,0.0162970799469904,0.0249785762020974,0,0,0.0204883430496099,0.00537662349580419,0,0.00490618351539657,0,0,-0.0150147370930499
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251141116047589,0,0,0,0,0,0,0,0.254133690904491,0,0,0.139729151599193,0.0254571136357508,0.00257428231423558,0,-0.00427640073975201,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.160340093929719,0.200618723662207,0,0,0,0,0,0,0,0.198565053400511,0,0,0,0.0608288967564777,0,0.00858371085593877,0.00714640415606153,0,0
X601939.CH.EQUITY,0.311021836178219,0,0,0,0,0,0,0,0,0,0,0,0.0118997118700385,0,0,0,0.0050918599929469,0,0.195468721910338,0,0,0.217769403711369,0,0,0,0,0,-0.00627883739723852,-0.00383962519651037,0,0
X939.HK.EQUITY,0,0.376387797175099,0.102334841998232,0,0,0,0,0,0,0,0,0,0,0.0342935633994373,0.0783996494163074,0,0,0,0,0,0,0.0799537484244012,0,0,0.163671855638882,0,0.0032046626588559,-0.000274781589243356,0.00613559831942165,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582927637517852,0,0,0,0,0.0325754246949507,0,0.0213579275813485,0.262103948599577,0,0,0,0.0146132436481312,0,0,0.000639132622241622,0,0
X5.HK.EQUITY,0,0.0750945279032419,0,0,0,0,0,0,0,0,0,0.0128727543138304,0,0.14280229974781,0,0,0,0,0,0,0.148271541596582,0,0.0621361412708412,6.93889390390723e-18,0,0,0,1.0842021724855e-19,0,0.0269153936668247,0
X3988.HK.EQUITY,0,0.543064717689195,0,0,0,0,0,0,0,0,0,0.0218679496874052,0,0,0,0,0,0,0,0,0.0168984189590526,0,0,0.0832224851350839,-8.67361737988404e-19,-1.73472347597681e-18,0,4.33680868994202e-19,-0.0117280160033383,0,0
X601988.CH.EQUITY,0,0,0,0,0.113216205039942,0,0.0332998442275231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14142627668466,0.169180571046706,0,0,0.0361583292978851,0,0,0,0.00134868558420152,0,0.0409913084592364
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173002170533434,0.0633933115678774,0,0,0,0.299780386010514,0,0,0,0,0,0.00911325900543787,-0.00283350186748291,0,0
X1299.HK.EQUITY,0,0.184764392469465,0,0,0,0,0,0,0,0,0,0,0,0,0.0383426644196292,0,0,0,0,0.292536507418396,0,0,0,0.155283309239637,0.0314898254702852,0,0.0352975897151185,0,0.00994029637062357,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567520870541086,0,0,0,0,0.0656593394087019,0,0,0.204883270311538,-0.0476218275870653,0,0,-2.71050543121376e-20,0,0.033425980109839,0.00913175383317679,0.0163276384285842,0.0156869607954784
X2628.HK.EQUITY,0,0,0,0.141994466297118,0,0,0,0,0,0,0,0,0.250617401658443,0,0,0,0,0.155459457669439,0,0,0,0,0,0,0.334536569963786,0.111124354841919,0,0,-0.0175640348174702,0,0
X3328.HK.EQUITY,0,0.130002273647797,0,0,0,0.0368433264392269,0,0,0,0,0,0.223129453782784,0,0.170914901529131,0,0,0,0,0,0,0.101842818371546,0,0,0,0.0381798785620897,0.00566234460764128,0,0.00906142471998021,-0.00169937089329573,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986134820374528,0,0,0,0,0.0867935542367634,0,0,0.250443385567835,0,0,0,0.0560193538233469,0,0.00718512419092368,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0923971563442255,0.1198102151495,0,0,0,0,0,0,0,0.444109484487957,0,0,0,0.0298164377034613,0,0,0.00371252199732401,0,0
X000002.CH.EQUITY,0,0,0.0882887833751318,0,0,0,0,0,0,0,0,0,0,0.213257070987709,0,0,0,0,0,0,0,0,0,0.204659284517168,0.0528481040354836,0.00896954703856313,0,8.67361737988404e-19,-0.0319512974690999,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.10534281864179,0.203464471165533,0,0,0,0.0689146455190588,0,0,-3.46944695195361e-18,0.425586853702417,0,0,0,0.0506117271359582,0,0.0106261229871934,-0.00161958448078477,0,0
X388.HK.EQUITY,0,0,0,0,0,0.377526946272062,0,0,0,0,0,0.143458458986358,0,0,0,0,0,0,0,0,0.0543893895778267,0,0.13192897640726,0,0,0,0,0,-0.00527960708816452,0.0355752879296093,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228169218052949,0,0,0,0,0.106518265692037,0,0,0,0.164116194089972,0,0.262927137589506,0,0,0.0195190674079997,-0.0012885128050423,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.131888543369132,0.25787360716241,0,0,0.0353323002329939,0,0,0,0,0,0,0.316037404471167,0,0.104806518191927,0,0.0167012272457475,0.00490987406696011,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.227884104148999,0.0763643661912223,0,0,0,0,0,0,0.00266610993363157,0.243377057065004,0,0,0.0859177161685662,0,0,0,-0.00475046069762794,-0.00704796915704521,0.0028300453305341,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.137306997255323,0.524838314509845,0,0,0,0.0911179592536908,0,0,0,0,0,0,0,0.162213318850393,0,0,0,-0.00728108242011365,0.0217423359622685,-0.0182936886180611
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0486630607010953,0,0.547709135489637,0,0,0,0,0,0,0.0544738252513299,0.0113590024771208,0,0,0,0,0,-0.0161323872909478,-0.0196657081348456,0.0315490369246547,-0.117833594536513
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405660171916006,0,0,0,0.187117662717682,0,0,0,0.606358748531525,0,0,0,0,0,0.00971283798810815,-0.0165557879709923,-0.801146624914625,-0.491063160271522
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.24834050556836,-0.311345208866179,0,0,0,0,-0.0144615966925596,0,0,0,0,0,-0.10679131068087,0.151316932545594,0,0,-0.199429409836206,0.0313123885811881,-0.0365013026875359,-0.158001587402547
VXFXI.INDEX,0,0,0,0,0,1.17496083704086,0,0,0,0,0,0.687653716064421,-0.742292190854443,0,0,0,0,0,0,0,0,0,0,-1.88330869441777,0.758671549490002,0,-4.88857774295578,0,0.0851247441925298,-0.115682060624442,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0.00621524726140057,-0.737583042926456,-0.14035319277353,0,0,0,0,0,0,2.99024903555289,0,0,-1.04504730150481,-1.54323993241605,-1.26959021110538,0,-0.0415950665311652,0,0,0.956479463703501
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325256667292029,0,0,0,0.220490306225388,0.0521637711888624,0,0,0,0,0.12701985056039,0,-0.802863782615776,-0.055740606484988,0,-0.0226346428307919,0,-0.701123338489256
