,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.00378929412851033,0,0,0,0,0,0,0.0361088278443461,0,0.0643737311626737,0.202307660500743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00744226525312501,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.12115254440961,0,0.0812310312566166,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197494635392152,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.170499648386164,0.0524475321435884,0,0.00881828829396779,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.253793818864521,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0486533765399383,0.167359293367548,0,0.0735669141099191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0425095562377283,0.232568057604506,0,0,0,0,0,0,0,0.0236764425280001,0,0,0,0,0,0,0,0,0.0139908916597365,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.1492574238137,-4.33680868994202e-19,0.0706950801275073,0.0733000581954163,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.211273024987519,0,0,0,0,0,0,0.101471653299221,0,0,0,0,0,0,0,0.0325435629917827,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.064606073601629,0,0,0.0585208833498006,0,0,0,0,0,0,0,0.00340340677308266,0,0,0.0958792183584295,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0133254451025911,0,0.088066826037161,0.103815530562317,0,0,0,0,0.0812273376713559,0,0,0,0,0.0702439022433831,0,0,-0.00830624984765304,0.0438242959686952,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.215177436750935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441251096826877,0,0.0134356156591547,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.13722170013061,0,0,0.260772820964263,0.182012416995959,0,0,0,0,0,0,0,0,0,0,0.151417371368878,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00386383253870014,0,0.0456402491123082,0.116170500821599,0,0,0,0,0,0,0,0,0,0.126374571154014,0.198822796931713,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.239636657225479,0.032759295495406,0,0.09024404845398,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513203481919738,0,0.0182079030662179,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.304513391626108,0,0,0,0,0,0,0,0,0.0441901587647726,0,0,0,0,-0.0148515750191251,0.0577399319799408,0,0
X388.HK.EQUITY,0,0,0,0,0,0.0528677993592948,0,0,0,0,0.0864267289824647,0,0.126588823614978,0,0,0,0,0,0.107892951784323,0.00380492617696327,0,0,0,0,0,0.139847983820906,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0156430523907803,0,0,0,0,0,0,0,0.35051139220802,0,0,0.174167934044928,0,0.0481508123304364,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.107470365544829,0.0918928030435548,0,0,0,0,0,0,0,0.0409402781280916,0,0.0563860796529816,0.0684025045651763,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.051803306479584,0,0,0,0,0,0.0244468722248225,0.0845635600014724,0,0,0,0,0,0,0,0.0649934680191739,0,0,0,0,0,0,5.42101086242752e-20,0,0,0
